perimetre,condition,famille_condition,ratio_total,ratio_total_ic_bas,ratio_total_ic_haut,ratio_total_median,ratio_inter,ratio_inter_ic_bas,ratio_inter_ic_haut,ratio_inter_median,ratio_intra,ratio_intra_ic_bas,ratio_intra_ic_haut,ratio_intra_median
1052,agents composite,riche,0.923913,0.915704,0.932228,0.919677,1.530367,1.400170,1.572541,1.412998,0.851091,0.842358,0.860657,0.844825
1052,agents entretien (v3),riche,0.946232,0.937058,0.956027,0.935125,1.629175,1.503886,1.685451,1.463968,0.838669,0.826834,0.850404,0.845933
1052,agents enquete,riche,0.907071,0.898942,0.916514,0.889699,1.666385,1.502826,1.702815,1.427844,0.811943,0.803596,0.821510,0.817491
1052,agents demographiques (v6),etiquette,0.654275,0.644926,0.662888,0.661330,0.466397,0.435458,0.557842,0.399731,0.675447,0.666049,0.685217,0.692044
1052,agents v7,riche,0.688810,0.671851,0.706354,0.642966,0.510295,0.455429,0.605431,0.428363,0.712426,0.695376,0.730402,0.691136
1052,agents v8,etiquette,0.913730,0.899489,0.928558,0.954354,3.033208,2.625181,3.043273,2.736614,0.525135,0.510803,0.540042,0.516958
1052,B0 uniforme,aveugle,1.268232,1.256749,1.281513,1.219781,0.545707,0.601035,0.767055,0.330368,1.322076,1.308579,1.337268,1.301651
1052,B0 mode,aveugle,0.042317,0.041106,0.043404,0.000000,0.009458,0.008525,0.019267,0.000000,0.046015,0.044702,0.047269,0.000000
1052,B0 tirage,aveugle,1.000519,0.990526,1.011284,1.000137,0.424436,0.465097,0.586231,0.278416,1.046487,1.035831,1.058015,1.032451
1052,B1 argmax,statistique,0.806820,0.797031,0.816007,0.829944,1.450892,1.295570,1.477390,1.436558,0.730731,0.721685,0.740256,0.723612
1052,B2 argmax,statistique,0.685261,0.677041,0.693160,0.731033,1.093100,1.004139,1.109098,1.079468,0.643205,0.635385,0.650772,0.683069
1052,B3 foret,statistique,0.597506,0.587475,0.606222,0.654291,1.182867,1.050411,1.197597,1.205786,0.510430,0.502139,0.517460,0.536258
1052,humains vague 2,plancher,0.999363,0.993397,1.005442,1.000652,1.033152,0.992930,1.081236,1.013350,0.997442,0.991247,1.004090,0.995424
150,C2,etiquette,0.771048,0.723157,0.823269,0.778969,1.959722,1.483083,1.953308,1.838543,0.503427,0.471522,0.530021,0.482629
150,C3,riche,0.780458,0.751478,0.806030,0.770281,0.746430,0.698825,0.894685,0.625503,0.787112,0.759286,0.812952,0.782085
150,humains vague 2,plancher,0.987624,0.973775,1.004441,0.983018,1.065737,0.995985,1.132481,1.029381,0.980465,0.965425,1.000409,0.980913
