perimetre,condition,item,sd_pred,sd_humain,ratio,n
150,agents composite,natspac/y,0.346749,0.346991,0.999303,150
150,agents composite,natenvir/y,0.409192,0.330683,1.237416,150
150,agents composite,natheal/y,0.275064,0.287004,0.958396,150
150,agents composite,natcity/y,0.422309,0.335268,1.259613,150
150,agents composite,natdrug/y,0.327163,0.331359,0.987338,150
150,agents composite,nateduc/y,0.304037,0.299814,1.014087,150
150,agents composite,natrace/y,0.447979,0.361700,1.238535,149
150,agents composite,natarms/y,0.341467,0.383977,0.889289,150
150,agents composite,nataid/y,0.348872,0.298467,1.168877,150
150,agents composite,natfare/y,0.414246,0.303319,1.365711,150
150,agents composite,natroad,0.284597,0.293879,0.968417,150
150,agents composite,natsoc,0.310607,0.274269,1.132487,150
150,agents composite,natmass,0.370455,0.305359,1.213181,150
150,agents composite,natpark,0.319483,0.286243,1.116124,150
150,agents composite,natchld,0.368563,0.321211,1.147417,150
150,agents composite,natsci,0.376030,0.310589,1.210699,150
150,agents composite,natenrgy,0.365225,0.362396,1.007805,150
150,agents composite,courts,0.372803,0.388322,0.960035,150
150,agents composite,discaffw,0.209458,0.309185,0.677453,150
150,agents composite,discaffm,0.230250,0.303472,0.758719,150
150,agents composite,fehire,0.306442,0.300861,1.018550,150
150,agents composite,fechld,0.243596,0.258103,0.943794,150
150,agents composite,fepresch,0.266079,0.277806,0.957786,150
150,agents composite,fefam,0.277062,0.305920,0.905670,150
150,agents composite,mobile16,0.419398,0.402578,1.041780,150
150,agents composite,incom16,0.187710,0.209459,0.896164,150
150,agents composite,conarmy,0.283790,0.306529,0.925820,150
150,agents composite,conbus,0.229287,0.318062,0.720889,150
150,agents composite,conclerg,0.393516,0.347571,1.132189,150
150,agents composite,coneduc,0.163197,0.335469,0.486473,150
150,agents composite,confed,0.256896,0.341221,0.752873,150
150,agents composite,confinan,0.242655,0.313546,0.773906,150
150,agents composite,conjudge,0.236586,0.369790,0.639785,150
150,agents composite,conlabor,0.228408,0.324968,0.702862,150
150,agents composite,conlegis,0.221849,0.327693,0.677003,150
150,agents composite,conmedic,0.270140,0.321994,0.838959,150
150,agents composite,conpress,0.250815,0.327420,0.766036,150
150,agents composite,consci,0.271708,0.323933,0.838779,150
150,agents composite,contv,0.247606,0.299141,0.827723,150
150,agents composite,happy,0.232292,0.325982,0.712593,150
150,agents composite,class,0.241598,0.256596,0.941549,150
150,agents composite,satfin,0.383729,0.375851,1.020962,150
150,agents composite,finalter,0.308873,0.390391,0.791190,150
150,agents composite,finrela,0.248176,0.247448,1.002941,150
150,agents composite,wlthwhts,0.072456,0.140557,0.515487,150
150,agents composite,wlthblks,0.122134,0.122327,0.998420,148
150,agents composite,wlthhsps,0.118067,0.134225,0.879620,150
150,agents composite,letin1a,0.208656,0.308148,0.677130,150
150,agents composite,getahead,0.246429,0.302044,0.815871,150
150,agents composite,aged,0.304497,0.281336,1.082324,150
150,agents composite,parsol,0.276887,0.306186,0.904311,150
150,agents composite,spanking,0.253791,0.347778,0.729749,150
150,agents composite,divlaw,0.299608,0.334868,0.894706,150
150,agents composite,pillok,0.381976,0.326933,1.168362,150
150,agents composite,xmarsex,0.186401,0.292962,0.636263,150
150,agents composite,homosex,0.421407,0.408881,1.030635,150
150,agents composite,marhomo,0.397802,0.359922,1.105244,150
