perimetre,definition,condition,famille_condition,tranche,exactitude,ic_bas,ic_haut,n_cellules,n_personnes,taux_refus
150,rarete,agents composite,riche,bas,0.176230,0.125581,0.232069,244,150,0.000000
150,rarete,agents composite,riche,milieu,0.673955,0.661869,0.685774,21083,150,0.000000
150,rarete,agents composite,riche,haut,0.978495,0.969022,0.986355,1023,150,0.000000
150,rarete,agents composite,riche,ensemble,0.682461,0.670558,0.694183,22350,150,0.000000
150,ordinale,agents composite,riche,bas,0.683894,0.651938,0.715644,568,150,0.000000
150,ordinale,agents composite,riche,milieu,0.802677,0.794456,0.810264,9514,150,0.000000
150,ordinale,agents composite,riche,haut,0.729247,0.695411,0.760400,568,150,0.000000
150,ordinale,agents composite,riche,ensemble,0.792426,0.783727,0.800482,10650,150,0.000000
150,ordinale extremes,agents composite,riche,bas,0.750131,0.729652,0.769737,3002,150,0.000000
150,ordinale extremes,agents composite,riche,milieu,0.813479,0.804216,0.822683,5436,150,0.000000
150,ordinale extremes,agents composite,riche,haut,0.798086,0.779771,0.816332,2212,150,0.000000
150,ordinale extremes,agents composite,riche,ensemble,0.792426,0.783727,0.800482,10650,150,0.000000
150,rarete,agents entretien (v3),riche,bas,0.151639,0.102676,0.202906,244,150,0.001298
150,rarete,agents entretien (v3),riche,milieu,0.645259,0.633901,0.656600,21083,150,0.001298
150,rarete,agents entretien (v3),riche,haut,0.958944,0.947059,0.969756,1023,150,0.001298
150,rarete,agents entretien (v3),riche,ensemble,0.654228,0.642997,0.665459,22350,150,0.001298
150,ordinale,agents entretien (v3),riche,bas,0.669977,0.639620,0.699467,568,150,0.001298
150,ordinale,agents entretien (v3),riche,milieu,0.777771,0.769666,0.785558,9514,150,0.001298
150,ordinale,agents entretien (v3),riche,haut,0.726152,0.691183,0.760130,568,150,0.001298
150,ordinale,agents entretien (v3),riche,ensemble,0.769269,0.760617,0.777671,10650,150,0.001298
150,ordinale extremes,agents entretien (v3),riche,bas,0.723242,0.703494,0.742787,3002,150,0.001298
150,ordinale extremes,agents entretien (v3),riche,milieu,0.784299,0.774155,0.793990,5436,150,0.001298
150,ordinale extremes,agents entretien (v3),riche,haut,0.794797,0.774971,0.812775,2212,150,0.001298
150,ordinale extremes,agents entretien (v3),riche,ensemble,0.769269,0.760617,0.777671,10650,150,0.001298
150,rarete,agents enquete,riche,bas,0.122951,0.084000,0.165323,244,150,0.000895
150,rarete,agents enquete,riche,milieu,0.639994,0.627110,0.652145,21083,150,0.000895
150,rarete,agents enquete,riche,haut,0.890518,0.866408,0.915289,1023,150,0.000895
150,rarete,agents enquete,riche,ensemble,0.645817,0.633244,0.657763,22350,150,0.000895
150,ordinale,agents enquete,riche,bas,0.698446,0.670039,0.725046,568,150,0.000895
150,ordinale,agents enquete,riche,milieu,0.775314,0.766433,0.783857,9514,150,0.000895
150,ordinale,agents enquete,riche,haut,0.667100,0.632090,0.701874,568,150,0.000895
150,ordinale,agents enquete,riche,ensemble,0.765443,0.755645,0.774496,10650,150,0.000895
150,ordinale extremes,agents enquete,riche,bas,0.753630,0.734312,0.771933,3002,150,0.000895
150,ordinale extremes,agents enquete,riche,milieu,0.790509,0.781883,0.799087,5436,150,0.000895
150,ordinale extremes,agents enquete,riche,haut,0.719872,0.698820,0.739239,2212,150,0.000895
150,ordinale extremes,agents enquete,riche,ensemble,0.765443,0.755645,0.774496,10650,150,0.000895
150,rarete,agents demographiques (v6),etiquette,bas,0.159836,0.114678,0.208511,244,150,0.001879
150,rarete,agents demographiques (v6),etiquette,milieu,0.574064,0.562102,0.586127,21083,150,0.001879
150,rarete,agents demographiques (v6),etiquette,haut,0.992180,0.986193,0.997087,1023,150,0.001879
150,rarete,agents demographiques (v6),etiquette,ensemble,0.588680,0.576913,0.600359,22350,150,0.001879
150,ordinale,agents demographiques (v6),etiquette,bas,0.602978,0.575026,0.630573,568,150,0.001879
150,ordinale,agents demographiques (v6),etiquette,milieu,0.754436,0.746637,0.762236,9514,150,0.001879
150,ordinale,agents demographiques (v6),etiquette,haut,0.522300,0.489368,0.557356,568,150,0.001879
150,ordinale,agents demographiques (v6),etiquette,ensemble,0.733977,0.724939,0.743119,10650,150,0.001879
150,ordinale extremes,agents demographiques (v6),etiquette,bas,0.673040,0.658290,0.688084,3002,150,0.001879
150,ordinale extremes,agents demographiques (v6),etiquette,milieu,0.805027,0.797375,0.812841,5436,150,0.001879
150,ordinale extremes,agents demographiques (v6),etiquette,haut,0.642074,0.622422,0.662116,2212,150,0.001879
150,ordinale extremes,agents demographiques (v6),etiquette,ensemble,0.733977,0.724939,0.743119,10650,150,0.001879
150,rarete,agents v7,riche,bas,0.049180,0.023166,0.080360,244,150,0.000984
150,rarete,agents v7,riche,milieu,0.555993,0.540851,0.570542,21083,150,0.000984
150,rarete,agents v7,riche,haut,0.940371,0.923529,0.957075,1023,150,0.000984
150,rarete,agents v7,riche,ensemble,0.568054,0.553063,0.582238,22350,150,0.000984
150,ordinale,agents v7,riche,bas,0.614701,0.584876,0.645231,568,150,0.000984
150,ordinale,agents v7,riche,milieu,0.743334,0.734112,0.752247,9514,150,0.000984
150,ordinale,agents v7,riche,haut,0.527323,0.496124,0.559873,568,150,0.000984
150,ordinale,agents v7,riche,ensemble,0.724953,0.714558,0.734938,10650,150,0.000984
150,ordinale extremes,agents v7,riche,bas,0.706659,0.687185,0.725681,3002,150,0.000984
150,ordinale extremes,agents v7,riche,milieu,0.784931,0.774952,0.794873,5436,150,0.000984
150,ordinale extremes,agents v7,riche,haut,0.602383,0.579303,0.625769,2212,150,0.000984
150,ordinale extremes,agents v7,riche,ensemble,0.724953,0.714558,0.734938,10650,150,0.000984
150,rarete,agents v8,etiquette,bas,0.065574,0.035857,0.099138,244,150,0.000358
150,rarete,agents v8,etiquette,milieu,0.551060,0.537273,0.565247,21083,150,0.000358
150,rarete,agents v8,etiquette,haut,0.972630,0.959183,0.984283,1023,150,0.000358
150,rarete,agents v8,etiquette,ensemble,0.565056,0.552035,0.578569,22350,150,0.000358
150,ordinale,agents v8,etiquette,bas,0.624621,0.590471,0.659037,568,150,0.000358
150,ordinale,agents v8,etiquette,milieu,0.732134,0.721156,0.742519,9514,150,0.000358
150,ordinale,agents v8,etiquette,haut,0.614413,0.578091,0.649487,568,150,0.000358
150,ordinale,agents v8,etiquette,ensemble,0.720121,0.709367,0.730753,10650,150,0.000358
150,ordinale extremes,agents v8,etiquette,bas,0.665462,0.640866,0.690125,3002,150,0.000358
150,ordinale extremes,agents v8,etiquette,milieu,0.774812,0.760110,0.790029,5436,150,0.000358
150,ordinale extremes,agents v8,etiquette,haut,0.659901,0.639410,0.680561,2212,150,0.000358
150,ordinale extremes,agents v8,etiquette,ensemble,0.720121,0.709367,0.730753,10650,150,0.000358
150,rarete,C2,etiquette,bas,0.139344,0.092434,0.190840,244,150,0.000000
150,rarete,C2,etiquette,milieu,0.513637,0.502544,0.524616,21083,150,0.000000
150,rarete,C2,etiquette,haut,0.879765,0.869523,0.890658,1023,150,0.000000
150,rarete,C2,etiquette,ensemble,0.526309,0.515794,0.536779,22350,150,0.000000
150,ordinale,C2,etiquette,bas,0.577275,0.549011,0.605947,568,150,0.000000
150,ordinale,C2,etiquette,milieu,0.722373,0.713771,0.730795,9514,150,0.000000
150,ordinale,C2,etiquette,haut,0.574376,0.544247,0.604795,568,150,0.000000
150,ordinale,C2,etiquette,ensemble,0.706741,0.698299,0.715118,10650,150,0.000000
150,ordinale extremes,C2,etiquette,bas,0.615653,0.596158,0.635378,3002,150,0.000000
150,ordinale extremes,C2,etiquette,milieu,0.794737,0.779389,0.810323,5436,150,0.000000
150,ordinale extremes,C2,etiquette,haut,0.614110,0.598497,0.630381,2212,150,0.000000
