methode,regime,famille_retiree,conditionnement,n_items,exactitude,exactitude_ic_bas,exactitude_ic_haut,exactitude_normalisee,ratio_intra_ideologie,ratio_inter_ideologie,ratio_total_ideologie,part_diversite_humaine,accord_par_paires,cellules_minoritaires,raretes_osees,rappel_minoritaire,precision_minoritaire,rappel_t1_non_deductible,cellules_t1,ratio_intra_ic_bas,ratio_intra_ic_haut,ratio_inter_ic_bas,ratio_inter_ic_haut,part_diversite_humaine_ic_bas,part_diversite_humaine_ic_haut,rappel_minoritaire_ic_bas,rappel_minoritaire_ic_haut,rappel_t1_non_deductible_ic_bas,rappel_t1_non_deductible_ic_haut
humains vague 2,humains,sans objet,la personne elle meme,58,0.785597,0.779385,0.791828,1.000000,1.004421,1.023333,1.005644,1.004646,0.512433,1563.000000,1622.000000,0.555342,0.535142,0.482222,450.000000,0.996749,1.012617,0.963802,1.078911,0.998853,1.010760,0.521467,0.588657,0.429842,0.537611
agents composite,modele de langage,"NON, les cousins restent dans l'invite","entretien et questionnaire, cousins compris",58,0.677527,0.671691,0.683313,0.862436,0.858418,2.321716,0.953050,0.947717,0.537856,1563.000000,2300.000000,0.424824,0.288696,0.282222,450.000000,0.844606,0.872103,2.072195,2.360892,0.938796,0.956571,0.383352,0.467084,0.231308,0.336226
agents entretien (v3),modele de langage,"NON, les cousins restent dans l'invite","entretien, cousins compris",58,0.633572,0.627737,0.639488,0.806484,0.710349,3.267452,0.875718,0.886391,0.575343,1563.000000,2554.000000,0.396673,0.242756,0.246667,450.000000,0.693764,0.727935,2.816995,3.356579,0.874875,0.897303,0.358421,0.436528,0.196717,0.300389
agents enquete,modele de langage,"NON, les cousins restent dans l'invite","questionnaire, cousins compris",58,0.671103,0.666071,0.675971,0.854258,0.795090,2.460628,0.902801,0.900380,0.562295,1563.000000,2107.000000,0.381958,0.283341,0.253333,450.000000,0.781068,0.808878,2.193951,2.493242,0.888964,0.912015,0.342317,0.421605,0.203185,0.307899
agents demographiques (v6),modele de langage,"NON, les cousins restent dans l'invite",etiquette demographique,58,0.579242,0.572816,0.585404,0.737326,0.623267,0.222368,0.597341,0.607217,0.710282,1563.000000,313.000000,0.019834,0.099042,0.015556,450.000000,0.606710,0.639344,0.185325,0.333874,0.593451,0.619901,0.012657,0.028976,0.004515,0.029853
agents v7,modele de langage,"NON, les cousins restent dans l'invite",persona,58,0.582159,0.575718,0.589387,0.741040,0.590916,0.145816,0.562131,0.601135,0.727315,1563.000000,800.000000,0.066539,0.130000,0.040000,450.000000,0.567477,0.614455,0.124308,0.252527,0.577638,0.623468,0.045819,0.089982,0.022112,0.060951
agents v8,modele de langage,"NON, les cousins restent dans l'invite",etiquette demographique,58,0.570424,0.562082,0.578422,0.726103,0.413695,8.987791,0.968184,0.966029,0.530513,1563.000000,3796.000000,0.385157,0.158588,0.173333,450.000000,0.395698,0.433144,7.487608,9.325814,0.951200,0.980690,0.340995,0.428744,0.130977,0.217501
E1 famille retiree (argmax),esperance,oui,"149 moins la famille, et 11 demographies",58,0.664891,0.658890,0.670776,0.846351,0.750856,1.518253,0.800484,0.804579,0.611901,1563.000000,417.000000,0.106846,0.400480,0.037778,450.000000,0.740890,0.761500,1.361913,1.564182,0.795329,0.813474,0.085025,0.128877,0.020000,0.057143
E2 famille retiree (tirage),tirage,oui,"149 moins la famille, et 11 demographies",58,0.593680,0.588105,0.599337,0.755706,1.005668,0.821300,0.993745,0.993276,0.518202,1563.000000,1481.000000,0.171465,0.180959,0.115556,450.000000,0.996247,1.016137,0.773205,0.906678,0.985783,1.000895,0.150258,0.192020,0.085523,0.144526
PMM k=10 famille retiree,tirage,oui,"149 moins la famille, et 11 demographies",58,0.627950,0.621770,0.633687,0.799328,0.957651,1.356268,0.983430,0.979538,0.523203,1563.000000,1275.000000,0.229047,0.280784,0.137778,450.000000,0.948289,0.966926,1.241833,1.419110,0.971690,0.987535,0.201982,0.258303,0.101692,0.172193
