perimetre,seuil,partition,tercile,condition,cellules_minoritaires,raretes_osees,rappel,precision,f1,plancher_item,exces_item,plancher_segment,exces_segment,plancher_humains vague 2,exces_humains vague 2,rappel_ic_bas,rappel_ic_haut,exces_segment_ic_bas,exces_segment_ic_haut,exces_segment_p
1052,0.100000,P_B division de recensement,T1 non deductible,humains vague 2,1904,2035,0.500000,0.467813,0.483371,0.040197,0.459803,0.056979,0.441578,0.500000,0.000000,0.472473,0.526927,0.414796,0.467840,0.000250
1052,0.100000,P_B division de recensement,T2 intermediaire,humains vague 2,1937,1986,0.570470,0.556395,0.563344,0.067497,0.502973,0.096547,0.466982,0.570470,0.000000,0.545883,0.595711,0.441625,0.492233,0.000250
1052,0.100000,P_B division de recensement,T3 deductible,humains vague 2,1868,1878,0.574411,0.571353,0.572878,0.079324,0.495087,0.125677,0.443032,0.574411,0.000000,0.549568,0.600108,0.417445,0.469967,0.000250
1052,0.100000,P_B division de recensement,ensemble,humains vague 2,5709,5899,0.548257,0.530598,0.539283,0.062262,0.485995,0.092714,0.450501,0.548257,0.000000,0.531037,0.564430,0.433653,0.466913,0.000250
1052,0.100000,P_C partition aleatoire,T1 non deductible,humains vague 2,1956,2005,0.505112,0.492768,0.498864,0.038907,0.466206,0.051547,0.446177,0.505112,0.000000,0.479525,0.529567,0.419887,0.471652,0.000250
1052,0.100000,P_C partition aleatoire,T2 intermediaire,humains vague 2,2112,2253,0.558239,0.523302,0.540206,0.069160,0.489078,0.103552,0.453337,0.558239,0.000000,0.534224,0.581341,0.429150,0.476986,0.000250
1052,0.100000,P_C partition aleatoire,T3 deductible,humains vague 2,1641,1641,0.586837,0.586837,0.586837,0.081222,0.505615,0.128550,0.452005,0.586837,0.000000,0.559926,0.614144,0.423607,0.480231,0.000250
1052,0.100000,P_C partition aleatoire,ensemble,humains vague 2,5709,5899,0.548257,0.530598,0.539283,0.062262,0.485995,0.092714,0.450501,0.548257,0.000000,0.531037,0.564430,0.433653,0.466913,0.000250
1052,0.100000,P_B division de recensement,T1 non deductible,agents composite,1904,1593,0.242122,0.289391,0.263655,0.040197,0.201925,0.056979,0.184221,0.500000,-0.257878,0.221293,0.262664,0.162925,0.204590,0.000250
1052,0.100000,P_B division de recensement,T2 intermediaire,agents composite,1937,1856,0.292204,0.304957,0.298445,0.067497,0.224708,0.096547,0.182276,0.570470,-0.278265,0.267728,0.317075,0.159641,0.206228,0.000250
1052,0.100000,P_B division de recensement,T3 deductible,agents composite,1868,1971,0.388116,0.367834,0.377703,0.079324,0.308791,0.125677,0.256238,0.574411,-0.186296,0.362191,0.415006,0.229455,0.282946,0.000250
1052,0.100000,P_B division de recensement,ensemble,agents composite,5709,5420,0.306884,0.323247,0.314853,0.062262,0.244622,0.092714,0.207247,0.548257,-0.241373,0.290326,0.323851,0.191601,0.223409,0.000250
1052,0.100000,P_C partition aleatoire,T1 non deductible,agents composite,1956,1497,0.243865,0.318637,0.276281,0.038907,0.204958,0.051547,0.184516,0.505112,-0.261247,0.220903,0.264915,0.161583,0.205803,0.000250
1052,0.100000,P_C partition aleatoire,T2 intermediaire,agents composite,2112,2161,0.309186,0.302175,0.305640,0.069160,0.240025,0.103552,0.205425,0.558239,-0.249053,0.287188,0.331793,0.183537,0.228085,0.000250
1052,0.100000,P_C partition aleatoire,T3 deductible,agents composite,1641,1762,0.379037,0.353008,0.365560,0.081222,0.297815,0.128550,0.237422,0.586837,-0.207800,0.351025,0.407499,0.209762,0.264715,0.000250
1052,0.100000,P_C partition aleatoire,ensemble,agents composite,5709,5420,0.306884,0.323247,0.314853,0.062262,0.244622,0.092714,0.207247,0.548257,-0.241373,0.290326,0.323851,0.191601,0.223409,0.000250
1052,0.100000,P_B division de recensement,T1 non deductible,agents entretien (v3),1904,1659,0.209559,0.240506,0.223969,0.040197,0.169362,0.056979,0.150176,0.500000,-0.290441,0.189051,0.228631,0.129644,0.170006,0.000250
1052,0.100000,P_B division de recensement,T2 intermediaire,agents entretien (v3),1937,1906,0.275684,0.280168,0.277908,0.067497,0.208187,0.096547,0.168158,0.570470,-0.294786,0.250885,0.299203,0.145322,0.190588,0.000250
1052,0.100000,P_B division de recensement,T3 deductible,agents entretien (v3),1868,2243,0.403105,0.335711,0.366334,0.079324,0.323781,0.125677,0.272895,0.574411,-0.171306,0.377269,0.429858,0.246331,0.299663,0.000250
1052,0.100000,P_B division de recensement,ensemble,agents entretien (v3),5709,5808,0.295323,0.290289,0.292785,0.062262,0.233061,0.092714,0.196492,0.548257,-0.252934,0.279215,0.311183,0.180692,0.211815,0.000250
1052,0.100000,P_C partition aleatoire,T1 non deductible,agents entretien (v3),1956,1577,0.218303,0.270767,0.241721,0.038907,0.179396,0.051547,0.161194,0.505112,-0.286810,0.198178,0.237706,0.140025,0.181687,0.000250
