perimetre,seuil,partition,classe,borne_basse,borne_haute,cellules_minoritaires,items_distincts,plancher_item,plancher_segment,plancher_humains_vague_2,support_median
1052,0.100000,P_A stabilite,rarete stable,,,3130,70,0.064166,0.109429,1.000000,75.000000
1052,0.100000,P_A stabilite,rarete instable,,,2579,69,0.059951,0.072837,0.000000,71.000000
1052,0.100000,P_A stabilite,"hors partition, vague 2 absente",,,0,0,,,,
1052,0.100000,P_A stabilite,ensemble,,,5709,70,0.062262,0.092714,0.548257,73.000000
1052,0.100000,P_B division de recensement,T1 non deductible,0.044776,0.076531,1904,70,0.040197,0.056979,0.500000,39.000000
1052,0.100000,P_B division de recensement,T2 intermediaire,0.044776,0.076531,1937,60,0.067497,0.096547,0.570470,73.000000
1052,0.100000,P_B division de recensement,T3 deductible,0.044776,0.076531,1868,50,0.079324,0.125677,0.574411,87.000000
1052,0.100000,P_B division de recensement,ensemble,0.044776,0.076531,5709,70,0.062262,0.092714,0.548257,73.000000
1052,0.100000,P_C partition aleatoire,T1 non deductible,0.043103,0.077586,1956,63,0.038907,0.051547,0.505112,39.000000
1052,0.100000,P_C partition aleatoire,T2 intermediaire,0.043103,0.077586,2112,60,0.069160,0.103552,0.558239,75.000000
1052,0.100000,P_C partition aleatoire,T3 deductible,0.043103,0.077586,1641,42,0.081222,0.128550,0.586837,87.000000
1052,0.100000,P_C partition aleatoire,ensemble,0.043103,0.077586,5709,70,0.062262,0.092714,0.548257,73.000000
1052,0.200000,P_A stabilite,rarete stable,,,11153,101,0.130495,0.178492,1.000000,146.000000
1052,0.200000,P_A stabilite,rarete instable,,,7258,100,0.120519,0.138026,0.000000,137.000000
1052,0.200000,P_A stabilite,"hors partition, vague 2 absente",,,0,0,,,,
1052,0.200000,P_A stabilite,ensemble,,,18411,101,0.126562,0.162376,0.605779,141.000000
1052,0.200000,P_B division de recensement,T1 non deductible,0.100000,0.155556,6287,96,0.073961,0.102726,0.550501,78.000000
1052,0.200000,P_B division de recensement,T2 intermediaire,0.100000,0.155556,6033,80,0.136397,0.177122,0.612796,142.000000
1052,0.200000,P_B division de recensement,T3 deductible,0.100000,0.155556,6091,56,0.171116,0.209801,0.655886,187.000000
1052,0.200000,P_B division de recensement,ensemble,0.100000,0.155556,18411,101,0.126562,0.162376,0.605779,141.000000
1052,0.200000,P_C partition aleatoire,T1 non deductible,0.103448,0.155172,6863,92,0.075901,0.106703,0.556754,80.000000
1052,0.200000,P_C partition aleatoire,T2 intermediaire,0.103448,0.155172,5940,73,0.139810,0.180225,0.625253,147.000000
1052,0.200000,P_C partition aleatoire,T3 deductible,0.103448,0.155172,5608,49,0.174528,0.211713,0.645150,188.500000
1052,0.200000,P_C partition aleatoire,ensemble,0.103448,0.155172,18411,101,0.126562,0.162376,0.605779,141.000000
150,0.100000,P_A stabilite,rarete stable,,,354,63,0.066880,0.099378,1.000000,10.000000
150,0.100000,P_A stabilite,rarete instable,,,393,67,0.061747,0.064123,0.000000,9.000000
150,0.100000,P_A stabilite,"hors partition, vague 2 absente",,,0,0,,,,
150,0.100000,P_A stabilite,ensemble,,,747,69,0.064179,0.081344,0.473896,9.000000
150,0.100000,P_B division de recensement,T1 non deductible,0.045538,0.083333,249,55,0.036232,0.048577,0.397590,6.000000
150,0.100000,P_B division de recensement,T2 intermediaire,0.045538,0.083333,264,56,0.067047,0.073180,0.522727,10.000000
150,0.100000,P_B division de recensement,T3 deductible,0.045538,0.083333,234,38,0.090683,0.125390,0.500000,12.000000
150,0.100000,P_B division de recensement,ensemble,0.045538,0.083333,747,69,0.064179,0.081344,0.473896,9.000000
150,0.100000,P_C partition aleatoire,T1 non deductible,0.043103,0.078261,262,57,0.036788,0.045568,0.412214,6.000000
150,0.100000,P_C partition aleatoire,T2 intermediaire,0.043103,0.078261,239,51,0.066034,0.077611,0.510460,10.000000
150,0.100000,P_C partition aleatoire,T3 deductible,0.043103,0.078261,246,40,0.091550,0.123193,0.504065,12.000000
150,0.100000,P_C partition aleatoire,ensemble,0.043103,0.078261,747,69,0.064179,0.081344,0.473896,9.000000
150,0.200000,P_A stabilite,rarete stable,,,1406,95,0.129938,0.185292,1.000000,21.000000
150,0.200000,P_A stabilite,rarete instable,,,1008,97,0.113680,0.129571,0.000000,18.000000
150,0.200000,P_A stabilite,"hors partition, vague 2 absente",,,0,0,,,,
150,0.200000,P_A stabilite,ensemble,,,2414,98,0.123149,0.162136,0.582436,21.000000
150,0.200000,P_B division de recensement,T1 non deductible,0.096939,0.152381,810,88,0.069969,0.097743,0.504938,10.000000
150,0.200000,P_B division de recensement,T2 intermediaire,0.096939,0.152381,818,79,0.132117,0.176323,0.577017,22.000000
150,0.200000,P_B division de recensement,T3 deductible,0.096939,0.152381,786,55,0.168622,0.212909,0.667939,25.000000
150,0.200000,P_B division de recensement,ensemble,0.096939,0.152381,2414,98,0.123149,0.162136,0.582436,21.000000
150,0.200000,P_C partition aleatoire,T1 non deductible,0.094828,0.155172,843,84,0.069731,0.100050,0.487544,10.000000
150,0.200000,P_C partition aleatoire,T2 intermediaire,0.094828,0.155172,889,74,0.134596,0.176397,0.616423,22.000000
150,0.200000,P_C partition aleatoire,T3 deductible,0.094828,0.155172,682,46,0.174258,0.220997,0.655425,26.000000
150,0.200000,P_C partition aleatoire,ensemble,0.094828,0.155172,2414,98,0.123149,0.162136,0.582436,21.000000
