item,colonne,n_modalites
natspac/y,0,3
natenvir/y,1,3
natheal/y,2,3
natcity/y,3,3
natdrug/y,4,3
nateduc/y,5,3
natrace/y,6,3
natarms/y,7,3
nataid/y,8,3
natfare/y,9,3
natroad,10,3
natsoc,11,3
natmass,12,3
natpark,13,3
natchld,14,3
natsci,15,3
natenrgy,16,3
courts,19,3
discaffw,20,4
discaffm,21,4
fehire,22,5
fechld,23,4
fepresch,24,4
fefam,25,4
mobile16,27,3
incom16,28,5
conarmy,39,3
conbus,40,3
conclerg,41,3
coneduc,42,3
confed,43,3
confinan,44,3
conjudge,45,3
conlabor,46,3
conlegis,47,3
conmedic,48,3
conpress,49,3
consci,50,3
contv,51,3
happy,54,3
class,81,4
satfin,82,3
finalter,83,3
finrela,84,5
wlthwhts,89,7
wlthblks,90,7
wlthhsps,91,7
letin1a,93,5
getahead,94,3
aged,95,3
parsol,96,5
spanking,98,4
divlaw,99,3
pillok,101,4
xmarsex,102,4
homosex,103,4
marhomo,104,5
discaff,105,3
pornlaw,118,3
fair,119,3
helpful,120,3
trust,121,3
tax,122,3
news,126,5
attend,130,9
pray,131,6
bible,133,3
granborn,136,5
income,140,12
health,142,4
life,147,3
