perimetre,condition,famille_condition,exactitude,exactitude_ic_bas,exactitude_ic_haut,taux_refus,correlation,correlation_moyenne_brute,glass_delta,rapport_ecarts_types,rapport_median,n_items,items_sous_1,correlations_positives,correlation_ic_bas,correlation_ic_haut,glass_delta_ic_bas,glass_delta_ic_haut,rapport_ecarts_types_ic_bas,rapport_ecarts_types_ic_haut
150,agents composite,riche,0.792426,0.783844,0.800625,0.000469,0.441371,0.419811,0.222304,0.915209,0.925820,71,49,71,0.413227,0.473175,0.215204,0.255617,0.896480,0.938052
150,agents entretien (v3),riche,0.769269,0.760576,0.777868,0.002441,0.406475,0.385661,0.287057,0.942336,0.933777,71,45,69,0.377496,0.438986,0.275654,0.320094,0.915077,0.971393
150,agents enquete,riche,0.765443,0.755563,0.774498,0.002066,0.372704,0.360732,0.289336,0.902124,0.871780,71,48,68,0.339325,0.409121,0.271790,0.326377,0.880183,0.925923
150,agents demographiques (v6),etiquette,0.733977,0.725142,0.743219,0.002347,0.222481,0.133156,0.325235,0.660234,0.662087,71,66,60,0.200076,0.252509,0.310936,0.368549,0.631968,0.686305
150,agents v7,riche,0.724953,0.714819,0.735142,0.001972,0.156627,0.154540,0.404042,0.699039,0.669715,71,67,63,0.120384,0.191516,0.372807,0.456716,0.649904,0.752488
150,agents v8,etiquette,0.720121,0.709544,0.730704,0.001315,0.216476,0.210016,0.321892,0.890082,0.926321,71,40,64,0.178202,0.258280,0.306390,0.363651,0.846597,0.935335
150,C2,etiquette,0.706741,0.698581,0.715159,0.000000,0.163293,0.157797,0.451651,0.771048,0.778969,71,56,54,0.131627,0.195352,0.432822,0.493359,0.720063,0.822335
150,C3,riche,0.716478,0.707518,0.725829,0.000000,0.262375,0.251500,0.547491,0.780458,0.770281,71,57,59,0.232756,0.294494,0.532069,0.586051,0.751701,0.807951
150,PMM k=5,imputation par tirage,0.776841,0.768865,0.784765,0.000000,0.365790,0.357960,0.075717,0.972186,0.966003,71,47,71,0.336198,0.398560,0.085899,0.123071,0.959655,0.989376
150,PMM k=10,imputation par tirage,0.774994,0.766388,0.783194,0.000000,0.362572,0.354833,0.071609,0.970601,0.971706,71,49,71,0.333946,0.394033,0.085067,0.119819,0.958014,0.987800
150,IM m=10 mode des m,imputation multiple,0.790221,0.781659,0.798361,0.000000,0.374400,0.365315,0.119321,0.877318,0.891677,71,64,71,0.345619,0.407928,0.117994,0.155306,0.864611,0.892933
150,B0 mode,aveugle,0.750923,0.741875,0.760250,0.000000,-0.029045,-0.028761,0.468273,0.044090,0.000000,71,71,3,-0.100783,0.043575,0.456143,0.494027,0.041024,0.047509
150,B1 argmax,statistique,0.760947,0.752682,0.769059,0.000000,0.237717,0.232451,0.198505,0.806043,0.810268,71,64,66,0.207649,0.271101,0.184358,0.240723,0.777824,0.835312
150,B2 argmax,statistique,0.789941,0.781245,0.798074,0.000000,0.327259,0.319414,0.244758,0.691698,0.724505,71,67,68,0.294250,0.363297,0.236119,0.277712,0.670011,0.712085
150,B3 foret,statistique,0.769526,0.760493,0.778563,0.000000,0.213581,0.207907,0.299762,0.602317,0.675768,71,69,63,0.188231,0.255261,0.277383,0.333334,0.571389,0.626764
150,humains vague 2,plancher,0.866640,0.855572,0.876134,0.000000,0.649490,0.629568,0.061181,0.987624,0.983018,71,42,71,0.619932,0.684625,0.067344,0.097274,0.974894,1.004472
1052,agents composite,riche,0.791125,0.787854,0.794181,0.000428,0.444595,0.428344,0.208977,0.923913,0.919677,71,46,71,0.433744,0.456270,0.203270,0.219427,0.916104,0.932287
1052,agents entretien (v3),riche,0.770299,0.767187,0.773462,0.002477,0.410482,0.394828,0.267131,0.946232,0.935125,71,42,71,0.399602,0.422301,0.258102,0.279967,0.937076,0.956010
