variante,perimetre,condition,plancher_r_temoin,ecart_de_correlation,ic_bas,ic_haut,p,p_holm,p_bh
moyenne d'item,1052,agents composite,-0.001170,0.441571,0.423807,0.459533,0.000500,0.006500,0.000500
moyenne d'item,1052,agents entretien (v3),-0.001170,0.406754,0.388940,0.425029,0.000500,0.006500,0.000500
moyenne d'item,1052,agents enquete,-0.001170,0.366872,0.348056,0.385546,0.000500,0.006500,0.000500
moyenne d'item,1052,agents demographiques (v6),-0.001170,0.129331,0.114523,0.144773,0.000500,0.006500,0.000500
moyenne d'item,1052,agents v7,-0.001170,0.106037,0.089888,0.122354,0.000500,0.006500,0.000500
moyenne d'item,1052,agents v8,-0.001170,0.234852,0.213611,0.256932,0.000500,0.006500,0.000500
moyenne d'item,1052,PMM k=5,-0.001170,0.380438,0.362128,0.398680,0.000500,0.006500,0.000500
moyenne d'item,1052,PMM k=10,-0.001170,0.380362,0.363057,0.398228,0.000500,0.006500,0.000500
moyenne d'item,1052,IM m=10 mode des m,-0.001170,0.390198,0.373188,0.407367,0.000500,0.006500,0.000500
moyenne d'item,1052,B1 argmax,-0.001170,0.247695,0.231249,0.264130,0.000500,0.006500,0.000500
moyenne d'item,1052,B2 argmax,-0.001170,0.329112,0.311692,0.345961,0.000500,0.006500,0.000500
moyenne d'item,1052,B3 foret,-0.001170,0.226655,0.211885,0.240681,0.000500,0.006500,0.000500
moyenne d'item,1052,humains vague 2,-0.001170,0.667004,0.649890,0.682985,0.000500,0.006500,0.000500
moyenne d'item,150,agents composite,0.004291,0.431224,0.383885,0.478789,0.000500,0.007500,0.000500
moyenne d'item,150,agents entretien (v3),0.004291,0.392744,0.348259,0.439643,0.000500,0.007500,0.000500
moyenne d'item,150,agents enquete,0.004291,0.351395,0.301007,0.402325,0.000500,0.007500,0.000500
moyenne d'item,150,agents demographiques (v6),0.004291,0.129960,0.094897,0.168121,0.000500,0.007500,0.000500
moyenne d'item,150,agents v7,0.004291,0.129530,0.084187,0.177496,0.000500,0.007500,0.000500
moyenne d'item,150,agents v8,0.004291,0.222804,0.167662,0.277696,0.000500,0.007500,0.000500
moyenne d'item,150,C2,0.004291,0.128371,0.085410,0.172955,0.000500,0.007500,0.000500
moyenne d'item,150,C3,0.004291,0.183381,0.144898,0.223459,0.000500,0.007500,0.000500
moyenne d'item,150,PMM k=5,0.004291,0.369577,0.322715,0.415261,0.000500,0.007500,0.000500
moyenne d'item,150,PMM k=10,0.004291,0.366259,0.320042,0.409935,0.000500,0.007500,0.000500
moyenne d'item,150,IM m=10 mode des m,0.004291,0.375545,0.331322,0.419163,0.000500,0.007500,0.000500
moyenne d'item,150,B1 argmax,0.004291,0.240195,0.198059,0.282679,0.000500,0.007500,0.000500
moyenne d'item,150,B2 argmax,0.004291,0.322125,0.278792,0.366944,0.000500,0.007500,0.000500
moyenne d'item,150,B3 foret,0.004291,0.209620,0.172089,0.247232,0.000500,0.007500,0.000500
moyenne d'item,150,humains vague 2,0.004291,0.645237,0.598911,0.687965,0.000500,0.007500,0.000500
moyenne d'item et de segment 18,1052,agents composite,0.022411,0.345450,0.327893,0.363160,0.000500,0.006500,0.000500
moyenne d'item et de segment 18,1052,agents entretien (v3),0.022411,0.291879,0.274304,0.311065,0.000500,0.006500,0.000500
moyenne d'item et de segment 18,1052,agents enquete,0.022411,0.267419,0.248838,0.286708,0.000500,0.006500,0.000500
moyenne d'item et de segment 18,1052,agents demographiques (v6),0.022411,0.082267,0.069024,0.096313,0.000500,0.006500,0.000500
moyenne d'item et de segment 18,1052,agents v7,0.022411,0.063677,0.049400,0.077870,0.000500,0.006500,0.000500
moyenne d'item et de segment 18,1052,agents v8,0.022411,0.042585,0.020062,0.065485,0.000500,0.006500,0.000500
moyenne d'item et de segment 18,1052,PMM k=5,0.022411,0.287903,0.270259,0.305196,0.000500,0.006500,0.000500
moyenne d'item et de segment 18,1052,PMM k=10,0.022411,0.287438,0.270241,0.304846,0.000500,0.006500,0.000500
moyenne d'item et de segment 18,1052,IM m=10 mode des m,0.022411,0.297695,0.280797,0.314715,0.000500,0.006500,0.000500
moyenne d'item et de segment 18,1052,B1 argmax,0.022411,0.098159,0.082094,0.114868,0.000500,0.006500,0.000500
moyenne d'item et de segment 18,1052,B2 argmax,0.022411,0.225803,0.210588,0.241852,0.000500,0.006500,0.000500
moyenne d'item et de segment 18,1052,B3 foret,0.022411,0.085291,0.071983,0.098443,0.000500,0.006500,0.000500
moyenne d'item et de segment 18,1052,humains vague 2,0.022411,0.611136,0.593754,0.628141,0.000500,0.006500,0.000500
moyenne d'item et de segment 18,150,agents composite,0.024206,0.342468,0.293541,0.393642,0.000500,0.007500,0.000682
moyenne d'item et de segment 18,150,agents entretien (v3),0.024206,0.284114,0.233857,0.335508,0.000500,0.007500,0.000682
moyenne d'item et de segment 18,150,agents enquete,0.024206,0.260879,0.207896,0.315944,0.000500,0.007500,0.000682
moyenne d'item et de segment 18,150,agents demographiques (v6),0.024206,0.087059,0.053300,0.122134,0.000500,0.007500,0.000682
moyenne d'item et de segment 18,150,agents v7,0.024206,0.082850,0.041772,0.126591,0.001000,0.007500,0.001154
moyenne d'item et de segment 18,150,agents v8,0.024206,0.045717,-0.015986,0.108437,0.157000,0.314000,0.168214
moyenne d'item et de segment 18,150,C2,0.024206,0.030597,-0.012651,0.076205,0.176000,0.314000,0.176000
moyenne d'item et de segment 18,150,C3,0.024206,0.149761,0.110249,0.190845,0.000500,0.007500,0.000682
moyenne d'item et de segment 18,150,PMM k=5,0.024206,0.278326,0.227476,0.326650,0.000500,0.007500,0.000682
moyenne d'item et de segment 18,150,PMM k=10,0.024206,0.273527,0.225952,0.321171,0.000500,0.007500,0.000682
moyenne d'item et de segment 18,150,IM m=10 mode des m,0.024206,0.283575,0.237592,0.330770,0.000500,0.007500,0.000682
moyenne d'item et de segment 18,150,B1 argmax,0.024206,0.093402,0.048854,0.137329,0.000500,0.007500,0.000682
moyenne d'item et de segment 18,150,B2 argmax,0.024206,0.222047,0.178302,0.269508,0.000500,0.007500,0.000682
moyenne d'item et de segment 18,150,B3 foret,0.024206,0.068105,0.031916,0.103844,0.001000,0.007500,0.001154
moyenne d'item et de segment 18,150,humains vague 2,0.024206,0.592105,0.542922,0.642020,0.000500,0.007500,0.000682
moyenne d'item et de segment 42,1052,agents composite,0.044908,0.335216,0.317534,0.353029,0.000500,0.006500,0.000500
moyenne d'item et de segment 42,1052,agents entretien (v3),0.044908,0.282375,0.264579,0.300697,0.000500,0.006500,0.000500
moyenne d'item et de segment 42,1052,agents enquete,0.044908,0.256957,0.237936,0.276763,0.000500,0.006500,0.000500
moyenne d'item et de segment 42,1052,agents demographiques (v6),0.044908,0.076588,0.063424,0.090691,0.000500,0.006500,0.000500
moyenne d'item et de segment 42,1052,agents v7,0.044908,0.057880,0.043454,0.071901,0.000500,0.006500,0.000500
moyenne d'item et de segment 42,1052,agents v8,0.044908,0.037778,0.015329,0.060390,0.000500,0.006500,0.000500
moyenne d'item et de segment 42,1052,PMM k=5,0.044908,0.275035,0.257824,0.293175,0.000500,0.006500,0.000500
moyenne d'item et de segment 42,1052,PMM k=10,0.044908,0.274442,0.256481,0.291969,0.000500,0.006500,0.000500
moyenne d'item et de segment 42,1052,IM m=10 mode des m,0.044908,0.285558,0.268618,0.302826,0.000500,0.006500,0.000500
moyenne d'item et de segment 42,1052,B1 argmax,0.044908,0.084663,0.068697,0.100965,0.000500,0.006500,0.000500
moyenne d'item et de segment 42,1052,B2 argmax,0.044908,0.218129,0.202103,0.234077,0.000500,0.006500,0.000500
