condition,perimetre,segmentation,exactitude_vraie,exactitude_permutee,permutee_bas,permutee_haut,chute,chute_relative,exactitude_reassignation_optimale,part_recuperee_par_reassignation,permutations
humains vague 1,1052,S_fin,1.0,0.5461298070788781,0.5394320820680327,0.553672455150943,0.45387019292112185,0.45387019292112185,1.0,1.0,200
humains vague 1,1052,S_ideo,1.0,0.5212115625079745,0.5177946449077501,0.5244596422282901,0.4787884374920255,0.4787884374920255,1.0,1.0,200
humains vague 2,1052,S_fin,0.795002169086687,0.5366462092020312,0.5326814377216935,0.5405271518615868,0.25835595988465576,0.3249751635035912,0.7951233827544849,1.000469173104627,200
humains vague 2,1052,S_ideo,0.795002169086687,0.5189641016153317,0.5155459718784291,0.5221258006481742,0.2760380674713553,0.3472167475825542,0.7953785694235334,1.0013635812636075,200
agents composite,1052,S_fin,0.683932171383367,0.5424099191058259,0.5391156505984128,0.5458841580115853,0.14152225227754112,0.20692439718296732,0.6843468497205706,1.002930128163805,200
agents composite,1052,S_ideo,0.683932171383367,0.5315616148212418,0.5290378505626866,0.5343340903871182,0.15237055656212528,0.22278606408283205,0.6854888100645622,1.0102161383164632,200
agents entretien (v3),1052,S_fin,0.6564932247939368,0.5444733585117514,0.5418121762319136,0.546738235894557,0.11201986628218541,0.1706336974267278,0.6572524051343558,1.0067771937747771,200
agents entretien (v3),1052,S_ideo,0.6564932247939368,0.5353540715033046,0.5326304003878838,0.5378030341694949,0.12113915329063218,0.18452460545751392,0.6612843545053207,1.0395506290182603,200
agents enquete,1052,S_fin,0.6509875724092173,0.5354205157322581,0.5321214624748003,0.5390068772807308,0.11556705667695921,0.17752574945365102,0.6529397504274377,1.0168921669752065,200
agents enquete,1052,S_ideo,0.6509875724092173,0.5290910250848495,0.5261534437440988,0.5314265572766479,0.12189654732436783,0.18724865495242118,0.6568185877969733,1.0478357715271427,200
agents demographiques (v6),1052,S_fin,0.581787327430015,0.5383231046010156,0.5361049263786459,0.5409467744405032,0.04346422282899942,0.07470809483080029,0.6072294383341414,1.5853575480740305,200
agents demographiques (v6),1052,S_ideo,0.581787327430015,0.5343838517875826,0.5321696289585833,0.5365256653992396,0.04740347564243241,0.08147904467399167,0.6250606068338991,1.9128714470284263,200
agents v7,1052,S_fin,0.5640135759307934,0.5389336068083804,0.5365735128996861,0.5410659147166151,0.02507996912241295,0.04446696000361941,0.6065850919947943,2.697430959990954,200
agents v7,1052,S_ideo,0.5640135759307934,0.5333674432847628,0.530831972337765,0.5355290019649372,0.030646132646030555,0.05433580671432447,0.6249330134993747,2.987834428318051,200
