condition,perimetre,segmentation,Q5_reel,Q5_nul,d,z,d_ic_bas,d_ic_haut,p,p_holm,p_bh,verdict
humains vague 1,1052,S_fin,0.06771496491752155,0.02525718951852588,0.042457775398995666,228.22163891113263,0.03503129932949438,0.04053220668870615,0.001,0.013000000000000001,0.001,porteur de personne
humains vague 1,1052,S_ideo,0.06697316667282195,0.02478581159895783,0.04218735507386412,230.18625775174309,0.03507724585046382,0.04017317952119925,0.001,,,
humains vague 2,1052,S_fin,0.06966594950345988,0.02526160169160679,0.04440434781185308,242.56280410962984,0.03680530283922925,0.04264101232154934,0.001,0.013000000000000001,0.001,porteur de personne
humains vague 2,1052,S_ideo,0.06920327993129805,0.024778685776960154,0.04442459415433789,289.3662682805724,0.0370760532378763,0.04245140589244633,0.001,,,
agents composite,1052,S_fin,0.11329945201804023,0.025279488734060326,0.0880199632839799,441.873206787563,0.07664235713498473,0.08710869781807012,0.001,0.013000000000000001,0.001,porteur de personne
agents composite,1052,S_ideo,0.10867301337846631,0.024837666235558994,0.08383534714290732,466.20909045888897,0.07306822342353073,0.08263810779163568,0.001,,,
agents entretien (v3),1052,S_fin,0.11911782992794473,0.025010668371532915,0.09410716155641181,297.954322777827,0.08195679105716837,0.09379372078352602,0.001,0.013000000000000001,0.001,porteur de personne
agents entretien (v3),1052,S_ideo,0.11401752999670561,0.024609961472471912,0.0894075685242337,295.7000702635935,0.07794062210951636,0.08891529037583695,0.001,,,
agents enquete,1052,S_fin,0.10986990485722578,0.02513335161969972,0.08473655323752606,368.0626939766519,0.07251668030714709,0.08483401034195379,0.001,0.013000000000000001,0.001,porteur de personne
agents enquete,1052,S_ideo,0.10200597388014664,0.024682419256911264,0.07732355462323537,346.1132740433257,0.0664468010105453,0.07706025768955532,0.001,,,
agents demographiques (v6),1052,S_fin,0.1116822700403968,0.023564807728487153,0.08811746231190964,371.75269368834313,0.07643712679208829,0.08858105215614301,0.001,0.013000000000000001,0.001,porteur de personne
agents demographiques (v6),1052,S_ideo,0.11571039175163558,0.02309107314284007,0.09261931860879552,391.03128732472555,0.08075529500151923,0.09315948674708296,0.001,,,
agents v7,1052,S_fin,0.1285844619190425,0.02458616498161833,0.10399829693742416,455.2150512711874,0.08825282027780536,0.10538730141780682,0.001,0.013000000000000001,0.001,porteur de personne
agents v7,1052,S_ideo,0.12856336771763244,0.024082174666352697,0.10448119305127974,409.4299688295689,0.089438714050513,0.10603659299769808,0.001,,,
agents v8,1052,S_fin,0.14364276114690577,0.02334549105148752,0.12029727009541825,466.900817889842,0.10280758779562396,0.12540045321565674,0.001,0.013000000000000001,0.001,porteur de personne
agents v8,1052,S_ideo,0.11677924125641764,0.0225588008755869,0.09422044038083074,398.90782286656935,0.07747510772962386,0.0986316699280775,0.001,,,
C2,150,S_fin,0.14320746569573314,0.056267395249149595,0.08694007044658356,91.10652011528892,0.044605756276077914,0.09706476823500414,0.001,0.013000000000000001,0.001,porteur de personne
C2,150,S_ideo,0.08628489858692853,0.03961211345021907,0.046672785136709465,56.52731531500795,0.028577633944052078,0.051699517332989824,0.001,,,
C3,150,S_fin,0.11316387555034685,0.06260905629354573,0.05055481925680112,43.74137473094647,0.03181381617804963,0.05377991239247138,0.001,0.013000000000000001,0.001,porteur de personne
C3,150,S_ideo,0.11003072626961474,0.055476086153488424,0.05455464011612632,59.51713571331633,0.03775786313824682,0.05879963039679993,0.001,,,
B1 argmax,1052,S_fin,0.07159616680909905,0.02324432669660241,0.048351840112496644,139.71465076669182,0.039899303815488146,0.04596289127363409,0.001,0.013000000000000001,0.001,porteur de personne
B1 argmax,1052,S_ideo,0.07150092961928417,0.022832584042946937,0.04866834557633723,160.8575105217496,0.04052614617432531,0.04580941908416074,0.001,,,
B2 argmax,1052,S_fin,0.10569565565215311,0.020424608089208807,0.0852710475629443,364.80868613813374,0.07332168931456337,0.08444555249747555,0.001,0.013000000000000001,0.001,porteur de personne
B2 argmax,1052,S_ideo,0.10249996448320968,0.02002199572517384,0.08247796875803584,331.5283886433254,0.07119652467034446,0.08158924805482462,0.001,,,
PMM k=10,1052,S_fin,0.08180666870253958,0.02462166875794255,0.05718499994459703,271.23543252175136,0.04760835330617099,0.055094357341607725,0.001,0.013000000000000001,0.001,porteur de personne
PMM k=10,1052,S_ideo,0.07994581855047192,0.024142170429383034,0.055803648121088886,258.2000682763083,0.046946855873408716,0.05362854913294669,0.001,,,
