etude,description_echantillon,item,parti_decrit,groupe,question_en,n_repondants,perception_moyenne,perception_moyenne_ponderee,perception_ic_bas,perception_ic_haut,perception_mediane,perception_ecart_type,realite_ahler_sood,source_realite,exageration_points,exageration_ratio,erreur_relative_moyenne,erreur_relative_ic_bas,erreur_relative_ic_haut,part_au_dessus_de_la_realite,part_sous_estimant
YouGov,"echantillon en ligne apparie, 1 000 adultes",dem_black,Democratic,Black,What percentage of Democratic Party supporters are Black?,1000,41.805,41.93494192077453,40.073,43.609125,35.0,28.29872422553343,24.0,"ANES 2012, dem_racecps_black, ponderee, parmi pid_3 == Dem",17.805,1.741875,0.741875,0.6635302083333333,0.8111697916666666,0.706,0.293
YouGov,"echantillon en ligne apparie, 1 000 adultes",dem_union,Democratic,Union,What percentage of Democratic Party supporters are union members?,1000,38.783,39.331062691324696,37.06985,40.507275,30.0,27.914962943843506,10.5,"ANES 2012, dem_unionwho_r == 1, ponderee, parmi pid_3 == Dem",28.283,3.693619047619048,2.693619047619048,2.5290452380952377,2.854480952380952,0.799,0.201
YouGov,"echantillon en ligne apparie, 1 000 adultes",dem_aa,Democratic,Atheist/Agnostic,What percentage of Democratic Party supporters are atheist or agnostic?,1000,28.528,28.69112456476653,26.976875,30.237274999999997,20.0,26.368893312661694,8.7,"Pew Religious Landscape 2014, calcul des auteurs (0,73 x 5,7) / 48, pas une enquete de leur main",19.828,3.279080459770115,2.2790804597701153,2.0965229885057473,2.467241379310345,0.77,0.23
YouGov,"echantillon en ligne apparie, 1 000 adultes",dem_lgb,Democratic,LGB,"What percentage of Democratic Party supporters are gay, lesbian or bisexual?",1000,31.852,31.707186070951963,30.110924999999998,33.724349999999994,20.0,29.375653610175636,6.3,"ANES 2012, orientn_rgay recodee, ponderee, parmi pid_3 == Dem",25.552,5.055873015873016,4.055873015873017,3.7547420634920634,4.35445634920635,0.811,0.189
YouGov,"echantillon en ligne apparie, 1 000 adultes",rep_evang,Republican,Evangelical,What percentage of Republican Party supporters are evangelical Christians?,1000,43.079,41.55604237551742,41.33,44.783075000000004,40.0,28.3888831708415,34.3,"Pew Religious Landscape 2014, evangeliques blancs, calcul des auteurs, pas une enquete de leur main",8.779000000000003,1.2559475218658893,0.2559475218658893,0.2040473760932946,0.3079897959183675,0.547,0.453
YouGov,"echantillon en ligne apparie, 1 000 adultes",rep_rich,Republican,$250K+ Income,"What percentage of Republican Party supporters earn over $250,000 per year?",1000,37.88,38.24762803336622,36.088975,39.673075000000004,30.0,29.436305748108,2.2,"ANES 2012, inc_incgroup_pre == 28, ponderee, parmi pid_3 == Rep",35.68,17.21818181818182,16.218181818181815,15.42315909090909,17.073704545454543,0.918,0.082
YouGov,"echantillon en ligne apparie, 1 000 adultes",rep_old,Republican,Age 65+,What percentage of Republican Party supporters are 65 years or older?,1000,39.342,39.14321872683236,37.848,40.799175,40.0,23.21331285908786,21.3,"ANES 2012, dem_agegrp_iwdate >= 11, ponderee, parmi pid_3 == Rep",18.041999999999998,1.8470422535211266,0.8470422535211267,0.7791537558685445,0.9146103286384976,0.733,0.267
YouGov,"echantillon en ligne apparie, 1 000 adultes",rep_south,Republican,Southern,What percentage of Republican Party supporters are Southerners?,1000,40.4815,40.39410833492351,38.924487500000005,41.96905,40.0,24.553416830006125,35.7,"ANES 2012, 13 Etats declares sudistes a 50 pour cent et plus par une enquete FiveThirtyEight, ponderee, parmi pid_3 == Rep",4.781499999999994,1.1339355742296917,0.13393557422969177,0.09020903361344529,0.17785469187675057,0.519,0.481
MTurk explications alternatives,"MTurk, quatre conditions, condition standard comprise",dem_black,Democratic,Black,What percentage of Democratic Party supporters are Black?,331,37.725075528700906,,35.44675226586103,40.235649546827794,30.0,22.35173248475464,24.0,"ANES 2012, dem_racecps_black, ponderee, parmi pid_3 == Dem",13.725075528700906,1.5718781470292045,0.5718781470292045,0.46814262336354473,0.6718340886203424,0.7039274924471299,0.2930513595166163
MTurk explications alternatives,"MTurk, quatre conditions, condition standard comprise",dem_union,Democratic,Union,What percentage of Democratic Party supporters are union members?,331,36.404833836858,,33.91722054380664,38.788670694864045,30.0,22.165613025712588,10.5,"ANES 2012, dem_unionwho_r == 1, ponderee, parmi pid_3 == Dem",25.904833836858003,3.4671270320817147,2.4671270320817147,2.243540497770105,2.707416199108042,0.8700906344410876,0.1299093655589124
MTurk explications alternatives,"MTurk, quatre conditions, condition standard comprise",dem_aa,Democratic,Atheist/Agnostic,What percentage of Democratic Party supporters are atheist or agnostic?,331,30.492447129909365,,28.247583081570998,32.85845921450151,25.0,22.149952535541512,8.7,"Pew Religious Landscape 2014, calcul des auteurs (0,73 x 5,7) / 48, pas une enquete de leur main",21.792447129909366,3.5048789804493525,2.5048789804493525,2.2228530749730875,2.796949335000174,0.8942598187311178,0.10574018126888217
MTurk explications alternatives,"MTurk, quatre conditions, condition standard comprise",dem_lgb,Democratic,LGB,"What percentage of Democratic Party supporters are gay, lesbian or bisexual?",331,29.404833836858007,,26.664652567975832,32.16329305135951,20.0,26.370308846967028,6.3,"ANES 2012, orientn_rgay recodee, ponderee, parmi pid_3 == Dem",23.104833836858006,4.667433942358414,3.667433942358414,3.2176065793890567,4.114396010166404,0.8459214501510574,0.1540785498489426
MTurk explications alternatives,"MTurk, quatre conditions, condition standard comprise",rep_evang,Republican,Evangelical,What percentage of Republican Party supporters are evangelical Christians?,335,48.71940298507463,,46.00559701492538,51.49283582089552,45.0,25.970020940816703,34.3,"Pew Religious Landscape 2014, evangeliques blancs, calcul des auteurs, pas une enquete de leur main",14.419402985074633,1.420390757582351,0.4203907575823508,0.33849701927679393,0.5007332143944998,0.6686567164179105,0.33134328358208953
MTurk explications alternatives,"MTurk, quatre conditions, condition standard comprise",rep_rich,Republican,$250K+ Income,"What percentage of Republican Party supporters earn over $250,000 per year?",335,34.2955223880597,,31.420895522388058,37.28462686567164,29.0,26.928367123516207,2.2,"ANES 2012, inc_incgroup_pre == 28, ponderee, parmi pid_3 == Rep",32.0955223880597,15.588873812754409,14.588873812754406,13.340264586160105,15.863161465400268,0.9462686567164179,0.05373134328358209
MTurk explications alternatives,"MTurk, quatre conditions, condition standard comprise",rep_old,Republican,Age 65+,What percentage of Republican Party supporters are 65 years or older?,335,47.331343283582086,,45.074477611940296,49.57611940298507,45.0,20.86456332352069,21.3,"ANES 2012, dem_agegrp_iwdate >= 11, ponderee, parmi pid_3 == Rep",26.031343283582085,2.2221287926564357,1.222128792656436,1.1162987877513841,1.3287856492186951,0.8835820895522388,0.11641791044776119
MTurk explications alternatives,"MTurk, quatre conditions, condition standard comprise",rep_south,Republican,Southern,What percentage of Republican Party supporters are Southerners?,335,47.7044776119403,,45.41462686567164,50.059701492537314,49.0,21.59436492831941,35.7,"ANES 2012, 13 Etats declares sudistes a 50 pour cent et plus par une enquete FiveThirtyEight, ponderee, parmi pid_3 == Rep",12.004477611940295,1.3362598770851624,0.33625987708516225,0.2698607801329486,0.40223253480496673,0.6865671641791045,0.31343283582089554
MTurk affect partisan,"MTurk, mesure avant traitement",dem_black,Democratic,Black,What percentage of Democratic Party supporters are Black?,267,41.39325842696629,,38.52022471910112,44.33361423220974,35.0,24.65793866775443,24.0,"ANES 2012, dem_racecps_black, ponderee, parmi pid_3 == Dem",17.39325842696629,1.7247191011235954,0.7247191011235955,0.6024890761548064,0.852227684144819,0.700374531835206,0.2958801498127341
MTurk affect partisan,"MTurk, mesure avant traitement",dem_union,Democratic,Union,What percentage of Democratic Party supporters are union members?,267,39.31086142322097,,36.39700374531835,42.30767790262172,35.0,24.47057451152983,10.5,"ANES 2012, dem_unionwho_r == 1, ponderee, parmi pid_3 == Dem",28.81086142322097,3.743891564116283,2.7438915641162827,2.460674157303371,3.0253433208489393,0.8614232209737828,0.13857677902621723
MTurk affect partisan,"MTurk, mesure avant traitement",dem_aa,Democratic,Atheist/Agnostic,What percentage of Democratic Party supporters are atheist or agnostic?,267,29.10674157303371,,26.408146067415732,31.749250936329588,20.0,22.65084836874641,8.7,"Pew Religious Landscape 2014, calcul des auteurs (0,73 x 5,7) / 48, pas une enquete de leur main",20.40674157303371,3.345602479659047,2.345602479659047,2.044459511817125,2.651513194713505,0.8876404494382022,0.11235955056179775
MTurk affect partisan,"MTurk, mesure avant traitement",dem_lgb,Democratic,LGB,"What percentage of Democratic Party supporters are gay, lesbian or bisexual?",267,30.51498127340824,,27.151544943820223,34.03075842696629,20.0,28.11739889432084,6.3,"ANES 2012, orientn_rgay recodee, ponderee, parmi pid_3 == Dem",24.214981273408238,4.843647821175911,3.8436478211759106,3.304738124962844,4.386771000535044,0.8314606741573034,0.16853932584269662
MTurk affect partisan,"MTurk, mesure avant traitement",rep_evang,Republican,Evangelical,What percentage of Republican Party supporters are evangelical Christians?,551,49.9038112522686,,47.809210526315795,51.98756805807623,50.0,25.396273957068807,34.3,"Pew Religious Landscape 2014, evangeliques blancs, calcul des auteurs, pas une enquete de leur main",15.603811252268606,1.4549216108533123,0.45492161085331223,0.39538501425978756,0.5131883191440955,0.6842105263157895,0.3157894736842105
MTurk affect partisan,"MTurk, mesure avant traitement",rep_rich,Republican,$250K+ Income,"What percentage of Republican Party supporters earn over $250,000 per year?",551,37.27041742286752,,34.93284936479129,39.617059891107075,30.0,27.66483517207664,2.2,"ANES 2012, inc_incgroup_pre == 28, ponderee, parmi pid_3 == Rep",35.070417422867514,16.94109882857614,15.941098828576141,14.941243194192378,17.04986800857944,0.9491833030852994,0.050816696914700546
MTurk affect partisan,"MTurk, mesure avant traitement",rep_old,Republican,Age 65+,What percentage of Republican Party supporters are 65 years or older?,551,50.629764065335756,,49.04519056261343,52.2323502722323,50.0,19.670581258192215,21.3,"ANES 2012, dem_agegrp_iwdate >= 11, ponderee, parmi pid_3 == Rep",29.329764065335755,2.376984228419519,1.3769842284195188,1.302684832528139,1.453669384729429,0.8983666061705989,0.10163339382940109
