role,item_as,groupe_as,parti_as,question_as,variante_gss,source_gss,colonne_gss,camp_gss_ideologie,camp_gss_parti,confiance,dispo_terme_modele_r1,dispo_terme_modele_run_composition,realite_ahler_sood_anes2012,realite_gss2024_parti,realite_gss2024_parti_ic_bas,realite_gss2024_parti_ic_haut,realite_gss2024_ideologie,realite_gss2024_ensemble,note
composition,dem_black,Black,Democratic,What percentage of Democratic Party supporters are Black?,principale,demographie,demo_race,gauche,gauche,elevee,False,True,24.0,18.75,15.559976555302097,22.420375620267123,16.546762589928058,14.258555133079847,"race* est exclue de la cible des 149 items par la liste de Stanford ; la variable demographique est declaree, pas posee comme item"
composition,dem_union,Union,Democratic,What percentage of Democratic Party supporters are union members?,principale,item,union1,gauche,gauche,elevee,True,True,10.5,7.056451612903227,5.117234027076215,9.655766059351167,5.515587529976019,5.513307984790875,"union1 demande l'appartenance du repondant OU de son conjoint ; la variante principale ne compte que le repondant, ce qui est la quantite d'Ahler et Sood"
composition,dem_union,Union,Democratic,What percentage of Democratic Party supporters are union members?,large,item,union1,gauche,gauche,moyenne,True,True,10.5,10.887096774193548,8.440556616593096,13.934851912829027,10.071942446043165,8.840304182509506,compte aussi le foyer dont seul le conjoint est syndique
composition,dem_aa,Atheist/Agnostic,Democratic,What percentage of Democratic Party supporters are atheist or agnostic?,principale,item,relig*,gauche,gauche,faible,False,True,8.7,48.185483870967744,43.81890714550881,52.57995201307263,53.956834532374096,40.49429657794677,"« aucune religion » n'est pas « athee ou agnostique » : le GSS ne pose pas la question d'Ahler et Sood, et relig* est de toute facon exclue des 149 items"
composition,dem_aa,Atheist/Agnostic,Democratic,What percentage of Democratic Party supporters are atheist or agnostic?,stricte,item,relig*,gauche,gauche,faible,False,True,8.7,38.104838709677416,33.93774356321434,42.454777587486205,42.44604316546763,31.844106463878326,sans religion et n'assistant jamais a un office ; borne inferieure
composition,dem_lgb,LGB,Democratic,"What percentage of Democratic Party supporters are gay, lesbian or bisexual?",principale,demographie,demo_sexual_orientation,gauche,gauche,elevee,False,True,6.3,18.581907090464547,15.110826628442798,22.637694838386118,19.2090395480226,12.413793103448276,"18 pour cent de non renseigne, exclus du denominateur"
composition,dem_lgb,LGB,Democratic,"What percentage of Democratic Party supporters are gay, lesbian or bisexual?",large,demographie,demo_sexual_orientation,gauche,gauche,moyenne,False,True,6.3,25.91687041564792,21.90819886074703,30.373741718884474,29.37853107344633,17.70114942528736,"ajoute pansexuel, asexuel et autre, que la question d'Ahler et Sood ignore"
composition,rep_evang,Evangelical,Republican,What percentage of Republican Party supporters are evangelical Christians?,principale,item,reborn,droite,droite,moyenne,True,True,34.3,39.782016348773844,34.905147226347545,44.87058451464375,44.87951807228915,28.422053231939167,"« ne de nouveau » n'est pas « evangelique » : la question du GSS ne porte pas sur la denomination, et Ahler et Sood citent les evangeliques BLANCS"
composition,rep_evang,Evangelical,Republican,What percentage of Republican Party supporters are evangelical Christians?,stricte,item,reborn,droite,droite,moyenne,False,True,34.3,23.978201634877383,19.893917544470238,28.601612622587613,26.506024096385545,14.82889733840304,ne de nouveau et protestant ; plus proche du sens usuel d'evangelique
composition,rep_rich,$250K+ Income,Republican,"What percentage of Republican Party supporters earn over $250,000 per year?",principale,demographie,demo_income,droite,droite,elevee,False,True,2.2,2.990033222591362,1.5808714361967748,5.584029942092802,2.272727272727273,2.1788990825688073,"l'item income des 149 plafonne a « $25000 or more », une echelle des annees 1970 : il ne peut pas porter le seuil de 250 000 dollars. Seule la demographie declaree le porte"
composition,rep_rich,$250K+ Income,Republican,"What percentage of Republican Party supporters earn over $250,000 per year?",large,demographie,demo_income,droite,droite,moyenne,False,True,2.2,3.322259136212625,1.8143939095637485,6.006585904214949,2.272727272727273,3.555045871559633,seuil abaisse a 200 000 dollars
composition,rep_old,Age 65+,Republican,What percentage of Republican Party supporters are 65 years or older?,principale,demographie,demo_age,droite,droite,elevee,False,True,21.3,16.076294277929154,12.672736220250801,20.18269315984032,18.67469879518072,16.34980988593156,"tranches d'age declarees, pas d'age exact"
composition,rep_south,Southern,Republican,What percentage of Republican Party supporters are Southerners?,principale,demographie,demo_census_division,droite,droite,moyenne,False,True,35.7,33.5149863760218,28.87827764019048,38.49323623527549,31.32530120481928,30.228136882129274,"region du recensement (Sud) contre la liste de 13 Etats d'Ahler et Sood : le recensement ajoute OK, WV, DE et MD"
opinion,"IGS Poll, 25 enonces de politique publique",,,"q19_1 a q19_6 et q98_1 a q98_6, part percue de democrates et de republicains soutenant chaque enonce, six enonces tires au hasard par repondant sur 25",,absent du depot public,,,,faible,True,False,,,,,,,"C'est le SEUL endroit ou Ahler et Sood mesurent une croyance de second ordre sur des OPINIONS, avec pour referent les reponses de la meme enquete. C'est l'homologue exact de la quantite de r1. Le fichier pcomp_igspoll.dta n'est pas dans l'archive Dataverse, le readme le cite pourtant. Sans lui, la comparaison a trois termes sur des opinions n'a pas de terme humain."
opinion,"Etude d'extremite percue, 4 enjeux",,,"dem_per et rep_per, part percue de chaque parti soutenant l'enjeu, sur tax, abortion, gays et race ; d_ext_per_* et r_ext_per_* pour le placement",,"present, mais sans verite terrain ni libelle",,,,faible,True,False,,,,,,,"Les variables de perception sont dans extremity_exp_data.dta et sont bien des croyances de second ordre sur des opinions. Deux choses manquent : le libelle exact des quatre enonces, absent de l'archive, et la distribution reelle des partis sur ces enonces, que les auteurs n'ont jamais mesuree. Sans realite, pas d'exageration, donc pas de second terme."
