item_as,groupe,variante,source_gss,colonne_gss,dans_les_149_items,partition,camp,n_classes,n_non_renseigne,n_dans_le_groupe,part_pourcent,ic_bas,ic_haut,confiance_appariement,ecart_a_ahler_sood
dem_black,Black,principale,demographie,demo_race,False,ideologie,gauche,417,0,69,16.546762589928058,13.288647545087958,20.415625036329846,elevee,"race* est exclue de la cible des 149 items par la liste de Stanford ; la variable demographique est declaree, pas posee comme item"
dem_black,Black,principale,demographie,demo_race,False,ideologie,centre,303,0,52,17.16171617161716,13.334002894059754,21.811687911880504,elevee,"race* est exclue de la cible des 149 items par la liste de Stanford ; la variable demographique est declaree, pas posee comme item"
dem_black,Black,principale,demographie,demo_race,False,ideologie,droite,332,0,29,8.734939759036145,6.150540744609897,12.263378198129779,elevee,"race* est exclue de la cible des 149 items par la liste de Stanford ; la variable demographique est declaree, pas posee comme item"
dem_black,Black,principale,demographie,demo_race,False,ideologie,ensemble,1052,0,150,14.258555133079847,12.275527927439494,16.501667439744377,elevee,"race* est exclue de la cible des 149 items par la liste de Stanford ; la variable demographique est declaree, pas posee comme item"
dem_black,Black,principale,demographie,demo_race,False,parti,gauche,496,0,93,18.75,15.559976555302097,22.420375620267123,elevee,"race* est exclue de la cible des 149 items par la liste de Stanford ; la variable demographique est declaree, pas posee comme item"
dem_black,Black,principale,demographie,demo_race,False,parti,centre,164,0,28,17.073170731707318,12.0845353418255,23.56908092494031,elevee,"race* est exclue de la cible des 149 items par la liste de Stanford ; la variable demographique est declaree, pas posee comme item"
dem_black,Black,principale,demographie,demo_race,False,parti,droite,367,0,24,6.539509536784741,4.433543876434615,9.545901795248387,elevee,"race* est exclue de la cible des 149 items par la liste de Stanford ; la variable demographique est declaree, pas posee comme item"
dem_black,Black,principale,demographie,demo_race,False,parti,ensemble,1052,0,150,14.258555133079847,12.275527927439494,16.501667439744377,elevee,"race* est exclue de la cible des 149 items par la liste de Stanford ; la variable demographique est declaree, pas posee comme item"
dem_union,Union,principale,item,union1,True,ideologie,gauche,417,0,23,5.515587529976019,3.703093615219973,8.140222254694027,elevee,"union1 demande l'appartenance du repondant OU de son conjoint ; la variante principale ne compte que le repondant, ce qui est la quantite d'Ahler et Sood"
dem_union,Union,principale,item,union1,True,ideologie,centre,303,0,19,6.270627062706271,4.050772892901958,9.585448532093869,elevee,"union1 demande l'appartenance du repondant OU de son conjoint ; la variante principale ne compte que le repondant, ce qui est la quantite d'Ahler et Sood"
dem_union,Union,principale,item,union1,True,ideologie,droite,332,0,16,4.819277108433735,2.9878829955883477,7.684291029309105,elevee,"union1 demande l'appartenance du repondant OU de son conjoint ; la variante principale ne compte que le repondant, ce qui est la quantite d'Ahler et Sood"
dem_union,Union,principale,item,union1,True,ideologie,ensemble,1052,0,58,5.513307984790875,4.288959140821014,7.061379773652522,elevee,"union1 demande l'appartenance du repondant OU de son conjoint ; la variante principale ne compte que le repondant, ce qui est la quantite d'Ahler et Sood"
dem_union,Union,principale,item,union1,True,parti,gauche,496,0,35,7.056451612903227,5.117234027076215,9.655766059351167,elevee,"union1 demande l'appartenance du repondant OU de son conjoint ; la variante principale ne compte que le repondant, ce qui est la quantite d'Ahler et Sood"
dem_union,Union,principale,item,union1,True,parti,centre,164,0,7,4.2682926829268295,2.082673424599192,8.547349168131097,elevee,"union1 demande l'appartenance du repondant OU de son conjoint ; la variante principale ne compte que le repondant, ce qui est la quantite d'Ahler et Sood"
dem_union,Union,principale,item,union1,True,parti,droite,367,0,16,4.35967302452316,2.701062535147708,6.963872574613441,elevee,"union1 demande l'appartenance du repondant OU de son conjoint ; la variante principale ne compte que le repondant, ce qui est la quantite d'Ahler et Sood"
dem_union,Union,principale,item,union1,True,parti,ensemble,1052,0,58,5.513307984790875,4.288959140821014,7.061379773652522,elevee,"union1 demande l'appartenance du repondant OU de son conjoint ; la variante principale ne compte que le repondant, ce qui est la quantite d'Ahler et Sood"
dem_union,Union,large,item,union1,True,ideologie,gauche,417,0,42,10.071942446043165,7.537994917371206,13.334846550772625,moyenne,compte aussi le foyer dont seul le conjoint est syndique
dem_union,Union,large,item,union1,True,ideologie,centre,303,0,27,8.91089108910891,6.1962660601655815,12.65437218445314,moyenne,compte aussi le foyer dont seul le conjoint est syndique
dem_union,Union,large,item,union1,True,ideologie,droite,332,0,24,7.228915662650602,4.905589746397321,10.530734997172267,moyenne,compte aussi le foyer dont seul le conjoint est syndique
dem_union,Union,large,item,union1,True,ideologie,ensemble,1052,0,93,8.840304182509506,7.271177698131946,10.70894356248139,moyenne,compte aussi le foyer dont seul le conjoint est syndique
dem_union,Union,large,item,union1,True,parti,gauche,496,0,54,10.887096774193548,8.440556616593096,13.934851912829027,moyenne,compte aussi le foyer dont seul le conjoint est syndique
dem_union,Union,large,item,union1,True,parti,centre,164,0,13,7.926829268292683,4.690729430854731,13.088891354457136,moyenne,compte aussi le foyer dont seul le conjoint est syndique
dem_union,Union,large,item,union1,True,parti,droite,367,0,26,7.084468664850137,4.880146551064283,10.177926761099187,moyenne,compte aussi le foyer dont seul le conjoint est syndique
dem_union,Union,large,item,union1,True,parti,ensemble,1052,0,93,8.840304182509506,7.271177698131946,10.70894356248139,moyenne,compte aussi le foyer dont seul le conjoint est syndique
dem_aa,Atheist/Agnostic,principale,item,relig*,False,ideologie,gauche,417,0,225,53.956834532374096,49.158433707404306,58.682996417374234,faible,"« aucune religion » n'est pas « athee ou agnostique » : le GSS ne pose pas la question d'Ahler et Sood, et relig* est de toute facon exclue des 149 items"
dem_aa,Atheist/Agnostic,principale,item,relig*,False,ideologie,centre,303,0,133,43.89438943894389,38.41757380203143,49.52408730259063,faible,"« aucune religion » n'est pas « athee ou agnostique » : le GSS ne pose pas la question d'Ahler et Sood, et relig* est de toute facon exclue des 149 items"
dem_aa,Atheist/Agnostic,principale,item,relig*,False,ideologie,droite,332,0,68,20.481927710843372,16.4901346224128,25.149019073853534,faible,"« aucune religion » n'est pas « athee ou agnostique » : le GSS ne pose pas la question d'Ahler et Sood, et relig* est de toute facon exclue des 149 items"
dem_aa,Atheist/Agnostic,principale,item,relig*,False,ideologie,ensemble,1052,0,426,40.49429657794677,37.56771783779069,43.49004688752419,faible,"« aucune religion » n'est pas « athee ou agnostique » : le GSS ne pose pas la question d'Ahler et Sood, et relig* est de toute facon exclue des 149 items"
dem_aa,Atheist/Agnostic,principale,item,relig*,False,parti,gauche,496,0,239,48.185483870967744,43.81890714550881,52.57995201307263,faible,"« aucune religion » n'est pas « athee ou agnostique » : le GSS ne pose pas la question d'Ahler et Sood, et relig* est de toute facon exclue des 149 items"
dem_aa,Atheist/Agnostic,principale,item,relig*,False,parti,centre,164,0,86,52.4390243902439,44.82756736270585,59.93883143234853,faible,"« aucune religion » n'est pas « athee ou agnostique » : le GSS ne pose pas la question d'Ahler et Sood, et relig* est de toute facon exclue des 149 items"
dem_aa,Atheist/Agnostic,principale,item,relig*,False,parti,droite,367,0,94,25.61307901907357,21.415890500822975,30.31552258767627,faible,"« aucune religion » n'est pas « athee ou agnostique » : le GSS ne pose pas la question d'Ahler et Sood, et relig* est de toute facon exclue des 149 items"
dem_aa,Atheist/Agnostic,principale,item,relig*,False,parti,ensemble,1052,0,426,40.49429657794677,37.56771783779069,43.49004688752419,faible,"« aucune religion » n'est pas « athee ou agnostique » : le GSS ne pose pas la question d'Ahler et Sood, et relig* est de toute facon exclue des 149 items"
dem_aa,Atheist/Agnostic,stricte,item,relig*,False,ideologie,gauche,417,0,177,42.44604316546763,37.79220199997315,47.237795034540554,faible,sans religion et n'assistant jamais a un office ; borne inferieure
dem_aa,Atheist/Agnostic,stricte,item,relig*,False,ideologie,centre,303,0,102,33.663366336633665,28.576394220281102,39.15940170830225,faible,sans religion et n'assistant jamais a un office ; borne inferieure
dem_aa,Atheist/Agnostic,stricte,item,relig*,False,ideologie,droite,332,0,56,16.867469879518072,13.223601233897908,21.26932638436022,faible,sans religion et n'assistant jamais a un office ; borne inferieure
dem_aa,Atheist/Agnostic,stricte,item,relig*,False,ideologie,ensemble,1052,0,335,31.844106463878326,29.099281514913045,34.721049110438344,faible,sans religion et n'assistant jamais a un office ; borne inferieure
dem_aa,Atheist/Agnostic,stricte,item,relig*,False,parti,gauche,496,0,189,38.104838709677416,33.93774356321434,42.454777587486205,faible,sans religion et n'assistant jamais a un office ; borne inferieure
dem_aa,Atheist/Agnostic,stricte,item,relig*,False,parti,centre,164,0,63,38.41463414634146,31.316457467066,46.043148256425674,faible,sans religion et n'assistant jamais a un office ; borne inferieure
dem_aa,Atheist/Agnostic,stricte,item,relig*,False,parti,droite,367,0,77,20.98092643051771,17.126455770616328,25.43662237379897,faible,sans religion et n'assistant jamais a un office ; borne inferieure
dem_aa,Atheist/Agnostic,stricte,item,relig*,False,parti,ensemble,1052,0,335,31.844106463878326,29.099281514913045,34.721049110438344,faible,sans religion et n'assistant jamais a un office ; borne inferieure
dem_lgb,LGB,principale,demographie,demo_sexual_orientation,False,ideologie,gauche,354,63,68,19.2090395480226,15.444496579539665,23.634693766132834,elevee,"18 pour cent de non renseigne, exclus du denominateur"
dem_lgb,LGB,principale,demographie,demo_sexual_orientation,False,ideologie,centre,251,52,27,10.756972111553784,7.498707710072143,15.19837157368687,elevee,"18 pour cent de non renseigne, exclus du denominateur"
dem_lgb,LGB,principale,demographie,demo_sexual_orientation,False,ideologie,droite,265,67,13,4.905660377358491,2.8889710248457745,8.211096821797007,elevee,"18 pour cent de non renseigne, exclus du denominateur"
dem_lgb,LGB,principale,demographie,demo_sexual_orientation,False,ideologie,ensemble,870,182,108,12.413793103448276,10.386494694366775,14.771565988484674,elevee,"18 pour cent de non renseigne, exclus du denominateur"
dem_lgb,LGB,principale,demographie,demo_sexual_orientation,False,parti,gauche,409,87,76,18.581907090464547,15.110826628442798,22.637694838386118,elevee,"18 pour cent de non renseigne, exclus du denominateur"
dem_lgb,LGB,principale,demographie,demo_sexual_orientation,False,parti,centre,141,23,18,12.76595744680851,8.229767647714942,19.27724691163817,elevee,"18 pour cent de non renseigne, exclus du denominateur"
