cle,groupe,source,colonne,partition,camp,n_classes,n_dans_le_groupe,part_pourcent,ic_bas,ic_haut,note
blanc,blancs,demographie,demo_race,ideologie,gauche,417,307,73.621103117506,69.18953556317123,77.62142609080975,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
blanc,blancs,demographie,demo_race,ideologie,centre,303,216,71.2871287128713,65.95136608358614,76.08986952462342,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
blanc,blancs,demographie,demo_race,ideologie,droite,332,276,83.13253012048193,78.73067361563977,86.77639876610209,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
blanc,blancs,demographie,demo_race,ideologie,ensemble,1052,799,75.95057034220532,73.27647200858466,78.43583029130579,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
blanc,blancs,demographie,demo_race,parti,gauche,496,353,71.16935483870968,67.03219824974587,74.98111156680399,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
blanc,blancs,demographie,demo_race,parti,centre,164,114,69.51219512195122,62.086632231610864,76.0445581288242,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
blanc,blancs,demographie,demo_race,parti,droite,367,315,85.83106267029973,81.89114638935,89.02862097224052,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
blanc,blancs,demographie,demo_race,parti,ensemble,1052,799,75.95057034220532,73.27647200858466,78.43583029130579,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
hispanique,hispaniques,"item du GSS, hors des 149",hispanic,ideologie,gauche,417,62,14.86810551558753,11.774554924286937,18.603050331467244,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
hispanique,hispaniques,"item du GSS, hors des 149",hispanic,ideologie,centre,303,46,15.181518151815181,11.578694419327915,19.65618377189518,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
hispanique,hispaniques,"item du GSS, hors des 149",hispanic,ideologie,droite,332,34,10.240963855421686,7.421381655378406,13.970131486531354,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
hispanique,hispaniques,"item du GSS, hors des 149",hispanic,ideologie,ensemble,1052,142,13.49809885931559,11.565501861087208,15.696314684121848,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
hispanique,hispaniques,"item du GSS, hors des 149",hispanic,parti,gauche,496,76,15.32258064516129,12.420035191525804,18.758162061363915,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
hispanique,hispaniques,"item du GSS, hors des 149",hispanic,parti,centre,164,26,15.853658536585366,11.054494493842476,22.21592237539614,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
hispanique,hispaniques,"item du GSS, hors des 149",hispanic,parti,droite,367,38,10.354223433242506,7.636956438692252,13.892882716353999,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
hispanique,hispaniques,"item du GSS, hors des 149",hispanic,parti,ensemble,1052,142,13.49809885931559,11.565501861087208,15.696314684121848,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
femme,femmes,demographie,demo_gender,ideologie,gauche,417,247,59.2326139088729,54.45260011453368,63.84407017661624,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
femme,femmes,demographie,demo_gender,ideologie,centre,303,177,58.415841584158414,52.79468987991618,63.82626373263178,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
femme,femmes,demographie,demo_gender,ideologie,droite,332,169,50.903614457831324,45.54654265867668,56.24001386082538,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
femme,femmes,demographie,demo_gender,ideologie,ensemble,1052,593,56.368821292775664,53.354158053949305,59.33713958008974,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
femme,femmes,demographie,demo_gender,parti,gauche,496,286,57.66129032258065,53.2703831748014,61.934433711188085,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
femme,femmes,demographie,demo_gender,parti,centre,164,93,56.707317073170735,49.056166267904665,64.05143041849489,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
femme,femmes,demographie,demo_gender,parti,droite,367,192,52.31607629427793,47.20849674499096,57.375670727050995,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
femme,femmes,demographie,demo_gender,parti,ensemble,1052,593,56.368821292775664,53.354158053949305,59.33713958008974,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
diplome,"diplomes du superieur, licence ou plus",demographie,demo_education,ideologie,gauche,417,200,47.961630695443645,43.207046295505755,52.75342909475985,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
diplome,"diplomes du superieur, licence ou plus",demographie,demo_education,ideologie,centre,303,88,29.042904290429043,24.219058835132202,34.391507659111085,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
diplome,"diplomes du superieur, licence ou plus",demographie,demo_education,ideologie,droite,332,146,43.975903614457835,38.73571990506133,49.35390329825834,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
diplome,"diplomes du superieur, licence ou plus",demographie,demo_education,ideologie,ensemble,1052,434,41.254752851711025,38.31692373281684,44.256219814472836,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
diplome,"diplomes du superieur, licence ou plus",demographie,demo_education,parti,gauche,496,227,45.766129032258064,41.430903483076534,50.166434553613485,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
