item_ordre,item_as,groupe,parti_as,camp,cle_modele,modele,ancrage,identite,realite_ahler_sood_anes2012,realite_gss2024,croyance_humaine,croyance_modele,ecart_humain_moins_reel_as_points,ecart_modele_moins_reel_as_points,ecart_modele_moins_reel_gss_points,ecart_modele_moins_humain_points,exageration_humaine_ratio_as,exageration_modele_ratio_as,exageration_modele_ratio_gss,rapport_des_exagerations_base_propre,rapport_des_exagerations_cible_commune
0,dem_black,Black,Democratic,gauche,oss20,gpt-oss-20b,ideologie,adversaire,24.0,16.546762589928058,41.805,0.0,17.805,-24.0,-16.546762589928058,-41.805,1.741875,0.0,0.0,0.0,0.0
0,dem_black,Black,Democratic,gauche,oss20,gpt-oss-20b,ideologie,journaliste,24.0,16.546762589928058,41.805,0.0,17.805,-24.0,-16.546762589928058,-41.805,1.741875,0.0,0.0,0.0,0.0
0,dem_black,Black,Democratic,gauche,oss20,gpt-oss-20b,parti,adversaire,24.0,18.75,41.805,0.0,17.805,-24.0,-18.75,-41.805,1.741875,0.0,0.0,0.0,0.0
0,dem_black,Black,Democratic,gauche,oss20,gpt-oss-20b,parti,journaliste,24.0,18.75,41.805,0.0,17.805,-24.0,-18.75,-41.805,1.741875,0.0,0.0,0.0,0.0
0,dem_black,Black,Democratic,gauche,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,adversaire,24.0,16.546762589928058,41.805,12.0,17.805,-12.0,-4.546762589928058,-29.805,1.741875,0.5,0.7252173913043478,0.4163429587681939,0.2870470039468963
0,dem_black,Black,Democratic,gauche,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,journaliste,24.0,16.546762589928058,41.805,15.0,17.805,-9.0,-1.5467625899280577,-26.805,1.741875,0.625,0.9065217391304348,0.5204286984602424,0.3588087549336203
0,dem_black,Black,Democratic,gauche,q30,Qwen3-30B-A3B-Instruct-2507,parti,adversaire,24.0,18.75,41.805,20.0,17.805,-4.0,1.25,-21.805,1.741875,0.8333333333333334,1.0666666666666669,0.6123669417533788,0.4784116732448272
0,dem_black,Black,Democratic,gauche,q30,Qwen3-30B-A3B-Instruct-2507,parti,journaliste,24.0,18.75,41.805,20.0,17.805,-4.0,1.25,-21.805,1.741875,0.8333333333333334,1.0666666666666669,0.6123669417533788,0.4784116732448272
0,dem_black,Black,Democratic,gauche,q4,Qwen3-4B-Instruct-2507,ideologie,adversaire,24.0,16.546762589928058,41.805,30.0,17.805,6.0,13.453237410071942,-11.805,1.741875,1.25,1.8130434782608695,1.0408573969204848,0.7176175098672407
0,dem_black,Black,Democratic,gauche,q4,Qwen3-4B-Instruct-2507,ideologie,journaliste,24.0,16.546762589928058,41.805,29.0,17.805,5.0,12.453237410071942,-12.805,1.741875,1.2083333333333333,1.7526086956521738,1.0061621503564686,0.6936969262049995
