cle_modele,modele,ancrage,identite,camp,n_items,ecart_des_exagerations_points,ic_bas,ic_haut,p_permutation,p_minimal_atteignable
oss20,gpt-oss-20b,ideologie,adversaire,gauche,4,-35.242,-40.294,-30.189999999999998,0.12784360781960902,0.125
oss20,gpt-oss-20b,ideologie,journaliste,gauche,4,-12.742,-31.81675,-0.1899999999999995,0.247987600619969,0.125
oss20,gpt-oss-20b,parti,adversaire,gauche,4,-27.742,-38.48575,-14.550250000000002,0.12214389280535973,0.125
oss20,gpt-oss-20b,parti,journaliste,gauche,4,-35.242,-40.294,-30.189999999999998,0.12539373031348433,0.125
q30,Qwen3-30B-A3B,ideologie,adversaire,gauche,4,-15.242,-26.56675,-0.34174999999999933,0.2462876856157192,0.125
q30,Qwen3-30B-A3B,ideologie,journaliste,gauche,4,-15.492,-25.06675,-1.0917499999999993,0.24808759562021898,0.125
q30,Qwen3-30B-A3B,parti,adversaire,gauche,4,-13.992,-19.73575,-7.050250000000001,0.12384380780960952,0.125
q30,Qwen3-30B-A3B,parti,journaliste,gauche,4,-11.492,-19.73575,0.449749999999999,0.2495875206239688,0.125
q4,Qwen3-4B,ideologie,adversaire,gauche,4,-10.242,-13.6555,-4.771,0.12784360781960902,0.125
q4,Qwen3-4B,ideologie,journaliste,gauche,4,-6.742,-14.828500000000002,1.652750000000001,0.37083145842707865,0.125
q4,Qwen3-4B,parti,adversaire,gauche,4,-3.242,-21.109,14.7115,0.6213689315534223,0.125
q4,Qwen3-4B,parti,journaliste,gauche,4,-7.992,-16.689999999999998,0.7059999999999995,0.3739313034348283,0.125
oss20,gpt-oss-20b,ideologie,adversaire,droite,4,-17.695625,-31.030375000000003,-9.911749999999998,0.12224388780560971,0.125
oss20,gpt-oss-20b,ideologie,journaliste,droite,4,-20.695625,-31.67975,-11.780249999999999,0.1272436378181091,0.125
oss20,gpt-oss-20b,parti,adversaire,droite,4,-20.695625,-31.67975,-11.780249999999999,0.12404379781010949,0.125
oss20,gpt-oss-20b,parti,journaliste,droite,4,-20.695625,-31.67975,-11.780249999999999,0.13044347782610868,0.125
q30,Qwen3-30B-A3B,ideologie,adversaire,droite,4,-11.945625,-19.17975,-6.780249999999999,0.12414379281035948,0.125
q30,Qwen3-30B-A3B,ideologie,journaliste,droite,4,-8.945625,-18.530375,0.9737500000000008,0.37858107094645266,0.125
q30,Qwen3-30B-A3B,parti,adversaire,droite,4,-4.445625,-19.17975,15.553375000000003,0.7517624118794061,0.125
q30,Qwen3-30B-A3B,parti,journaliste,droite,4,-7.695625,-18.2455,1.3691250000000021,0.37703114844257785,0.125
q4,Qwen3-4B,ideologie,adversaire,droite,4,4.054375,-10.111,18.21975,0.8735563221838908,0.125
q4,Qwen3-4B,ideologie,journaliste,droite,4,5.304375000000001,-6.610999999999999,17.21975,0.504024798760062,0.125
q4,Qwen3-4B,parti,adversaire,droite,4,6.804375000000001,-22.110999999999997,40.119125,0.6277686115694215,0.125
q4,Qwen3-4B,parti,journaliste,droite,4,8.304375,-9.7265,20.71975,0.3703314834258287,0.125
