item_as,item_gss,cle_modele,modele,camp,identite,reel_gss2024,croyance_humaine,modele_via_r1_distribution,modele_via_question_directe,ecart_entre_instruments_points
dem_union,union1,oss20,gpt-oss-20b,gauche,journaliste,5.515587529976019,38.783,17.0,30.0,13.0
rep_evang,reborn,oss20,gpt-oss-20b,gauche,journaliste,17.026378896882495,43.079,12.0,,
dem_union,union1,oss20,gpt-oss-20b,gauche,adversaire,5.515587529976019,38.783,17.0,0.0,-17.0
rep_evang,reborn,oss20,gpt-oss-20b,gauche,adversaire,17.026378896882495,43.079,5.0,,
dem_union,union1,oss20,gpt-oss-20b,centre,journaliste,6.270627062706271,38.783,16.0,,
rep_evang,reborn,oss20,gpt-oss-20b,centre,journaliste,26.072607260726073,43.079,12.0,,
dem_union,union1,oss20,gpt-oss-20b,centre,adversaire,6.270627062706271,38.783,7.000000000000001,,
rep_evang,reborn,oss20,gpt-oss-20b,centre,adversaire,26.072607260726073,43.079,12.0,,
dem_union,union1,oss20,gpt-oss-20b,droite,journaliste,4.819277108433735,38.783,7.000000000000001,,
rep_evang,reborn,oss20,gpt-oss-20b,droite,journaliste,44.87951807228915,43.079,35.0,30.0,-5.0
dem_union,union1,oss20,gpt-oss-20b,droite,adversaire,4.819277108433735,38.783,17.0,,
rep_evang,reborn,oss20,gpt-oss-20b,droite,adversaire,44.87951807228915,43.079,12.0,30.0,18.0
dem_union,union1,q30,Qwen3-30B-A3B-Instruct-2507,gauche,journaliste,5.515587529976019,38.783,13.999999999999998,18.0,4.000000000000002
rep_evang,reborn,q30,Qwen3-30B-A3B-Instruct-2507,gauche,journaliste,17.026378896882495,43.079,12.0,,
dem_union,union1,q30,Qwen3-30B-A3B-Instruct-2507,gauche,adversaire,5.515587529976019,38.783,13.999999999999998,18.0,4.000000000000002
rep_evang,reborn,q30,Qwen3-30B-A3B-Instruct-2507,gauche,adversaire,17.026378896882495,43.079,12.0,,
dem_union,union1,q30,Qwen3-30B-A3B-Instruct-2507,centre,journaliste,6.270627062706271,38.783,13.999999999999998,,
rep_evang,reborn,q30,Qwen3-30B-A3B-Instruct-2507,centre,journaliste,26.072607260726073,43.079,28.000000000000004,,
dem_union,union1,q30,Qwen3-30B-A3B-Instruct-2507,centre,adversaire,6.270627062706271,38.783,6.000000000000001,,
rep_evang,reborn,q30,Qwen3-30B-A3B-Instruct-2507,centre,adversaire,26.072607260726073,43.079,22.0,,
dem_union,union1,q30,Qwen3-30B-A3B-Instruct-2507,droite,journaliste,4.819277108433735,38.783,5.0,,
rep_evang,reborn,q30,Qwen3-30B-A3B-Instruct-2507,droite,journaliste,44.87951807228915,43.079,42.0,30.0,-12.0
dem_union,union1,q30,Qwen3-30B-A3B-Instruct-2507,droite,adversaire,4.819277108433735,38.783,6.000000000000001,,
rep_evang,reborn,q30,Qwen3-30B-A3B-Instruct-2507,droite,adversaire,44.87951807228915,43.079,42.0,35.0,-7.0
dem_union,union1,q4,Qwen3-4B-Instruct-2507,gauche,journaliste,5.515587529976019,38.783,65.0,35.0,-30.0
rep_evang,reborn,q4,Qwen3-4B-Instruct-2507,gauche,journaliste,17.026378896882495,43.079,15.0,,
dem_union,union1,q4,Qwen3-4B-Instruct-2507,gauche,adversaire,5.515587529976019,38.783,70.0,25.0,-45.0
rep_evang,reborn,q4,Qwen3-4B-Instruct-2507,gauche,adversaire,17.026378896882495,43.079,35.0,,
dem_union,union1,q4,Qwen3-4B-Instruct-2507,centre,journaliste,6.270627062706271,38.783,65.0,,
rep_evang,reborn,q4,Qwen3-4B-Instruct-2507,centre,journaliste,26.072607260726073,43.079,25.0,,
dem_union,union1,q4,Qwen3-4B-Instruct-2507,centre,adversaire,6.270627062706271,38.783,60.0,,
rep_evang,reborn,q4,Qwen3-4B-Instruct-2507,centre,adversaire,26.072607260726073,43.079,45.0,,
dem_union,union1,q4,Qwen3-4B-Instruct-2507,droite,journaliste,4.819277108433735,38.783,75.0,,
rep_evang,reborn,q4,Qwen3-4B-Instruct-2507,droite,journaliste,44.87951807228915,43.079,45.0,60.0,15.0
dem_union,union1,q4,Qwen3-4B-Instruct-2507,droite,adversaire,4.819277108433735,38.783,75.0,,
rep_evang,reborn,q4,Qwen3-4B-Instruct-2507,droite,adversaire,44.87951807228915,43.079,45.0,60.0,15.0
dem_union,union1,q4,Qwen3-4B-Instruct-2507,gauche,journaliste,5.515587529976019,38.783,65.0,35.0,-30.0
rep_evang,reborn,q4,Qwen3-4B-Instruct-2507,gauche,journaliste,17.026378896882495,43.079,15.0,,
dem_union,union1,q4,Qwen3-4B-Instruct-2507,gauche,adversaire,5.515587529976019,38.783,70.0,25.0,-45.0
rep_evang,reborn,q4,Qwen3-4B-Instruct-2507,gauche,adversaire,17.026378896882495,43.079,35.0,,
dem_union,union1,q4,Qwen3-4B-Instruct-2507,centre,journaliste,6.270627062706271,38.783,65.0,,
rep_evang,reborn,q4,Qwen3-4B-Instruct-2507,centre,journaliste,26.072607260726073,43.079,25.0,,
dem_union,union1,q4,Qwen3-4B-Instruct-2507,centre,adversaire,6.270627062706271,38.783,60.0,,
rep_evang,reborn,q4,Qwen3-4B-Instruct-2507,centre,adversaire,26.072607260726073,43.079,45.0,,
dem_union,union1,q4,Qwen3-4B-Instruct-2507,droite,journaliste,4.819277108433735,38.783,75.0,,
rep_evang,reborn,q4,Qwen3-4B-Instruct-2507,droite,journaliste,44.87951807228915,43.079,45.0,60.0,15.0
dem_union,union1,q4,Qwen3-4B-Instruct-2507,droite,adversaire,4.819277108433735,38.783,75.0,,
rep_evang,reborn,q4,Qwen3-4B-Instruct-2507,droite,adversaire,44.87951807228915,43.079,45.0,60.0,15.0
dem_union,union1,q4base,Qwen3-4B-Base,gauche,journaliste,5.515587529976019,38.783,35.0,,
