item_as,cle_modele,modele,ancrage,identite,camp,realite_gss2024,croyance_modele,alpha_implicite_k2
dem_black,oss20,gpt-oss-20b,ideologie,adversaire,gauche,16.546762589928058,0.0,1.4946236559139785
dem_black,oss20,gpt-oss-20b,ideologie,journaliste,gauche,16.546762589928058,0.0,1.4946236559139785
dem_black,oss20,gpt-oss-20b,parti,adversaire,gauche,18.75,0.0,1.6
dem_black,oss20,gpt-oss-20b,parti,journaliste,gauche,18.75,0.0,1.6
dem_black,oss20,gpt-oss-20b,population,journaliste,ensemble,14.258555133079849,23.0,0.7554255319148937
dem_black,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,adversaire,gauche,16.546762589928058,12.0,1.1359139784946237
dem_black,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,journaliste,gauche,16.546762589928058,15.0,1.0462365591397849
dem_black,q30,Qwen3-30B-A3B-Instruct-2507,parti,adversaire,gauche,18.75,20.0,0.96
dem_black,q30,Qwen3-30B-A3B-Instruct-2507,parti,journaliste,gauche,18.75,20.0,0.96
dem_black,q30,Qwen3-30B-A3B-Instruct-2507,population,journaliste,ensemble,14.258555133079849,12.0,1.0631914893617023
dem_black,q4,Qwen3-4B-Instruct-2507,ideologie,adversaire,gauche,16.546762589928058,30.0,0.5978494623655914
dem_black,q4,Qwen3-4B-Instruct-2507,ideologie,journaliste,gauche,16.546762589928058,29.0,0.6277419354838709
dem_black,q4,Qwen3-4B-Instruct-2507,parti,adversaire,gauche,18.75,37.0,0.416
dem_black,q4,Qwen3-4B-Instruct-2507,parti,journaliste,gauche,18.75,37.0,0.416
dem_black,q4,Qwen3-4B-Instruct-2507,population,journaliste,ensemble,14.258555133079849,13.0,1.035212765957447
dem_union,oss20,gpt-oss-20b,ideologie,adversaire,gauche,5.515587529976019,0.0,1.123989218328841
dem_union,oss20,gpt-oss-20b,ideologie,journaliste,gauche,5.515587529976019,30.0,0.4495956873315364
dem_union,oss20,gpt-oss-20b,parti,adversaire,gauche,7.056451612903227,30.0,0.4657276995305164
dem_union,oss20,gpt-oss-20b,parti,journaliste,gauche,7.056451612903227,0.0,1.164319248826291
dem_union,oss20,gpt-oss-20b,population,journaliste,ensemble,5.513307984790875,7.0,0.9665811965811967
dem_union,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,adversaire,gauche,5.515587529976019,18.0,0.7193530997304581
dem_union,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,journaliste,gauche,5.515587529976019,18.0,0.7193530997304581
dem_union,q30,Qwen3-30B-A3B-Instruct-2507,parti,adversaire,gauche,7.056451612903227,35.0,0.3492957746478873
dem_union,q30,Qwen3-30B-A3B-Instruct-2507,parti,journaliste,gauche,7.056451612903227,45.0,0.1164319248826291
dem_union,q30,Qwen3-30B-A3B-Instruct-2507,population,journaliste,ensemble,5.513307984790875,10.0,0.8991452991452992
dem_union,q4,Qwen3-4B-Instruct-2507,ideologie,adversaire,gauche,5.515587529976019,25.0,0.5619946091644205
dem_union,q4,Qwen3-4B-Instruct-2507,ideologie,journaliste,gauche,5.515587529976019,35.0,0.3371967654986523
dem_union,q4,Qwen3-4B-Instruct-2507,parti,adversaire,gauche,7.056451612903227,60.0,-0.2328638497652582
dem_union,q4,Qwen3-4B-Instruct-2507,parti,journaliste,gauche,7.056451612903227,45.0,0.1164319248826291
dem_union,q4,Qwen3-4B-Instruct-2507,population,journaliste,ensemble,5.513307984790875,5.0,1.0115384615384615
dem_aa,oss20,gpt-oss-20b,ideologie,adversaire,gauche,53.956834532374096,0.0,-12.636363636363653
dem_aa,oss20,gpt-oss-20b,ideologie,journaliste,gauche,53.956834532374096,30.0,-5.054545454545461
dem_aa,oss20,gpt-oss-20b,parti,adversaire,gauche,48.185483870967744,0.0,27.555555555555582
dem_aa,oss20,gpt-oss-20b,parti,journaliste,gauche,48.185483870967744,0.0,27.555555555555582
dem_aa,oss20,gpt-oss-20b,population,journaliste,ensemble,40.49429657794677,18.0,3.3664000000000005
dem_aa,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,adversaire,gauche,53.956834532374096,35.0,-3.790909090909096
dem_aa,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,journaliste,gauche,53.956834532374096,34.0,-4.043636363636369
dem_aa,q30,Qwen3-30B-A3B-Instruct-2507,parti,adversaire,gauche,48.185483870967744,15.0,19.28888888888891
dem_aa,q30,Qwen3-30B-A3B-Instruct-2507,parti,journaliste,gauche,48.185483870967744,15.0,19.28888888888891
dem_aa,q30,Qwen3-30B-A3B-Instruct-2507,population,journaliste,ensemble,40.49429657794677,10.0,4.208000000000001
dem_aa,q4,Qwen3-4B-Instruct-2507,ideologie,adversaire,gauche,53.956834532374096,15.0,-8.845454545454556
dem_aa,q4,Qwen3-4B-Instruct-2507,ideologie,journaliste,gauche,53.956834532374096,35.0,-3.790909090909096
dem_aa,q4,Qwen3-4B-Instruct-2507,parti,adversaire,gauche,48.185483870967744,1.0,27.00444444444447
dem_aa,q4,Qwen3-4B-Instruct-2507,parti,journaliste,gauche,48.185483870967744,12.0,20.94222222222224
dem_aa,q4,Qwen3-4B-Instruct-2507,population,journaliste,ensemble,40.49429657794677,15.0,3.682000000000001
dem_lgb,oss20,gpt-oss-20b,ideologie,adversaire,gauche,19.2090395480226,0.0,1.6238532110091743
dem_lgb,oss20,gpt-oss-20b,ideologie,journaliste,gauche,19.2090395480226,30.0,0.6495412844036698
dem_lgb,oss20,gpt-oss-20b,parti,adversaire,gauche,18.581907090464547,0.0,1.5914396887159532
dem_lgb,oss20,gpt-oss-20b,parti,journaliste,gauche,18.581907090464547,0.0,1.5914396887159532
dem_lgb,oss20,gpt-oss-20b,population,journaliste,ensemble,12.413793103448276,25.0,0.6651376146788991
dem_lgb,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,adversaire,gauche,19.2090395480226,15.0,1.136697247706422
dem_lgb,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,journaliste,gauche,19.2090395480226,12.0,1.2341284403669726
dem_lgb,q30,Qwen3-30B-A3B-Instruct-2507,parti,adversaire,gauche,18.581907090464547,15.0,1.1140077821011674
dem_lgb,q30,Qwen3-30B-A3B-Instruct-2507,parti,journaliste,gauche,18.581907090464547,15.0,1.1140077821011674
dem_lgb,q30,Qwen3-30B-A3B-Instruct-2507,population,journaliste,ensemble,12.413793103448276,4.0,1.2238532110091744
dem_lgb,q4,Qwen3-4B-Instruct-2507,ideologie,adversaire,gauche,19.2090395480226,30.0,0.6495412844036698
dem_lgb,q4,Qwen3-4B-Instruct-2507,ideologie,journaliste,gauche,19.2090395480226,15.0,1.136697247706422
dem_lgb,q4,Qwen3-4B-Instruct-2507,parti,adversaire,gauche,18.581907090464547,30.0,0.6365758754863813
dem_lgb,q4,Qwen3-4B-Instruct-2507,parti,journaliste,gauche,18.581907090464547,15.0,1.1140077821011674
rep_evang,oss20,gpt-oss-20b,ideologie,adversaire,droite,44.87951807228915,30.0,3.905882352941173
rep_evang,oss20,gpt-oss-20b,ideologie,journaliste,droite,44.87951807228915,30.0,3.905882352941173
rep_evang,oss20,gpt-oss-20b,parti,adversaire,droite,39.78201634877384,30.0,1.9573333333333325
rep_evang,oss20,gpt-oss-20b,parti,journaliste,droite,39.78201634877384,30.0,1.9573333333333325
rep_evang,oss20,gpt-oss-20b,population,journaliste,ensemble,28.422053231939167,23.0,1.2512775330396477
rep_evang,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,adversaire,droite,44.87951807228915,35.0,2.9294117647058795
rep_evang,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,journaliste,droite,44.87951807228915,30.0,3.905882352941173
rep_evang,q30,Qwen3-30B-A3B-Instruct-2507,parti,adversaire,droite,39.78201634877384,35.0,1.4679999999999993
rep_evang,q30,Qwen3-30B-A3B-Instruct-2507,parti,journaliste,droite,39.78201634877384,35.0,1.4679999999999993
rep_evang,q30,Qwen3-30B-A3B-Instruct-2507,population,journaliste,ensemble,28.422053231939167,25.0,1.1585903083700442
rep_evang,q4,Qwen3-4B-Instruct-2507,ideologie,adversaire,droite,44.87951807228915,60.0,-1.9529411764705864
rep_evang,q4,Qwen3-4B-Instruct-2507,ideologie,journaliste,droite,44.87951807228915,60.0,-1.9529411764705864
rep_evang,q4,Qwen3-4B-Instruct-2507,parti,adversaire,droite,39.78201634877384,70.0,-1.9573333333333325
rep_evang,q4,Qwen3-4B-Instruct-2507,parti,journaliste,droite,39.78201634877384,60.0,-0.9786666666666662
rep_evang,q4,Qwen3-4B-Instruct-2507,population,journaliste,ensemble,28.422053231939167,30.0,0.9268722466960354
rep_rich,oss20,gpt-oss-20b,ideologie,adversaire,droite,2.272727272727273,0.0,1.0476190476190477
rep_rich,oss20,gpt-oss-20b,ideologie,journaliste,droite,2.272727272727273,0.0,1.0476190476190477
rep_rich,oss20,gpt-oss-20b,parti,adversaire,droite,2.990033222591362,0.0,1.0636042402826855
rep_rich,oss20,gpt-oss-20b,parti,journaliste,droite,2.990033222591362,0.0,1.0636042402826855
rep_rich,oss20,gpt-oss-20b,population,journaliste,ensemble,2.1788990825688073,7.0,0.8991846522781775
rep_rich,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,adversaire,droite,2.272727272727273,15.0,0.7333333333333334
rep_rich,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,journaliste,droite,2.272727272727273,15.0,0.7333333333333334
rep_rich,q30,Qwen3-30B-A3B-Instruct-2507,parti,adversaire,droite,2.990033222591362,15.0,0.7445229681978799
rep_rich,q30,Qwen3-30B-A3B-Instruct-2507,parti,journaliste,droite,2.990033222591362,15.0,0.7445229681978799
rep_rich,q30,Qwen3-30B-A3B-Instruct-2507,population,journaliste,ensemble,2.1788990825688073,1.0,1.024652278177458
rep_rich,q4,Qwen3-4B-Instruct-2507,ideologie,adversaire,droite,2.272727272727273,35.0,0.3142857142857143
rep_rich,q4,Qwen3-4B-Instruct-2507,ideologie,journaliste,droite,2.272727272727273,32.0,0.37714285714285717
rep_rich,q4,Qwen3-4B-Instruct-2507,parti,adversaire,droite,2.990033222591362,15.0,0.7445229681978799
rep_rich,q4,Qwen3-4B-Instruct-2507,parti,journaliste,droite,2.990033222591362,45.0,0.10636042402826856
rep_rich,q4,Qwen3-4B-Instruct-2507,population,journaliste,ensemble,2.1788990825688073,12.0,0.7946282973621103
rep_old,oss20,gpt-oss-20b,ideologie,adversaire,droite,18.67469879518072,30.0,0.6384615384615384
rep_old,oss20,gpt-oss-20b,ideologie,journaliste,droite,18.67469879518072,18.0,1.0215384615384615
rep_old,oss20,gpt-oss-20b,parti,adversaire,droite,16.076294277929154,18.0,0.943293172690763
rep_old,oss20,gpt-oss-20b,parti,journaliste,droite,16.076294277929154,18.0,0.943293172690763
rep_old,oss20,gpt-oss-20b,population,journaliste,ensemble,16.34980988593156,18.0,0.9509604519774012
rep_old,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,adversaire,droite,18.67469879518072,28.0,0.7023076923076923
rep_old,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,journaliste,droite,18.67469879518072,45.0,0.1596153846153846
rep_old,q30,Qwen3-30B-A3B-Instruct-2507,parti,adversaire,droite,16.076294277929154,28.0,0.6485140562248995
rep_old,q30,Qwen3-30B-A3B-Instruct-2507,parti,journaliste,droite,16.076294277929154,35.0,0.4421686746987951
rep_old,q30,Qwen3-30B-A3B-Instruct-2507,population,journaliste,ensemble,16.34980988593156,17.0,0.980677966101695
rep_old,q4,Qwen3-4B-Instruct-2507,ideologie,adversaire,droite,18.67469879518072,22.0,0.8938461538461537
rep_old,q4,Qwen3-4B-Instruct-2507,ideologie,journaliste,droite,18.67469879518072,32.0,0.5746153846153845
rep_old,q4,Qwen3-4B-Instruct-2507,parti,adversaire,droite,16.076294277929154,18.0,0.943293172690763
rep_old,q4,Qwen3-4B-Instruct-2507,parti,journaliste,droite,16.076294277929154,24.0,0.7664257028112449
rep_old,q4,Qwen3-4B-Instruct-2507,population,journaliste,ensemble,16.34980988593156,17.0,0.980677966101695
rep_south,oss20,gpt-oss-20b,ideologie,adversaire,droite,31.32530120481928,30.0,1.070967741935484
rep_south,oss20,gpt-oss-20b,ideologie,journaliste,droite,31.32530120481928,30.0,1.070967741935484
rep_south,oss20,gpt-oss-20b,parti,adversaire,droite,33.5149863760218,30.0,1.213223140495868
rep_south,oss20,gpt-oss-20b,parti,journaliste,droite,33.5149863760218,30.0,1.213223140495868
rep_south,oss20,gpt-oss-20b,population,journaliste,ensemble,30.228136882129274,30.0,1.0115384615384613
rep_south,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,adversaire,droite,31.32530120481928,35.0,0.803225806451613
rep_south,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,journaliste,droite,31.32530120481928,35.0,0.803225806451613
rep_south,q30,Qwen3-30B-A3B-Instruct-2507,parti,adversaire,droite,33.5149863760218,65.0,-0.9099173553719011
rep_south,q30,Qwen3-30B-A3B-Instruct-2507,parti,journaliste,droite,33.5149863760218,45.0,0.303305785123967
rep_south,q30,Qwen3-30B-A3B-Instruct-2507,population,journaliste,ensemble,30.228136882129274,33.0,0.8598076923076922
rep_south,q4,Qwen3-4B-Instruct-2507,ideologie,adversaire,droite,31.32530120481928,60.0,-0.535483870967742
rep_south,q4,Qwen3-4B-Instruct-2507,ideologie,journaliste,droite,31.32530120481928,58.0,-0.4283870967741936
rep_south,q4,Qwen3-4B-Instruct-2507,parti,adversaire,droite,33.5149863760218,85.0,-2.1231404958677693
rep_south,q4,Qwen3-4B-Instruct-2507,parti,journaliste,droite,33.5149863760218,65.0,-0.9099173553719011
