perimetre,condition,n_items,facteur_vraie_assignation,facteur_apres_permutation_intra_camp,ecart_absolu
1052,B0 mode,29,-0.008464,-0.008464,0.000000
1052,B0 tirage,29,-0.005531,-0.005531,0.000000
1052,B1 argmax,29,1.208929,1.208929,0.000000
1052,B2 argmax,29,0.973468,0.973468,0.000000
1052,B3 foret,29,0.993262,0.993262,0.000000
1052,agents composite,29,1.828597,1.828597,0.000000
1052,agents demographiques (v6),29,0.309917,0.309917,0.000000
1052,agents enquete,29,1.875750,1.875750,0.000000
1052,agents entretien (v3),29,2.066967,2.066967,0.000000
1052,agents v7,29,0.267850,0.267850,0.000000
1052,agents v8,29,3.091378,3.091378,0.000000
1052,humains vague 2,29,1.025092,1.025092,0.000000
150,B0 mode,29,-0.001850,-0.001850,0.000000
150,B0 tirage,29,0.018400,0.018400,0.000000
150,B1 argmax,29,1.237356,1.237356,0.000000
150,B2 argmax,29,1.012336,1.012336,0.000000
150,B3 foret,29,1.033820,1.033820,0.000000
150,C2,29,1.616674,1.616674,0.000000
150,C3,29,0.523026,0.523026,0.000000
150,agents composite,29,1.827719,1.827719,0.000000
150,agents demographiques (v6),29,0.291941,0.291941,0.000000
150,agents enquete,29,1.861955,1.861955,0.000000
150,agents entretien (v3),29,2.086156,2.086156,0.000000
150,agents v7,29,0.385670,0.385670,0.000000
150,agents v8,29,3.167249,3.167249,0.000000
150,humains vague 2,29,0.984478,0.984478,0.000000
