condition,perimetre,jeu_d_items,n_items,exactitude_vraie,exactitude_permutee,chute,chute_relative,part_du_plancher_humain
humains vague 1,1052,149 items,149,1.0,0.5209588639089494,0.4790411360910506,0.4790411360910506,1.3798579470326766
humains vague 1,1052,"133 items, recopies retires",133,1.0,0.48868953514966124,0.5113104648503388,0.5113104648503388,1.36553550856835
humains vague 2,1052,149 items,149,0.795002169086687,0.5190036555490342,0.2759985135376528,0.34716699434257514,1.0
humains vague 2,1052,"133 items, recopies retires",133,0.7778023957231482,0.48656243746247746,0.2912399582606708,0.37443952328006846,1.0
agents composite,1052,149 items,149,0.683932171383367,0.531358422436012,0.1525737489473551,0.2230831584347746,0.6425817029560191
agents composite,1052,"133 items, recopies retires",133,0.6588881900568913,0.5013744318019383,0.15751375825495295,0.2390599203809565,0.6384473473494611
agents entretien (v3),1052,149 items,149,0.6564932247939368,0.5352477543573123,0.12124547043662448,0.18468655251496555,0.5319818863100845
agents entretien (v3),1052,"133 items, recopies retires",133,0.629334743703365,0.5056711169558878,0.1236636267474771,0.1964989665432576,0.5247815850793155
agents enquete,1052,149 items,149,0.6509875724092173,0.5290791908030724,0.12190838160614492,0.18726683391969898,0.539414278924537
agents enquete,1052,"133 items, recopies retires",133,0.6320220703850883,0.503329461962892,0.12869260842219632,0.20362043424177334,0.5438005915029219
agents demographiques (v6),1052,149 items,149,0.581787327430015,0.5342658598514813,0.047521467578533705,0.08168185406934668,0.23528116266935561
agents demographiques (v6),1052,"133 items, recopies retires",133,0.5385731438863318,0.5020533034106177,0.036519840475714105,0.06780850640302587,0.18109334668794386
agents v7,1052,149 items,149,0.5640135759307934,0.5334691032740451,0.03054447265674831,0.05415556284499123,0.15599283263532812
agents v7,1052,"133 items, recopies retires",133,0.5328911632693901,0.5018922782240773,0.030998885045312785,0.05817113733905559,0.15535522753976344
agents v8,1052,149 items,149,0.559145890218695,0.5451650738765408,0.013980816342154201,0.02500387928575488,0.07202262799522273
agents v8,1052,"133 items, recopies retires",133,0.5281597529946539,0.5139381486034478,0.014221604391206122,0.0269267097891688,0.07191203950184635
C2,150,149 items,149,0.5263087248322148,0.5136069351230426,0.01270178970917224,0.024133724390036516,0.07229085707701773
C2,150,"133 items, recopies retires",133,0.5012030075187969,0.4883095238095238,0.012893483709273068,0.025725072507250504,0.07208184611497262
C3,150,149 items,149,0.5817002237136465,0.494752125279642,0.08694809843400447,0.14947234828090147,0.4477338015429501
C3,150,"133 items, recopies retires",133,0.5580451127819549,0.46560476190476197,0.09244035087719293,0.1656503188718224,0.46415343593101643
B1 argmax,1052,149 items,149,0.6208564064613266,0.5830662273202848,0.03779017914104177,0.060867825068332826,0.17532722309503326
B1 argmax,1052,"133 items, recopies retires",133,0.5922196174847766,0.5528618242373996,0.03935779324737698,0.06645810453651294,0.1774868848094448
B2 argmax,1052,149 items,149,0.6717087299359481,0.5885582272182102,0.08315050271773794,0.12378952217230658,0.35657053864444954
B2 argmax,1052,"133 items, recopies retires",133,0.6473884330598358,0.5571289559449956,0.09025947711484028,0.13942089865312424,0.3723455724753767
PMM k=10,1052,149 items,149,0.6684040625717712,0.5301651057748743,0.1382389567968969,0.20681944431188018,0.5957347549801818
PMM k=10,1052,"133 items, recopies retires",133,0.6454158209211239,0.49747737928471364,0.1479384416364103,0.22921415441176457,0.6121526712881746
B0 mode,1052,149 items,149,0.5933855615382653,0.5944556868349197,-0.0010701252966544006,-0.001803423214208747,-0.005194685104279173
B0 mode,1052,"133 items, recopies retires",133,0.561972898024529,0.5631981331656136,-0.0012252351410846352,-0.002180238843174882,-0.005822672842001604
B0 tirage,1052,149 items,149,0.4918276469237247,0.49287225355347436,-0.0010446066297496448,-0.0021239282425122557,-0.006117886426773681
B0 tirage,1052,"133 items, recopies retires",133,0.457074244546728,0.45805929986563365,-0.0009850553189056366,-0.002155131973980502,-0.005755620974788322
B3 foret,1052,149 items,149,0.633979380917141,0.6053712647051319,0.028608116212009094,0.045124679245283024,0.12997975032371653
B3 foret,1052,"133 items, recopies retires",133,0.6065567912175877,0.5763375167957918,0.03021927442179584,0.04982101405728949,0.1330549019528182
humains vague 1 (150),150,149 items,149,1.0,0.5372633109619688,0.4627366890380312,0.4627366890380312,1.386094881623453
humains vague 1 (150),150,"133 items, recopies retires",133,1.0,0.5079857142857143,0.49201428571428574,0.49201428571428574,1.3786277189006784
humains vague 2 (150),150,149 items,149,0.7914988814317674,0.5272633109619687,0.26423557046979873,0.3338420011305823,1.0
humains vague 2 (150),150,"133 items, recopies retires",133,0.7739348370927319,0.49772756892230574,0.2762072681704262,0.35688698186528506,1.0
