condition,perimetre,item,n_observes,taux_accord
humains vague 2,1052,natspac/y,1052,0.7290874524714829
humains vague 2,1052,natenvir/y,1052,0.8136882129277566
humains vague 2,1052,natheal/y,1052,0.7737642585551331
humains vague 2,1052,natcity/y,1052,0.6368821292775665
humains vague 2,1052,natdrug/y,1052,0.720532319391635
humains vague 2,1052,nateduc/y,1052,0.80893536121673
humains vague 2,1052,natrace/y,1052,0.7614068441064639
humains vague 2,1052,natarms/y,1052,0.7490494296577946
humains vague 2,1052,nataid/y,1052,0.8165399239543726
humains vague 2,1052,natfare/y,1052,0.8041825095057035
humains vague 2,1052,natroad,1052,0.7224334600760456
humains vague 2,1052,natsoc,1052,0.7775665399239544
humains vague 2,1052,natmass,1052,0.7281368821292775
humains vague 2,1052,natpark,1052,0.717680608365019
humains vague 2,1052,natchld,1052,0.7433460076045627
humains vague 2,1052,natsci,1052,0.7034220532319392
humains vague 2,1052,natenrgy,1052,0.6891634980988594
humains vague 2,1052,uswary,1052,0.8165399239543726
humains vague 2,1052,prayer,1052,0.8155893536121673
humains vague 2,1052,courts,1052,0.7595057034220533
humains vague 2,1052,discaffw,1052,0.6112167300380228
humains vague 2,1052,discaffm,1052,0.5846007604562737
humains vague 2,1052,fehire,1052,0.5741444866920152
humains vague 2,1052,fechld,1052,0.6406844106463878
humains vague 2,1052,fepresch,1052,0.6739543726235742
humains vague 2,1052,fefam,1052,0.6644486692015209
humains vague 2,1052,fepol,1052,0.8897338403041825
humains vague 2,1052,mobile16,1052,0.8811787072243346
humains vague 2,1052,incom16,1052,0.7480988593155894
humains vague 2,1052,dwelown16,1052,0.9334600760456274
humains vague 2,1052,divorced,1052,0.9695817490494296
humains vague 2,1052,posslq/y,1052,0.9296577946768061
humains vague 2,1052,wrkstat,1052,0.8098859315589354
humains vague 2,1052,evwork,1052,0.9543726235741445
humains vague 2,1052,wrkgovt1,1052,0.9334600760456274
humains vague 2,1052,wrkgovt2,1052,0.8279467680608364
humains vague 2,1052,partfull,1052,0.8203422053231939
humains vague 2,1052,wksub1,1052,0.7861216730038023
humains vague 2,1052,wksup1,1052,0.8260456273764258
humains vague 2,1052,conarmy,1052,0.7423954372623575
humains vague 2,1052,conbus,1052,0.7214828897338403
humains vague 2,1052,conclerg,1052,0.7576045627376425
humains vague 2,1052,coneduc,1052,0.6834600760456274
humains vague 2,1052,confed,1052,0.7110266159695817
humains vague 2,1052,confinan,1052,0.7224334600760456
humains vague 2,1052,conjudge,1052,0.7271863117870723
humains vague 2,1052,conlabor,1052,0.6920152091254753
humains vague 2,1052,conlegis,1052,0.7338403041825095
humains vague 2,1052,conmedic,1052,0.714828897338403
humains vague 2,1052,conpress,1052,0.7366920152091255
humains vague 2,1052,consci,1052,0.7557034220532319
humains vague 2,1052,contv,1052,0.6730038022813688
