condition,perimetre,segmentation,gain_hongrois_absolu,chute_vraie,rapport_publie_a44,au_dessus_du_plancher_B0_tirage
humains vague 1,1052,S_ideo,0.47892968331334373,0.47892968331334373,1.0,True
humains vague 2,1052,S_ideo,0.276460433306964,0.27608403297011763,1.0013633542396387,True
agents composite,1052,S_ideo,0.15404282670273306,0.1524861880215379,1.010208391339518,True
agents entretien (v3),1052,S_ideo,0.12597828999413074,0.12118716028274679,1.0395349614613096,True
agents enquete,1052,S_ideo,0.12765422844310592,0.12182321305534993,1.0478645673637477,True
agents demographiques (v6),1052,S_ideo,0.09082546507770439,0.04755218567382036,1.910016622594657,True
agents v7,1052,S_ideo,0.09154391124607641,0.0306244736774951,2.9892403118538806,True
agents v8,1052,S_ideo,0.06870486385791208,0.013916286013218704,4.937011483714203,False
C2,150,S_ideo,0.03933959731543646,0.012717673378076166,3.0933014354066906,False
C3,150,S_ideo,0.09052348993288589,0.08680984340044734,1.042779094938667,True
B1 argmax,1052,S_ideo,0.10134020848750858,0.03778596856100247,2.681953443218024,True
B2 argmax,1052,S_ideo,0.10470548268558455,0.08321876515170845,1.2581955823870452,True
PMM k=10,1052,S_ideo,0.14633347793911244,0.1380845688621225,1.0597380948860873,True
B0 mode,1052,S_ideo,0.008820144435654598,-0.0010810983234235128,-8.158503481648049,False
B0 tirage,1052,S_ideo,0.08197386888508934,-0.0011085308903462932,-73.94820441988908,False
B3 foret,1052,S_ideo,0.07872295021308107,0.02847669507744932,2.7644693318158864,False
humains vague 1 (150),150,S_ideo,0.46151991051454133,0.46151991051454133,1.0,True
humains vague 2 (150),150,S_ideo,0.2637615212527965,0.2637615212527965,1.0,True
