condition,n_cellules,exactitude,ic_bas,ic_haut,normalise,part_diversite_humaine,accord_par_paires,famille,n_items,plafond_humain_famille
C2,2550,0.436863,0.410196,0.462353,0.597639,0.923215,0.500582,depenses publiques (nat*),17,0.730980
C3,2550,0.487059,0.456451,0.517255,0.666309,0.469382,0.773570,depenses publiques (nat*),17,0.730980
C3F,1037,0.432015,0.381871,0.482184,0.591008,0.637839,0.638573,depenses publiques (nat*),17,0.730980
humains vague 2,2550,0.730980,0.705098,0.756480,1.000000,0.981028,0.462882,depenses publiques (nat*),17,0.730980
agents composite,2550,0.575294,0.547059,0.603147,0.787017,1.036894,0.444427,depenses publiques (nat*),17,0.730980
agents entretien (v3),2550,0.557255,0.529412,0.583137,0.762339,0.993278,0.471925,depenses publiques (nat*),17,0.730980
agents enquete,2550,0.577647,0.550980,0.604706,0.790236,0.931173,0.505651,depenses publiques (nat*),17,0.730980
agents demographiques (v6),2550,0.500000,0.472941,0.525892,0.684013,0.667830,0.635951,depenses publiques (nat*),17,0.730980
agents v7,2550,0.488235,0.461176,0.517255,0.667918,0.756230,0.610228,depenses publiques (nat*),17,0.730980
agents v8,2550,0.478824,0.445882,0.510980,0.655043,1.113995,0.397994,depenses publiques (nat*),17,0.730980
B0 mode,2550,0.567451,0.546667,0.589412,0.776288,0.066141,0.962100,depenses publiques (nat*),17,0.730980
B0 tirage,2550,0.467059,0.446667,0.488627,0.638948,0.995356,0.463614,depenses publiques (nat*),17,0.730980
B1 argmax,2550,0.590196,0.568235,0.614510,0.807403,0.702485,0.629135,depenses publiques (nat*),17,0.730980
B2 argmax,2550,0.633333,0.610186,0.657647,0.866416,0.590079,0.686301,depenses publiques (nat*),17,0.730980
C2,1950,0.484103,0.454346,0.515385,0.679137,0.613693,0.646381,confiance dans les institutions (con*),13,0.712821
C3,1950,0.547692,0.515372,0.579487,0.768345,0.770214,0.554858,confiance dans les institutions (con*),13,0.712821
C3F,781,0.480454,0.435057,0.527112,0.674018,0.531151,0.662830,confiance dans les institutions (con*),13,0.712821
humains vague 2,1950,0.712821,0.682564,0.744615,1.000000,0.998199,0.415281,confiance dans les institutions (con*),13,0.712821
agents composite,1950,0.600000,0.572308,0.626154,0.841727,0.737644,0.543149,confiance dans les institutions (con*),13,0.712821
agents entretien (v3),1950,0.562051,0.535385,0.587705,0.788489,0.784784,0.522316,confiance dans les institutions (con*),13,0.712821
agents enquete,1950,0.574359,0.549744,0.600000,0.805755,0.719468,0.559965,confiance dans les institutions (con*),13,0.712821
agents demographiques (v6),1950,0.510769,0.481526,0.537962,0.716547,0.439753,0.736627,confiance dans les institutions (con*),13,0.712821
agents v7,1950,0.501538,0.472308,0.529744,0.703597,0.522993,0.696851,confiance dans les institutions (con*),13,0.712821
agents v8,1950,0.505128,0.478449,0.532308,0.708633,0.778164,0.535928,confiance dans les institutions (con*),13,0.712821
B0 mode,1950,0.516410,0.489744,0.543077,0.724460,0.040376,0.975219,confiance dans les institutions (con*),13,0.712821
B0 tirage,1950,0.418974,0.395385,0.441026,0.587770,0.977794,0.429668,confiance dans les institutions (con*),13,0.712821
B1 argmax,1950,0.548205,0.522051,0.575897,0.769065,0.774080,0.535460,confiance dans les institutions (con*),13,0.712821
