jeu,condition,mesure,inter_observe,inter_sous_permutation,part
econ_games_main,humains vague 1,entropie,0.175970,0.010104,0.0574
econ_games_main,humains vague 1,gini_simpson,0.071635,-0.002749,-0.0384
econ_games_main,humains vague 1,variance_ordinale,0.013216,-0.000819,-0.0620
econ_games_main,humains vague 2,entropie,0.283942,0.019682,0.0693
econ_games_main,humains vague 2,gini_simpson,0.100877,0.000875,0.0087
econ_games_main,humains vague 2,variance_ordinale,0.020555,0.000081,0.0039
econ_games_main,agents composite,entropie,0.530436,0.042331,0.0798
econ_games_main,agents composite,gini_simpson,0.135594,-0.000570,-0.0042
econ_games_main,agents composite,variance_ordinale,0.026894,-0.000156,-0.0058
econ_games_main,agents enquete,entropie,0.941008,0.032505,0.0345
econ_games_main,agents enquete,gini_simpson,0.280854,-0.001700,-0.0061
econ_games_main,agents enquete,variance_ordinale,0.051649,-0.000248,-0.0048
econ_games_main,agents entretien (v6),entropie,0.422529,0.047423,0.1122
econ_games_main,agents entretien (v6),gini_simpson,0.131203,0.000354,0.0027
econ_games_main,agents entretien (v6),variance_ordinale,0.022662,0.000184,0.0081
econ_games_main,agents persona (v4),entropie,0.128987,0.042824,0.3320
econ_games_main,agents persona (v4),gini_simpson,0.039664,-0.001724,-0.0435
econ_games_main,agents persona (v4),variance_ordinale,0.003714,-0.000045,-0.0122
econ_games_main,agents demographiques fig.2 (v3),entropie,0.335323,0.086519,0.2580
econ_games_main,agents demographiques fig.2 (v3),gini_simpson,0.089228,0.001158,0.0130
econ_games_main,agents demographiques fig.2 (v3),variance_ordinale,0.007359,0.000063,0.0086
econ_games_main,agents demographiques fig.3 (v8),entropie,5.705337,0.030826,0.0054
econ_games_main,agents demographiques fig.3 (v8),gini_simpson,1.956390,-0.002082,-0.0011
econ_games_main,agents demographiques fig.3 (v8),variance_ordinale,0.296442,-0.000135,-0.0005
bigfive_main,humains vague 1,entropie,0.513322,0.011765,0.0229
bigfive_main,humains vague 1,gini_simpson,0.137492,-0.002539,-0.0185
bigfive_main,humains vague 1,variance_ordinale,0.025774,-0.000156,-0.0061
bigfive_main,humains vague 2,entropie,0.510321,0.033901,0.0664
bigfive_main,humains vague 2,gini_simpson,0.140232,0.002709,0.0193
bigfive_main,humains vague 2,variance_ordinale,0.024774,0.000082,0.0033
bigfive_main,agents composite,entropie,1.105409,0.037230,0.0337
bigfive_main,agents composite,gini_simpson,0.362873,0.000404,0.0011
bigfive_main,agents composite,variance_ordinale,0.067396,-0.000016,-0.0002
