sous_ensemble,condition,axe,silhouette,ic_bas,ic_haut
attitudinal,humains vague 1,gender,0.0131,0.0088,0.0173
attitudinal,humains vague 1,race,-0.0015,-0.0138,0.0091
attitudinal,humains vague 1,political_ideology,-0.0284,-0.0332,-0.0236
attitudinal,humains vague 1,age,-0.0295,-0.0400,-0.0222
attitudinal,humains vague 1,education,-0.0192,-0.0295,-0.0109
attitudinal,humains vague 1,profil croise,-0.0466,-0.0611,-0.0352
attitudinal,humains vague 2,gender,0.0130,0.0089,0.0179
attitudinal,humains vague 2,race,-0.0010,-0.0118,0.0093
attitudinal,humains vague 2,political_ideology,-0.0313,-0.0372,-0.0259
attitudinal,humains vague 2,age,-0.0300,-0.0452,-0.0196
attitudinal,humains vague 2,education,-0.0184,-0.0276,-0.0116
attitudinal,humains vague 2,profil croise,-0.0507,-0.0670,-0.0387
attitudinal,agents composite,gender,0.0198,0.0117,0.0293
attitudinal,agents composite,race,-0.0130,-0.0277,0.0016
attitudinal,agents composite,political_ideology,-0.0539,-0.0639,-0.0446
attitudinal,agents composite,age,-0.0688,-0.0914,-0.0484
attitudinal,agents composite,education,-0.0286,-0.0477,-0.0158
attitudinal,agents composite,profil croise,-0.0910,-0.1172,-0.0665
attitudinal,agents entretien (v3),gender,0.0258,0.0147,0.0390
attitudinal,agents entretien (v3),race,-0.0470,-0.0623,-0.0347
attitudinal,agents entretien (v3),political_ideology,-0.0771,-0.0887,-0.0643
attitudinal,agents entretien (v3),age,-0.0919,-0.1142,-0.0703
attitudinal,agents entretien (v3),education,-0.0372,-0.0641,-0.0170
attitudinal,agents entretien (v3),profil croise,-0.1152,-0.1456,-0.0857
attitudinal,agents enquete,gender,0.0160,0.0061,0.0265
attitudinal,agents enquete,race,-0.0363,-0.0536,-0.0176
attitudinal,agents enquete,political_ideology,-0.0624,-0.0734,-0.0521
attitudinal,agents enquete,age,-0.0874,-0.1071,-0.0651
attitudinal,agents enquete,education,-0.0413,-0.0688,-0.0220
attitudinal,agents enquete,profil croise,-0.1019,-0.1387,-0.0774
attitudinal,agents persona (v7),gender,0.0271,0.0172,0.0378
attitudinal,agents persona (v7),race,-0.0594,-0.0910,-0.0222
attitudinal,agents persona (v7),political_ideology,-0.0569,-0.0785,-0.0405
attitudinal,agents persona (v7),age,-0.0601,-0.0875,-0.0382
