condition,mesure,ratio_inter,inter_ic_bas,inter_ic_haut,ratio_intra,intra_ic_bas,intra_ic_haut,produit,ratio_dispersion_globale
humains vague 1,entropie,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
humains vague 2,entropie,0.9499,0.7088,1.2070,0.9989,0.9959,1.0018,0.9489,0.9986
agents composite,entropie,2.1297,1.5929,2.8484,0.9371,0.9292,0.9449,1.9958,0.9457
agents enquete,entropie,1.4692,1.0715,2.0123,0.9158,0.9071,0.9246,1.3455,0.9198
agents entretien (v5),entropie,2.0105,1.5580,2.7110,0.9371,0.9301,0.9448,1.8841,0.9449
agents persona (v4),entropie,0.8500,0.5693,1.3079,0.8949,0.8830,0.9068,0.7607,0.8946
agents demographiques fig.2 (v3),entropie,2.3865,1.7061,3.3953,0.6728,0.6593,0.6851,1.6058,0.6852
agents demographiques fig.3 (v8),entropie,13.5053,10.3503,19.0931,0.6935,0.6845,0.7018,9.3654,0.7859
humains vague 1,gini_simpson,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
humains vague 2,gini_simpson,0.9821,0.7375,1.2757,0.9990,0.9964,1.0012,0.9811,0.9989
agents composite,gini_simpson,2.5885,1.9364,3.4847,0.9448,0.9379,0.9519,2.4455,0.9544
agents enquete,gini_simpson,1.5819,1.1703,2.1672,0.9379,0.9312,0.9449,1.4836,0.9416
agents entretien (v5),gini_simpson,2.3297,1.7938,3.2215,0.9440,0.9376,0.9508,2.1993,0.9521
agents persona (v4),gini_simpson,0.9022,0.5777,1.3544,0.9124,0.9020,0.9227,0.8232,0.9124
agents demographiques fig.2 (v3),gini_simpson,2.6140,1.8543,3.8073,0.7575,0.7454,0.7683,1.9801,0.7683
agents demographiques fig.3 (v8),gini_simpson,13.8753,10.5753,19.4399,0.7694,0.7605,0.7779,10.6756,0.8460
humains vague 1,variance_ordinale,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
humains vague 2,variance_ordinale,0.9522,0.8247,1.0933,0.9828,0.9563,1.0089,0.9359,0.9821
agents composite,variance_ordinale,2.5998,2.1025,3.3173,1.0677,1.0167,1.1220,2.7759,1.1011
agents enquete,variance_ordinale,0.9396,0.7502,1.1817,0.6284,0.6004,0.6586,0.5904,0.6352
agents entretien (v5),variance_ordinale,2.5693,2.0593,3.3278,1.1120,1.0525,1.1789,2.8570,1.1437
agents persona (v4),variance_ordinale,0.5068,0.3341,0.7300,0.7994,0.7397,0.8620,0.4051,0.7930
agents demographiques fig.2 (v3),variance_ordinale,0.4191,0.3158,0.5952,0.1628,0.1531,0.1734,0.0682,0.1683
agents demographiques fig.3 (v8),variance_ordinale,4.6472,3.5929,6.3178,0.3057,0.2881,0.3251,1.4209,0.4002
