condition,mesure,ratio_inter,inter_ic_bas,inter_ic_haut,ratio_intra,intra_ic_bas,intra_ic_haut,produit,ratio_dispersion_globale
humains vague 1,entropie,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
humains vague 2,entropie,1.5932,0.8343,4.5736,1.0057,0.9901,1.0209,1.6023,1.0078
agents composite,entropie,2.9428,1.5112,8.9022,0.6998,0.6753,0.7244,2.0592,0.7079
agents enquete,entropie,5.4774,2.9806,17.9828,0.7642,0.7416,0.7869,4.1856,0.7813
agents entretien (v6),entropie,2.2615,1.0888,7.6774,0.7221,0.6977,0.7446,1.6330,0.7277
agents persona (v4),entropie,0.5195,-0.1398,2.1123,0.7349,0.7087,0.7634,0.3818,0.7341
agents demographiques fig.2 (v3),entropie,1.5000,0.6989,5.0978,0.5457,0.5252,0.5653,0.8186,0.5492
agents demographiques fig.3 (v8),entropie,34.2116,18.5990,110.6144,0.6955,0.6772,0.7153,23.7936,0.8172
humains vague 1,gini_simpson,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
humains vague 2,gini_simpson,1.3444,0.7090,2.9919,1.0093,0.9928,1.0268,1.3569,1.0107
agents composite,gini_simpson,1.8306,0.9544,4.4118,0.6727,0.6457,0.7000,1.2314,0.6775
agents enquete,gini_simpson,3.7986,2.1490,8.9633,0.7493,0.7243,0.7713,2.8461,0.7619
agents entretien (v6),gini_simpson,1.7591,0.8717,4.5727,0.6890,0.6646,0.7113,1.2119,0.6934
agents persona (v4),gini_simpson,0.5564,0.0963,1.5550,0.7212,0.6957,0.7488,0.4013,0.7205
agents demographiques fig.2 (v3),gini_simpson,1.1840,0.5480,3.0101,0.5567,0.5351,0.5792,0.6591,0.5593
agents demographiques fig.3 (v8),gini_simpson,26.3291,15.8694,61.0246,0.6925,0.6729,0.7127,18.2328,0.7986
humains vague 1,variance_ordinale,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
humains vague 2,variance_ordinale,1.4588,0.2688,4.8736,1.0737,1.0388,1.1125,1.5663,1.0753
agents composite,variance_ordinale,1.9273,0.8158,8.2976,0.2769,0.2521,0.3072,0.5336,0.2835
agents enquete,variance_ordinale,3.6976,1.5833,16.5006,0.3704,0.3388,0.4043,1.3697,0.3838
agents entretien (v6),variance_ordinale,1.6016,0.6326,7.2798,0.3135,0.2854,0.3410,0.5020,0.3187
agents persona (v4),variance_ordinale,0.2679,-0.1477,1.5575,0.3415,0.3036,0.3801,0.0915,0.3412
agents demographiques fig.2 (v3),variance_ordinale,0.5198,0.2010,2.7727,0.1623,0.1408,0.1839,0.0844,0.1637
agents demographiques fig.3 (v8),variance_ordinale,21.1306,9.3143,88.0612,0.3027,0.2766,0.3299,6.3959,0.3866
