jeu,condition,axe,mesure,ratio_inter,ratio_intra
econ_games_main,humains vague 1,gender,entropie,1.0000,1.0000
econ_games_main,humains vague 1,gender,gini_simpson,1.0000,1.0000
econ_games_main,humains vague 1,gender,variance_ordinale,1.0000,1.0000
econ_games_main,humains vague 1,race,entropie,1.0000,1.0000
econ_games_main,humains vague 1,race,gini_simpson,1.0000,1.0000
econ_games_main,humains vague 1,race,variance_ordinale,1.0000,1.0000
econ_games_main,humains vague 1,political_ideology,entropie,1.0000,1.0000
econ_games_main,humains vague 1,political_ideology,gini_simpson,1.0000,1.0000
econ_games_main,humains vague 1,political_ideology,variance_ordinale,1.0000,1.0000
econ_games_main,humains vague 1,age,entropie,1.0000,1.0000
econ_games_main,humains vague 1,age,gini_simpson,1.0000,1.0000
econ_games_main,humains vague 1,age,variance_ordinale,1.0000,1.0000
econ_games_main,humains vague 1,education,entropie,1.0000,1.0000
econ_games_main,humains vague 1,education,gini_simpson,1.0000,1.0000
econ_games_main,humains vague 1,profil croise,entropie,1.0000,1.0000
econ_games_main,humains vague 1,profil croise,gini_simpson,1.0000,1.0000
econ_games_main,humains vague 1,profil croise,variance_ordinale,1.0000,1.0000
econ_games_main,humains vague 2,gender,entropie,0.9590,1.0082
econ_games_main,humains vague 2,gender,gini_simpson,1.2056,1.0106
econ_games_main,humains vague 2,gender,variance_ordinale,2.2999,1.0738
econ_games_main,humains vague 2,race,entropie,1.9097,1.0047
econ_games_main,humains vague 2,race,gini_simpson,1.7263,1.0078
econ_games_main,humains vague 2,race,variance_ordinale,1.5585,1.0733
econ_games_main,humains vague 2,political_ideology,entropie,1.8437,1.0051
econ_games_main,humains vague 2,political_ideology,gini_simpson,1.6842,1.0088
econ_games_main,humains vague 2,political_ideology,variance_ordinale,6.7165,1.0702
econ_games_main,humains vague 2,age,entropie,1.0611,1.0080
econ_games_main,humains vague 2,age,gini_simpson,1.0975,1.0107
econ_games_main,humains vague 2,age,variance_ordinale,0.3868,1.0783
econ_games_main,humains vague 2,education,entropie,2.0005,1.0065
econ_games_main,humains vague 2,education,gini_simpson,1.7572,1.0092
econ_games_main,humains vague 2,profil croise,entropie,1.7163,1.0016
econ_games_main,humains vague 2,profil croise,gini_simpson,1.1131,1.0087
econ_games_main,humains vague 2,profil croise,variance_ordinale,0.9779,1.0754
econ_games_main,agents composite,gender,entropie,0.9885,0.7079
econ_games_main,agents composite,gender,gini_simpson,1.2699,0.6762
econ_games_main,agents composite,gender,variance_ordinale,1.2498,0.2821
econ_games_main,agents composite,race,entropie,0.1685,0.7107
econ_games_main,agents composite,race,gini_simpson,-0.0240,0.6807
econ_games_main,agents composite,race,variance_ordinale,0.1192,0.2843
econ_games_main,agents composite,political_ideology,entropie,6.6130,0.6879
econ_games_main,agents composite,political_ideology,gini_simpson,5.5964,0.6630
econ_games_main,agents composite,political_ideology,variance_ordinale,20.6630,0.2647
econ_games_main,agents composite,age,entropie,0.7514,0.7081
econ_games_main,agents composite,age,gini_simpson,0.5527,0.6778
econ_games_main,agents composite,age,variance_ordinale,0.0564,0.2844
econ_games_main,agents composite,education,entropie,5.4373,0.7019
econ_games_main,agents composite,education,gini_simpson,2.7194,0.6735
econ_games_main,agents composite,profil croise,entropie,3.8523,0.6818
econ_games_main,agents composite,profil croise,gini_simpson,1.8943,0.6648
econ_games_main,agents composite,profil croise,variance_ordinale,1.4908,0.2668
econ_games_main,agents enquete,gender,entropie,1.0176,0.7812
econ_games_main,agents enquete,gender,gini_simpson,1.3892,0.7606
econ_games_main,agents enquete,gender,variance_ordinale,1.1224,0.3828
econ_games_main,agents enquete,race,entropie,0.5904,0.7827
econ_games_main,agents enquete,race,gini_simpson,0.3182,0.7639
econ_games_main,agents enquete,race,variance_ordinale,0.1894,0.3847
econ_games_main,agents enquete,political_ideology,entropie,16.2770,0.7285
econ_games_main,agents enquete,political_ideology,gini_simpson,14.5220,0.7214
econ_games_main,agents enquete,political_ideology,variance_ordinale,45.3718,0.3421
econ_games_main,agents enquete,age,entropie,0.3415,0.7827
econ_games_main,agents enquete,age,gini_simpson,0.8366,0.7615
econ_games_main,agents enquete,age,variance_ordinale,0.4854,0.3831
econ_games_main,agents enquete,education,entropie,4.3221,0.7767
econ_games_main,agents enquete,education,gini_simpson,3.2293,0.7570
econ_games_main,agents enquete,profil croise,entropie,7.0413,0.7330
econ_games_main,agents enquete,profil croise,gini_simpson,3.7751,0.7310
econ_games_main,agents enquete,profil croise,variance_ordinale,2.8377,0.3501
econ_games_main,agents entretien (v6),gender,entropie,0.3760,0.7296
econ_games_main,agents entretien (v6),gender,gini_simpson,0.6659,0.6937
econ_games_main,agents entretien (v6),gender,variance_ordinale,0.3288,0.3189
econ_games_main,agents entretien (v6),race,entropie,0.3733,0.7296
econ_games_main,agents entretien (v6),race,gini_simpson,0.0770,0.6962
econ_games_main,agents entretien (v6),race,variance_ordinale,0.1768,0.3194
econ_games_main,agents entretien (v6),political_ideology,entropie,4.7517,0.7139
econ_games_main,agents entretien (v6),political_ideology,gini_simpson,4.9152,0.6808
econ_games_main,agents entretien (v6),political_ideology,variance_ordinale,14.6957,0.3052
econ_games_main,agents entretien (v6),age,entropie,0.6257,0.7285
econ_games_main,agents entretien (v6),age,gini_simpson,0.5292,0.6941
econ_games_main,agents entretien (v6),age,variance_ordinale,0.1947,0.3192
econ_games_main,agents entretien (v6),education,entropie,8.6811,0.7172
econ_games_main,agents entretien (v6),education,gini_simpson,4.9812,0.6849
