condition,axe_transport,variante,axe_mesure,mesure,ratio_inter,inter_ic_bas,inter_ic_haut,ratio_intra,intra_ic_bas,intra_ic_haut,ratio_global,exactitude,exact_ic_bas,exact_ic_haut,delta_exactitude,delta_ic_bas,delta_ic_haut,diversite_conservee,accord_paires,part_changee
humains vague 2,aucun,aucune,political_ideology,entropie,1.0168,0.9820,1.0529,1.0037,0.9988,1.0084,1.0043,0.7950,0.7896,0.7999,0.0000,0.0000,0.0000,1.0043,0.4909,0.0000
humains vague 2,aucun,aucune,political_ideology,gini_simpson,1.0193,0.9824,1.0568,1.0025,0.9983,1.0072,1.0034,0.7950,0.7896,0.7999,0.0000,0.0000,0.0000,1.0043,0.4909,0.0000
humains vague 2,aucun,aucune,profil croise,entropie,1.0095,0.9759,1.0400,1.0040,0.9989,1.0084,1.0043,0.7950,0.7896,0.7999,0.0000,0.0000,0.0000,1.0043,0.4909,0.0000
humains vague 2,aucun,aucune,profil croise,gini_simpson,1.0253,0.9903,1.0589,1.0021,0.9973,1.0065,1.0034,0.7950,0.7896,0.7999,0.0000,0.0000,0.0000,1.0043,0.4909,0.0000
humains vague 2,aucun,aucune,_tous_axes,entropie,1.0114,0.9877,1.0363,1.0041,0.9998,1.0080,1.0043,0.7950,0.7896,0.7999,0.0000,0.0000,0.0000,1.0043,0.4909,0.0000
humains vague 2,aucun,aucune,_tous_axes,gini_simpson,1.0213,0.9974,1.0478,1.0029,0.9990,1.0067,1.0034,0.7950,0.7896,0.7999,0.0000,0.0000,0.0000,1.0043,0.4909,0.0000
agents composite,aucun,aucune,political_ideology,entropie,2.1295,2.0408,2.2168,0.8331,0.8259,0.8403,0.8933,0.6840,0.6800,0.6880,0.0000,0.0000,0.0000,0.8932,0.5390,0.0000
agents composite,aucun,aucune,political_ideology,gini_simpson,2.1563,2.0629,2.2571,0.8432,0.8359,0.8504,0.9087,0.6840,0.6800,0.6880,0.0000,0.0000,0.0000,0.8932,0.5390,0.0000
agents composite,aucun,aucune,profil croise,entropie,1.8945,1.8198,1.9638,0.8342,0.8274,0.8414,0.8933,0.6840,0.6800,0.6880,0.0000,0.0000,0.0000,0.8932,0.5390,0.0000
agents composite,aucun,aucune,profil croise,gini_simpson,1.9920,1.9073,2.0797,0.8466,0.8388,0.8541,0.9087,0.6840,0.6800,0.6880,0.0000,0.0000,0.0000,0.8932,0.5390,0.0000
agents composite,aucun,aucune,_tous_axes,entropie,1.8058,1.7488,1.8601,0.8709,0.8657,0.8759,0.8933,0.6840,0.6800,0.6880,0.0000,0.0000,0.0000,0.8932,0.5390,0.0000
agents composite,aucun,aucune,_tous_axes,gini_simpson,1.8655,1.8031,1.9331,0.8852,0.8792,0.8906,0.9087,0.6840,0.6800,0.6880,0.0000,0.0000,0.0000,0.8932,0.5390,0.0000
