condition,axe_transport,variante,verite,n_change,n_reparation,n_casse,net,taux_reparation_parmi_changes,taux_uniforme_1_sur_K,spearman_paires_avant,spearman_paires_apres,corr_item_change_erreur,corr_personne_change_erreur
agents composite,political_ideology,naive,vague1,6121,1129,3972,-2843,0.1844,0.3497,0.7062,0.6834,0.3429,-0.1978
agents composite,political_ideology,naive,vague2,6121,1072,4067,-2995,0.1751,0.3497,0.7062,0.6834,0.3429,-0.1978
agents composite,political_ideology,informee,vague1,6121,1789,3195,-1406,0.2923,0.3497,0.7062,0.6715,0.3429,0.1476
agents composite,political_ideology,informee,vague2,6121,1818,3196,-1378,0.2970,0.3497,0.7062,0.6715,0.3429,0.1476
agents composite,political_ideology,dilatation,vague1,11198,2149,6954,-4805,0.1919,0.3343,0.7062,0.6565,0.1204,0.1962
agents composite,political_ideology,dilatation,vague2,11198,2220,6862,-4642,0.1982,0.3343,0.7062,0.6565,0.1204,0.1962
agents composite,profil croise,naive,vague1,4637,825,3007,-2182,0.1779,0.3481,0.7062,0.6941,0.3208,-0.1515
agents composite,profil croise,naive,vague2,4637,820,3021,-2201,0.1768,0.3481,0.7062,0.6941,0.3208,-0.1515
agents composite,profil croise,informee,vague1,4637,1325,2455,-1130,0.2857,0.3481,0.7062,0.6791,0.3208,0.1238
agents composite,profil croise,informee,vague2,4637,1335,2440,-1105,0.2879,0.3481,0.7062,0.6791,0.3208,0.1238
agents composite,profil croise,dilatation,vague1,10560,1956,6612,-4656,0.1852,0.3340,0.7062,0.6463,0.1134,0.0904
agents composite,profil croise,dilatation,vague2,10560,2032,6548,-4516,0.1924,0.3340,0.7062,0.6463,0.1134,0.0904
agents enquete,political_ideology,naive,vague1,6518,1389,3918,-2529,0.2131,0.3474,0.7373,0.7276,0.3121,-0.1171
agents enquete,political_ideology,naive,vague2,6518,1413,3845,-2432,0.2168,0.3474,0.7373,0.7276,0.3121,-0.1171
agents enquete,political_ideology,informee,vague1,6518,2101,3096,-995,0.3223,0.3474,0.7373,0.7181,0.3121,0.1592
agents enquete,political_ideology,informee,vague2,6518,2055,3164,-1109,0.3153,0.3474,0.7373,0.7181,0.3121,0.1592
agents enquete,political_ideology,dilatation,vague1,11732,2692,6629,-3937,0.2295,0.3330,0.7373,0.7095,0.1908,0.1345
agents enquete,political_ideology,dilatation,vague2,11732,2604,6724,-4120,0.2220,0.3330,0.7373,0.7095,0.1908,0.1345
agents enquete,profil croise,naive,vague1,6531,1253,4063,-2810,0.1919,0.3460,0.7373,0.7253,0.3222,-0.1590
agents enquete,profil croise,naive,vague2,6531,1288,4028,-2740,0.1972,0.3460,0.7373,0.7253,0.3222,-0.1590
agents enquete,profil croise,informee,vague1,6531,2024,3126,-1102,0.3099,0.3460,0.7373,0.7168,0.3222,0.1194
agents enquete,profil croise,informee,vague2,6531,1964,3190,-1226,0.3007,0.3460,0.7373,0.7168,0.3222,0.1194
agents enquete,profil croise,dilatation,vague1,10897,2464,6227,-3763,0.2261,0.3333,0.7373,0.6983,0.1660,0.0452
agents enquete,profil croise,dilatation,vague2,10897,2368,6318,-3950,0.2173,0.3333,0.7373,0.6983,0.1660,0.0452
agents entretien (v3),political_ideology,naive,vague1,8680,1795,5337,-3542,0.2068,0.3506,0.5863,0.5637,0.3340,-0.1473
agents entretien (v3),political_ideology,naive,vague2,8680,1831,5246,-3415,0.2109,0.3506,0.5863,0.5637,0.3340,-0.1473
agents entretien (v3),political_ideology,informee,vague1,8680,2386,4510,-2124,0.2749,0.3506,0.5863,0.5447,0.3340,0.1185
agents entretien (v3),political_ideology,informee,vague2,8680,2480,4441,-1961,0.2857,0.3506,0.5863,0.5447,0.3340,0.1185
agents entretien (v3),political_ideology,dilatation,vague1,12126,2415,7452,-5037,0.1992,0.3428,0.5863,0.5463,0.0243,0.1112
agents entretien (v3),political_ideology,dilatation,vague2,12126,2527,7316,-4789,0.2084,0.3428,0.5863,0.5463,0.0243,0.1112
agents entretien (v3),profil croise,naive,vague1,7112,1428,4374,-2946,0.2008,0.3477,0.5863,0.5727,0.3189,-0.0952
agents entretien (v3),profil croise,naive,vague2,7112,1484,4232,-2748,0.2087,0.3477,0.5863,0.5727,0.3189,-0.0952
agents entretien (v3),profil croise,informee,vague1,7112,2012,3670,-1658,0.2829,0.3477,0.5863,0.5600,0.3189,0.1101
agents entretien (v3),profil croise,informee,vague2,7112,2084,3559,-1475,0.2930,0.3477,0.5863,0.5600,0.3189,0.1101
agents entretien (v3),profil croise,dilatation,vague1,11466,2272,7089,-4817,0.1982,0.3428,0.5863,0.5381,0.0169,0.0362
agents entretien (v3),profil croise,dilatation,vague2,11466,2376,6974,-4598,0.2072,0.3428,0.5863,0.5381,0.0169,0.0362
agents demographiques (v8),political_ideology,naive,vague1,25750,7315,12591,-5276,0.2841,0.3482,0.3754,0.2956,0.3500,0.1097
agents demographiques (v8),political_ideology,naive,vague2,25750,7290,12683,-5393,0.2831,0.3482,0.3754,0.2956,0.3500,0.1097
agents demographiques (v8),political_ideology,informee,vague1,25750,7549,12406,-4857,0.2932,0.3482,0.3754,0.2490,0.3500,0.1099
agents demographiques (v8),political_ideology,informee,vague2,25750,7566,12447,-4881,0.2938,0.3482,0.3754,0.2490,0.3500,0.1099
agents demographiques (v8),political_ideology,dilatation,vague1,30989,6536,17567,-11031,0.2109,0.3410,0.3754,0.2754,0.2321,-0.0033
agents demographiques (v8),political_ideology,dilatation,vague2,30989,6599,17480,-10881,0.2129,0.3410,0.3754,0.2754,0.2321,-0.0033
agents demographiques (v8),profil croise,naive,vague1,23359,6450,11725,-5275,0.2761,0.3502,0.3754,0.2926,0.3233,0.0414
agents demographiques (v8),profil croise,naive,vague2,23359,6477,11724,-5247,0.2773,0.3502,0.3754,0.2926,0.3233,0.0414
agents demographiques (v8),profil croise,informee,vague1,23359,6996,11125,-4129,0.2995,0.3502,0.3754,0.2745,0.3233,0.1234
agents demographiques (v8),profil croise,informee,vague2,23359,7061,11047,-3986,0.3023,0.3502,0.3754,0.2745,0.3233,0.1234
agents demographiques (v8),profil croise,dilatation,vague1,29579,6272,16592,-10320,0.2120,0.3394,0.3754,0.2717,0.1663,-0.0666
agents demographiques (v8),profil croise,dilatation,vague2,29579,6342,16534,-10192,0.2144,0.3394,0.3754,0.2717,0.1663,-0.0666
