condition,axe_transport,variante,axe_mesure,ratio_inter_avant,ratio_inter_apres,ratio_intra_avant,ratio_intra_apres
agents composite,political_ideology,naive,gender,1.2652,1.0358,0.8914,0.8923
agents composite,political_ideology,naive,race,1.6278,1.3858,0.8894,0.8904
agents composite,political_ideology,naive,political_ideology,2.1295,0.9242,0.8331,0.8915
agents composite,political_ideology,naive,age,1.2256,0.9960,0.8863,0.8909
agents composite,political_ideology,naive,education,1.3910,1.2422,0.8881,0.8894
agents composite,political_ideology,naive,profil croise,1.8945,1.0043,0.8342,0.8865
agents composite,political_ideology,informee,gender,1.2652,1.1448,0.8914,0.8917
agents composite,political_ideology,informee,race,1.6278,1.4198,0.8894,0.8902
agents composite,political_ideology,informee,political_ideology,2.1295,0.9242,0.8331,0.8915
agents composite,political_ideology,informee,age,1.2256,1.2017,0.8863,0.8865
agents composite,political_ideology,informee,education,1.3910,1.4271,0.8881,0.8874
agents composite,political_ideology,informee,profil croise,1.8945,1.0553,0.8342,0.8835
agents composite,political_ideology,dilatation,gender,1.2652,1.1929,0.8914,1.0325
agents composite,political_ideology,dilatation,race,1.6278,1.4131,0.8894,1.0313
agents composite,political_ideology,dilatation,political_ideology,2.1295,1.1410,0.8331,1.0281
agents composite,political_ideology,dilatation,age,1.2256,1.2675,0.8863,1.0284
agents composite,political_ideology,dilatation,education,1.3910,1.4347,0.8881,1.0291
agents composite,political_ideology,dilatation,profil croise,1.8945,1.2111,0.8342,1.0229
agents composite,profil croise,naive,gender,1.2652,0.7434,0.8914,0.8944
agents composite,profil croise,naive,race,1.6278,0.9970,0.8894,0.8930
agents composite,profil croise,naive,political_ideology,2.1295,1.3408,0.8331,0.8718
agents composite,profil croise,naive,age,1.2256,1.0461,0.8863,0.8904
agents composite,profil croise,naive,education,1.3910,1.2455,0.8881,0.8899
agents composite,profil croise,naive,profil croise,1.8945,1.0848,0.8342,0.8823
agents composite,profil croise,informee,gender,1.2652,0.7434,0.8914,0.8944
agents composite,profil croise,informee,race,1.6278,0.9970,0.8894,0.8930
agents composite,profil croise,informee,political_ideology,2.1295,1.4620,0.8331,0.8659
agents composite,profil croise,informee,age,1.2256,1.1889,0.8863,0.8874
agents composite,profil croise,informee,education,1.3910,1.3460,0.8881,0.8888
agents composite,profil croise,informee,profil croise,1.8945,1.0848,0.8342,0.8823
agents composite,profil croise,dilatation,gender,1.2652,0.6507,0.8914,1.0282
agents composite,profil croise,dilatation,race,1.6278,0.8181,0.8894,1.0273
agents composite,profil croise,dilatation,political_ideology,2.1295,1.4200,0.8331,1.0071
agents composite,profil croise,dilatation,age,1.2256,1.2288,0.8863,1.0220
agents composite,profil croise,dilatation,education,1.3910,1.3756,0.8881,1.0226
agents composite,profil croise,dilatation,profil croise,1.8945,0.9798,0.8342,1.0290
agents enquete,political_ideology,naive,gender,0.8704,0.7107,0.8582,0.8586
agents enquete,political_ideology,naive,race,1.3818,1.1216,0.8555,0.8564
agents enquete,political_ideology,naive,political_ideology,2.5207,1.0962,0.7773,0.8462
agents enquete,political_ideology,naive,age,0.8159,0.6550,0.8592,0.8621
agents enquete,political_ideology,naive,education,1.1213,1.0221,0.8555,0.8561
agents enquete,political_ideology,naive,profil croise,2.0614,1.0438,0.7873,0.8469
agents enquete,political_ideology,informee,gender,0.8704,0.7914,0.8582,0.8582
agents enquete,political_ideology,informee,race,1.3818,1.0539,0.8555,0.8568
agents enquete,political_ideology,informee,political_ideology,2.5207,1.0962,0.7773,0.8462
agents enquete,political_ideology,informee,age,0.8159,0.7572,0.8592,0.8599
agents enquete,political_ideology,informee,education,1.1213,1.1007,0.8555,0.8553
agents enquete,political_ideology,informee,profil croise,2.0614,1.0756,0.7873,0.8450
agents enquete,political_ideology,dilatation,gender,0.8704,0.8527,0.8582,1.0076
agents enquete,political_ideology,dilatation,race,1.3818,1.0672,0.8555,1.0065
agents enquete,political_ideology,dilatation,political_ideology,2.5207,1.3487,0.7773,0.9902
agents enquete,political_ideology,dilatation,age,0.8159,0.7800,0.8592,1.0116
agents enquete,political_ideology,dilatation,education,1.1213,1.0686,0.8555,1.0062
agents enquete,political_ideology,dilatation,profil croise,2.0614,1.2637,0.7873,0.9917
agents enquete,profil croise,naive,gender,0.8704,0.3853,0.8582,0.8616
