methode,n_items,exactitude,ic_bas,ic_haut,part_diversite_humaine,accord_par_paires
copule gaussienne (argmax),70,0.583990,0.579128,0.588541,0.573061,0.625506
copule gaussienne (tirage),70,0.453273,0.449036,0.457415,0.993879,0.388288
B0 mode,70,0.490793,0.485443,0.495980,0.044120,0.967993
B0 tirage,70,0.384560,0.380676,0.388268,0.999361,0.385313
B1 argmax,70,0.514163,0.509058,0.519202,0.763511,0.523520
B1 tirage,70,0.431831,0.427784,0.435796,0.998806,0.386477
B2 argmax,70,0.565521,0.560511,0.570493,0.612145,0.604750
B2 tirage,70,0.458569,0.454250,0.463025,0.962816,0.404501
agents composite,70,0.559601,0.554400,0.565250,0.893949,0.439756
agents entretien (v3),70,0.527268,0.522311,0.532306,0.896851,0.444727
agents enquete,70,0.520627,0.515534,0.525884,0.860149,0.460813
agents demographiques (v6),70,0.451073,0.445898,0.456315,0.624024,0.609738
agents v7,70,0.439747,0.434111,0.445425,0.642532,0.603949
agents v8,70,0.437738,0.431816,0.443862,0.834719,0.476711
humains reinterroges,70,0.714435,0.708120,0.721158,1.001253,0.384636
