famille,methode,n_items,exactitude,ic_bas,ic_haut,part_diversite_humaine,accord_par_paires,plancher_uniforme,n_personnes
Product Preferences - Pricing,B2 contexte complet (a2),40,0.562281,0.556839,0.567857,0.772045,0.653412,0.500000,
Product Preferences - Pricing,B2 contexte complet (tirage),40,0.516557,0.512986,0.520153,0.990797,0.513232,0.500000,
Product Preferences - Pricing,B2 contexte demographies seules,40,0.552332,0.547024,0.557519,0.843847,0.609092,0.500000,
Product Preferences - Pricing,B1 argmax,40,0.555661,0.550399,0.561395,0.888729,0.580645,0.500000,
Product Preferences - Pricing,B0 mode,40,0.559014,0.551493,0.566475,0.000000,1.000000,0.500000,
Product Preferences - Pricing,B0 tirage,40,0.506669,0.503230,0.510119,1.000073,0.506919,0.500000,
Product Preferences - Pricing,"GPT-4.1-mini, persona texte",40,0.668695,0.664103,0.673518,0.884835,0.583052,0.500000,2058.000000
Product Preferences - Pricing,"GPT-4.1-mini, persona texte, temperature par defaut",40,0.662609,0.657895,0.667518,0.884055,0.583594,0.500000,2058.000000
Product Preferences - Pricing,"GPT-4.1-mini, persona texte, raisonnement",40,0.649818,0.645054,0.654750,0.995989,0.509705,0.500000,2058.000000
Product Preferences - Pricing,"GPT-4.1-mini, persona texte, questions repetees",40,0.671586,0.666958,0.676300,0.946153,0.543222,0.500000,2058.000000
Product Preferences - Pricing,"GPT-4.1-mini, persona JSON",40,0.662850,0.655225,0.670176,0.985712,0.516400,0.500000,1000.000000
Product Preferences - Pricing,"GPT-4.1-mini, persona JSON, sortie predite",40,0.544655,0.535471,0.553718,0.894189,0.576832,0.500000,2058.000000
Product Preferences - Pricing,"GPT-4.1-mini, resume de persona",40,0.627272,0.621464,0.633237,0.965856,0.529991,0.500000,2058.000000
Product Preferences - Pricing,"GPT-4.1-mini, resume plus persona JSON",40,0.541569,0.535033,0.548532,0.815192,0.625964,0.500000,2058.000000
Product Preferences - Pricing,"GPT-4.1-mini, affine sur 500 exemples",40,0.517458,0.509096,0.526156,0.983600,0.518047,0.500000,1558.000000
Product Preferences - Pricing,"GPT-4.1-mini, demographies seules",40,0.588375,0.582142,0.594193,0.875375,0.589055,0.500000,2058.000000
Product Preferences - Pricing,"GPT-4.1, persona JSON",40,0.716582,0.711392,0.721660,0.986949,0.515829,0.500000,2058.000000
Product Preferences - Pricing,"GPT-4.1, persona JSON, sortie predite",40,0.692646,0.687512,0.697939,1.008076,0.501439,0.500000,2050.000000
Product Preferences - Pricing,"Gemini-Flash-2.5, persona texte",40,0.669436,0.664820,0.674381,0.978252,0.521723,0.500000,2058.000000
Product Preferences - Pricing,humains retest vagues 1 a 3,40,0.838909,0.834511,0.843404,0.996028,0.509679,0.500000,
False consensus,B2 contexte complet (a2),10,0.441497,0.431874,0.451167,0.554652,0.559906,0.200000,
False consensus,B2 contexte complet (tirage),10,0.321817,0.314818,0.328960,0.977465,0.297443,0.200000,
False consensus,B2 contexte demographies seules,10,0.436735,0.427162,0.445725,0.695504,0.473914,0.200000,
False consensus,B1 argmax,10,0.448105,0.438970,0.457094,0.840166,0.385157,0.200000,
False consensus,B0 mode,10,0.397328,0.389402,0.405106,0.000000,1.000000,0.200000,
False consensus,B0 tirage,10,0.286249,0.279348,0.292711,0.995367,0.285044,0.200000,
False consensus,"GPT-4.1-mini, persona texte",10,0.368562,0.358892,0.378377,0.928489,0.320998,0.200000,2058.000000
