methode,seuil,exactitude_globale,cellules,cellules_minoritaires,rappel_minoritaire,precision_minoritaire,masse_minoritaire_predite,masse_minoritaire_humaine
B0 mode,0.100000,0.593386,156748,5709,0.000000,,0.000000,0.036422
B0 mode,0.200000,0.593386,156748,18411,0.000000,,0.000000,0.117456
B0 tirage,0.100000,0.491828,156748,5709,0.061657,0.061765,0.036358,0.036422
B0 tirage,0.200000,0.491828,156748,18411,0.125251,0.124662,0.118011,0.117456
B1 argmax,0.100000,0.620856,156748,5709,0.057979,0.221257,0.009544,0.036422
B1 argmax,0.200000,0.620856,156748,18411,0.129868,0.300377,0.050782,0.117456
B1 tirage,0.100000,0.542584,156748,5709,0.111753,0.110976,0.036677,0.036422
B1 tirage,0.200000,0.542584,156748,18411,0.186356,0.185821,0.117794,0.117456
B2 argmax,0.100000,0.671709,156748,5709,0.035733,0.489209,0.002660,0.036422
B2 argmax,0.200000,0.671709,156748,18411,0.094020,0.477254,0.023139,0.117456
B2 tirage,0.100000,0.575235,156748,5709,0.109301,0.128633,0.030948,0.036422
B2 tirage,0.200000,0.575235,156748,18411,0.185215,0.210715,0.103242,0.117456
agents composite,0.100000,0.683932,156748,5709,0.306884,0.323247,0.034578,0.036422
agents composite,0.200000,0.683932,156748,18411,0.355440,0.407777,0.102381,0.117456
agents entretien (v3),0.100000,0.656493,156748,5709,0.295323,0.290289,0.037053,0.036422
agents entretien (v3),0.200000,0.656493,156748,18411,0.353213,0.362992,0.114292,0.117456
agents enquete,0.100000,0.650988,156748,5709,0.230513,0.233333,0.035981,0.036422
agents enquete,0.200000,0.650988,156748,18411,0.280484,0.302253,0.108997,0.117456
agents demographiques (v6),0.100000,0.581787,156748,5709,0.162375,0.359163,0.016466,0.036422
agents demographiques (v6),0.200000,0.581787,156748,18411,0.186519,0.301996,0.072543,0.117456
agents v7,0.100000,0.564014,156748,5709,0.067262,0.130657,0.018750,0.036422
agents v7,0.200000,0.564014,156748,18411,0.133127,0.207413,0.075389,0.117456
agents v8,0.100000,0.559146,156748,5709,0.171659,0.148283,0.042163,0.036422
agents v8,0.200000,0.559146,156748,18411,0.223073,0.201679,0.129916,0.117456
humains reinterroges,0.100000,0.795002,156748,5709,0.548257,0.530598,0.037634,0.036422
humains reinterroges,0.200000,0.795002,156748,18411,0.605779,0.602279,0.118139,0.117456
