methode,seuil,exactitude_globale,cellules,cellules_minoritaires,rappel_minoritaire,precision_minoritaire,masse_minoritaire_predite,masse_minoritaire_humaine
B0 mode,0.100000,0.521584,168768,6971,0.000000,,0.000000,0.041305
B0 mode,0.200000,0.521584,168768,20011,0.000000,,0.000000,0.118571
B0 tirage,0.100000,0.442504,168768,6971,0.064553,0.065312,0.040825,0.041305
B0 tirage,0.200000,0.442504,168768,20011,0.119184,0.120169,0.117599,0.118571
B1 argmax,0.100000,0.518434,168768,6971,0.082054,0.197378,0.017172,0.041305
B1 argmax,0.200000,0.518434,168768,20011,0.117835,0.230184,0.060699,0.118571
B1 tirage,0.100000,0.461992,168768,6971,0.110888,0.110429,0.041477,0.041305
B1 tirage,0.200000,0.461992,168768,20011,0.160762,0.160721,0.118601,0.118571
B2 argmax,0.100000,0.530079,168768,6971,0.013915,0.286982,0.002003,0.041305
B2 argmax,0.200000,0.530079,168768,20011,0.055469,0.261176,0.025182,0.118571
B2 tirage,0.100000,0.462005,168768,6971,0.085497,0.094693,0.037294,0.041305
B2 tirage,0.200000,0.462005,168768,20011,0.135176,0.146003,0.109778,0.118571
"GPT-4.1-mini, persona texte",0.100000,0.552971,168768,6971,0.121790,0.162240,0.031007,0.041305
"GPT-4.1-mini, persona texte",0.200000,0.552971,168768,20011,0.183199,0.178472,0.121711,0.118571
"GPT-4.1-mini, persona texte, temperature par defaut",0.100000,0.547756,168768,6971,0.119065,0.141808,0.034681,0.041305
"GPT-4.1-mini, persona texte, temperature par defaut",0.200000,0.547756,168768,20011,0.178752,0.169141,0.125308,0.118571
"GPT-4.1-mini, persona texte, raisonnement",0.100000,0.543506,168768,6971,0.106298,0.143327,0.030634,0.041305
"GPT-4.1-mini, persona texte, raisonnement",0.200000,0.543506,168768,20011,0.164510,0.168045,0.116077,0.118571
"GPT-4.1-mini, persona texte, questions repetees",0.100000,0.548860,168768,6971,0.106584,0.151881,0.028987,0.041305
"GPT-4.1-mini, persona texte, questions repetees",0.200000,0.548860,168768,20011,0.189396,0.171617,0.130854,0.118571
"GPT-4.1-mini, persona JSON",0.100000,0.543860,82032,3481,0.084458,0.148485,0.024137,0.042435
"GPT-4.1-mini, persona JSON",0.200000,0.543860,82032,9963,0.165814,0.166247,0.121136,0.121453
"GPT-4.1-mini, persona JSON, sortie predite",0.100000,0.462476,168768,6971,0.064410,0.131363,0.020253,0.041305
"GPT-4.1-mini, persona JSON, sortie predite",0.200000,0.462476,168768,20011,0.175853,0.160093,0.130244,0.118571
"GPT-4.1-mini, resume de persona",0.100000,0.520901,168768,6971,0.104576,0.107936,0.040019,0.041305
"GPT-4.1-mini, resume de persona",0.200000,0.520901,168768,20011,0.164609,0.149918,0.130191,0.118571
"GPT-4.1-mini, resume plus persona JSON",0.100000,0.474173,168768,6971,0.125807,0.100251,0.051834,0.041305
"GPT-4.1-mini, resume plus persona JSON",0.200000,0.474173,168768,20011,0.180651,0.147203,0.145513,0.118571
"GPT-4.1-mini, affine sur 500 exemples",0.100000,0.461928,127780,5189,0.111004,0.103244,0.043661,0.040609
"GPT-4.1-mini, affine sur 500 exemples",0.200000,0.461928,127780,14938,0.140983,0.152245,0.108256,0.116904
"GPT-4.1-mini, demographies seules",0.100000,0.499588,168768,6971,0.056663,0.091903,0.025467,0.041305
"GPT-4.1-mini, demographies seules",0.200000,0.499588,168768,20011,0.134376,0.139326,0.114358,0.118571
"GPT-4.1, persona JSON",0.100000,0.573820,168768,6971,0.131688,0.126778,0.042905,0.041305
"GPT-4.1, persona JSON",0.200000,0.573820,168768,20011,0.169357,0.162238,0.123773,0.118571
"GPT-4.1, persona JSON, sortie predite",0.100000,0.564637,168112,6935,0.103965,0.147323,0.029112,0.041252
"GPT-4.1, persona JSON, sortie predite",0.200000,0.564637,168112,19932,0.160094,0.173038,0.109695,0.118564
"Gemini-Flash-2.5, persona texte",0.100000,0.550473,168768,6971,0.182327,0.135127,0.055733,0.041305
"Gemini-Flash-2.5, persona texte",0.200000,0.550473,168768,20011,0.193244,0.167149,0.137082,0.118571
humains retest vagues 1 a 3,0.100000,0.711851,168768,6971,0.386745,0.359179,0.044475,0.041305
humains retest vagues 1 a 3,0.200000,0.711851,168768,20011,0.420619,0.400447,0.124544,0.118571
