configuration,n_items,avantage_moyen,items_ou_le_modele_gagne,spearman_avantage_r2_demographies,p_demographies,spearman_avantage_r2_voisins,p_voisins,spearman_avantage_exactitude_B0,p_B0,spearman_avantage_retest_humain,p_retest
"GPT-4.1-mini, persona texte",108,0.002947,46,0.388213,0.000033,-0.092430,0.341390,0.427880,0.000004,0.797421,0.000000
"GPT-4.1-mini, persona texte, temperature par defaut",108,-0.001268,46,0.379105,0.000052,-0.074085,0.446060,0.418879,0.000006,0.794799,0.000000
"GPT-4.1-mini, persona texte, raisonnement",108,-0.004512,45,0.377707,0.000056,-0.090572,0.351223,0.417778,0.000007,0.789753,0.000000
"GPT-4.1-mini, persona texte, questions repetees",108,-0.003311,45,0.392532,0.000026,-0.062917,0.517703,0.417720,0.000007,0.793744,0.000000
"GPT-4.1-mini, persona JSON",108,-0.007794,49,0.395029,0.000023,-0.060600,0.533272,0.387439,0.000034,0.773429,0.000000
"GPT-4.1-mini, persona JSON, sortie predite",108,-0.081862,19,0.257025,0.007247,-0.001843,0.984893,0.252043,0.008502,0.521372,0.000000
"GPT-4.1-mini, resume de persona",108,-0.024998,45,0.355793,0.000158,-0.111203,0.251892,0.407675,0.000012,0.771821,0.000000
"GPT-4.1-mini, resume plus persona JSON",108,-0.061123,22,0.064360,0.508132,0.022279,0.818971,0.352454,0.000183,0.400458,0.000018
"GPT-4.1-mini, affine sur 500 exemples",108,-0.075187,15,0.042899,0.659331,0.006955,0.943052,0.304191,0.001371,0.201177,0.036820
"GPT-4.1-mini, demographies seules",108,-0.042984,37,0.269651,0.004770,-0.094801,0.329096,0.412722,0.000009,0.645587,0.000000
"GPT-4.1, persona JSON",108,0.015595,46,0.404324,0.000014,-0.057906,0.551662,0.436249,0.000002,0.785505,0.000000
"GPT-4.1, persona JSON, sortie predite",108,0.011676,54,0.373479,0.000069,-0.144341,0.136121,0.409541,0.000011,0.759995,0.000000
"Gemini-Flash-2.5, persona texte",108,-0.002981,44,0.411082,0.000010,-0.050447,0.604113,0.428712,0.000004,0.794679,0.000000
