echelle,source,n_items,n_repondants,alpha,r_inter_items_moyen,ecart_type_r
QID287_soutien_politiques,humains_vague4,10,2058,0.8719,0.4003,0.1968
QID288_benefice_percu,humains_vague4,4,2058,0.5642,0.207,0.2323
QID289_risque_percu,humains_vague4,4,2058,0.5447,0.2529,0.216
QID290_consensus_percu,humains_vague4,10,2058,0.8163,0.3102,0.1859
QID9_intention_achat,humains_vague4,40,2058,0.8139,0.0986,0.0239
QID198_appariement_1,humains_vague4,10,1032,0.6748,0.1747,0.0753
QID203_appariement_2,humains_vague4,6,1026,0.2977,0.0744,0.0745
QID287_soutien_politiques,gemini_flash25_texte,10,2058,0.9899,0.9118,0.0238
QID288_benefice_percu,gemini_flash25_texte,4,2058,0.4602,0.0994,0.3477
QID289_risque_percu,gemini_flash25_texte,4,2058,0.596,0.2594,0.2582
QID290_consensus_percu,gemini_flash25_texte,10,2058,0.862,0.3942,0.522
QID9_intention_achat,gemini_flash25_texte,40,2058,0.6115,0.0378,0.0225
QID198_appariement_1,gemini_flash25_texte,10,1032,0.6652,0.1875,0.2266
QID203_appariement_2,gemini_flash25_texte,6,1026,0.6,1.0,0.0
QID287_soutien_politiques,gpt41_json,10,2058,0.9686,0.7464,0.2091
QID288_benefice_percu,gpt41_json,4,2058,0.6975,0.3121,0.2928
QID289_risque_percu,gpt41_json,4,2058,0.4261,0.2099,0.2049
QID290_consensus_percu,gpt41_json,10,2058,0.9644,0.6844,0.3907
QID9_intention_achat,gpt41_json,40,2058,0.6345,0.0416,0.0254
QID198_appariement_1,gpt41_json,10,1032,,,
QID203_appariement_2,gpt41_json,6,1026,,,
QID287_soutien_politiques,gpt41_json_predout,10,2050,0.9839,0.8632,0.1021
QID288_benefice_percu,gpt41_json_predout,4,2050,0.4704,0.2767,0.1107
QID289_risque_percu,gpt41_json_predout,4,2050,-0.1651,-0.0109,0.0683
QID290_consensus_percu,gpt41_json_predout,10,2050,0.959,0.6448,0.4307
QID9_intention_achat,gpt41_json_predout,40,2031,0.6801,0.0505,0.0239
QID198_appariement_1,gpt41_json_predout,10,1028,,,
QID203_appariement_2,gpt41_json_predout,6,1022,,,
QID287_soutien_politiques,gpt41mini_defaut,10,2058,0.9671,0.7417,0.2219
QID288_benefice_percu,gpt41mini_defaut,4,2058,0.6212,0.2864,0.3198
QID289_risque_percu,gpt41mini_defaut,4,2058,0.6923,0.3115,0.3815
QID290_consensus_percu,gpt41mini_defaut,10,2058,0.966,0.7012,0.3516
QID9_intention_achat,gpt41mini_defaut,40,2058,0.444,0.02,0.0306
QID198_appariement_1,gpt41mini_defaut,10,1032,,,
QID203_appariement_2,gpt41mini_defaut,6,1026,,,
QID287_soutien_politiques,gpt41mini_demo_seules,10,2058,0.8975,0.5447,0.2615
QID288_benefice_percu,gpt41mini_demo_seules,4,2058,0.5267,0.1685,0.2929
QID289_risque_percu,gpt41mini_demo_seules,4,2058,0.7197,0.4073,0.335
QID290_consensus_percu,gpt41mini_demo_seules,10,2058,0.9108,0.5086,0.4689
QID9_intention_achat,gpt41mini_demo_seules,40,2058,0.8473,0.1229,0.0408
QID198_appariement_1,gpt41mini_demo_seules,10,1032,0.4439,0.3327,0.5169
QID203_appariement_2,gpt41mini_demo_seules,6,1026,,,
QID287_soutien_politiques,gpt41mini_finetune500,10,1558,0.8054,0.2859,0.8851
QID288_benefice_percu,gpt41mini_finetune500,4,1558,0.9419,0.8214,0.103
QID289_risque_percu,gpt41mini_finetune500,4,1558,0.9943,0.9776,0.0155
QID290_consensus_percu,gpt41mini_finetune500,10,1558,0.9336,0.5786,0.7758
QID9_intention_achat,gpt41mini_finetune500,40,1558,0.9963,0.8701,0.0641
QID198_appariement_1,gpt41mini_finetune500,10,785,,,
QID203_appariement_2,gpt41mini_finetune500,6,773,,,
QID287_soutien_politiques,gpt41mini_json,10,1000,0.9677,0.7604,0.1508
QID288_benefice_percu,gpt41mini_json,4,1000,0.3167,0.0675,0.363
QID289_risque_percu,gpt41mini_json,4,1000,0.1123,0.0648,0.0773
QID290_consensus_percu,gpt41mini_json,10,997,0.9402,0.5376,0.4427
QID9_intention_achat,gpt41mini_json,40,997,0.7862,0.0844,0.037
QID198_appariement_1,gpt41mini_json,10,508,,,
QID203_appariement_2,gpt41mini_json,6,492,,,
QID287_soutien_politiques,gpt41mini_json_predout,10,2058,0.9482,0.6341,0.3487
QID288_benefice_percu,gpt41mini_json_predout,4,1901,0.4692,0.1891,0.2058
QID289_risque_percu,gpt41mini_json_predout,4,1902,0.4962,0.165,0.2925
QID290_consensus_percu,gpt41mini_json_predout,10,1420,0.946,0.578,0.453
QID9_intention_achat,gpt41mini_json_predout,40,1706,0.5462,0.03,0.0317
QID198_appariement_1,gpt41mini_json_predout,10,939,,,
QID203_appariement_2,gpt41mini_json_predout,6,959,,,
QID287_soutien_politiques,gpt41mini_resume,10,2058,0.9062,0.507,0.257
QID288_benefice_percu,gpt41mini_resume,4,2058,0.5658,0.242,0.346
QID289_risque_percu,gpt41mini_resume,4,2058,0.6433,0.3236,0.3805
QID290_consensus_percu,gpt41mini_resume,10,2058,0.9426,0.5783,0.4448
QID9_intention_achat,gpt41mini_resume,40,2058,0.8674,0.1406,0.0439
QID198_appariement_1,gpt41mini_resume,10,1032,,,
QID203_appariement_2,gpt41mini_resume,6,1026,,,
QID287_soutien_politiques,gpt41mini_resume_json,10,2058,0.9025,0.4377,0.3717
QID288_benefice_percu,gpt41mini_resume_json,4,2058,0.5756,0.268,0.2433
