configuration,n_paires,r_moyen_humain,r_moyen_agent,exces_moyen,correlation_des_correlations,pente_agent_sur_humain,rmse,part_exces_decile_haut,gini_exces,part_paires_plus_coherentes
gemini_flash25_texte,2987,0.0705,0.0804,0.0099,0.6709,1.2391,0.1444,0.4887,0.7096,0.3331
gpt41_json,2278,0.0789,0.1036,0.0248,0.7303,1.4626,0.1617,0.5131,0.7026,0.4113
gpt41_json_predout,2278,0.0789,0.1052,0.0263,0.6976,1.433,0.1717,0.5203,0.7126,0.4192
gpt41mini_defaut,2278,0.0789,0.099,0.0201,0.7162,1.4968,0.1721,0.4314,0.6785,0.3472
gpt41mini_demo_seules,2485,0.0754,0.1098,0.0344,0.7905,1.3552,0.1224,0.5269,0.6086,0.6471
gpt41mini_finetune500,2278,0.0789,0.5651,0.4862,0.5939,3.0281,0.5624,0.1742,0.282,1.0
gpt41mini_json,2278,0.0789,0.1251,0.0463,0.7553,1.4349,0.1482,0.471,0.6167,0.5975
gpt41mini_json_predout,2278,0.0789,0.0921,0.0132,0.7224,1.3838,0.1544,0.5487,0.7094,0.3832
gpt41mini_resume,2278,0.0789,0.1317,0.0528,0.8149,1.496,0.1333,0.4679,0.5624,0.7546
gpt41mini_resume_json,2278,0.0789,0.1659,0.087,0.7913,1.5608,0.1657,0.3322,0.5126,0.7695
gpt41mini_texte_raisonnement,2278,0.0789,0.1013,0.0225,0.7559,1.4615,0.1508,0.4765,0.7044,0.3683
gpt41mini_texte_repetition,2278,0.0789,0.1037,0.0249,0.7355,1.5496,0.1707,0.4566,0.683,0.3907
gpt41mini_texte_temp_defaut,2278,0.0789,0.0924,0.0136,0.7207,1.4371,0.1618,0.4469,0.6928,0.3306
