variable,cible,r,ic95_bas,ic95_haut
consistance,deviance_moyenne_6_domaines,-0.5354,-0.5683,-0.5021
style_extreme,deviance_moyenne_6_domaines,-0.0367,-0.0802,0.0127
style_milieu,deviance_moyenne_6_domaines,0.1679,0.1231,0.2117
acquiescement,deviance_moyenne_6_domaines,0.121,0.0696,0.1706
non_reponse,deviance_moyenne_6_domaines,0.0492,0.0053,0.0911
consistance,deviance_personnalite,-0.1385,,
style_extreme,deviance_personnalite,-0.0671,,
consistance,deviance_cognitif,-0.4033,,
style_extreme,deviance_cognitif,-0.0004,,
consistance,deviance_economique,-0.2557,,
style_extreme,deviance_economique,0.0759,,
consistance,deviance_prix,-0.326,,
style_extreme,deviance_prix,-0.0159,,
consistance,deviance_heuristiques_biais,-0.3443,,
style_extreme,deviance_heuristiques_biais,0.1029,,
consistance,deviance_attitudes,-0.2729,,
style_extreme,deviance_attitudes,-0.1315,,
