segmentation,domaine_a,domaine_b,n,r_pearson,r_spearman,r_centre_item,r_desattenue
profil_croise,personnalite,prix,2018,0.0748,0.0636,0.0749,0.0977
profil_croise,cognitif,personnalite,2018,0.1606,0.1382,0.1605,0.1894
profil_croise,cognitif,economique,2018,0.2758,0.257,0.2759,0.3187
profil_croise,cognitif,prix,2018,0.2566,0.2546,0.2565,0.337
profil_croise,cognitif,heuristiques_biais,2018,0.3087,0.3134,0.3311,0.5254
profil_croise,economique,personnalite,2018,0.1509,0.1329,0.1509,0.1735
profil_croise,economique,prix,2018,0.098,0.1021,0.098,0.1254
profil_croise,economique,heuristiques_biais,2018,0.2137,0.2097,0.2154,0.3545
profil_croise,heuristiques_biais,personnalite,2018,0.1396,0.1396,0.1564,0.2364
profil_croise,heuristiques_biais,prix,2018,0.1619,0.1651,0.1379,0.3054
profil_croise,attitudes,personnalite,2018,0.0849,0.082,0.0849,0.1256
profil_croise,attitudes,cognitif,2018,0.1839,0.1798,0.1839,0.2735
profil_croise,attitudes,economique,2018,0.095,0.0912,0.095,0.1376
profil_croise,attitudes,prix,2018,0.1216,0.1178,0.1216,0.2004
profil_croise,attitudes,heuristiques_biais,2018,0.1149,0.1048,0.1328,0.2453
ideologie,personnalite,prix,2058,0.0777,0.0686,0.0777,0.0944
ideologie,cognitif,personnalite,2058,0.1603,0.1336,0.1603,0.1872
ideologie,cognitif,economique,2058,0.2758,0.2572,0.2758,0.3179
ideologie,cognitif,prix,2058,0.2709,0.2633,0.2709,0.3311
ideologie,cognitif,heuristiques_biais,2058,0.4051,0.3942,0.4094,0.7125
ideologie,economique,personnalite,2058,0.1309,0.1041,0.1309,0.15
ideologie,economique,prix,2058,0.1277,0.1224,0.1277,0.1531
ideologie,economique,heuristiques_biais,2058,0.2428,0.2291,0.2474,0.419
ideologie,heuristiques_biais,personnalite,2058,0.1472,0.1246,0.1463,0.2573
ideologie,heuristiques_biais,prix,2058,0.2133,0.2091,0.2119,0.3901
ideologie,attitudes,personnalite,2058,0.0322,0.0179,0.0323,0.046
ideologie,attitudes,cognitif,2058,0.1871,0.1759,0.1871,0.2689
ideologie,attitudes,economique,2058,0.0878,0.0821,0.0878,0.1238
ideologie,attitudes,prix,2058,0.1128,0.1046,0.1128,0.1686
ideologie,attitudes,heuristiques_biais,2058,0.1476,0.1381,0.1528,0.3175
population,personnalite,prix,2058,0.0785,0.0762,0.0784,0.0938
population,cognitif,personnalite,2058,0.1444,0.1227,0.1443,0.1669
population,cognitif,economique,2058,0.2812,0.2628,0.2812,0.3227
population,cognitif,prix,2058,0.2883,0.2823,0.2882,0.3464
population,cognitif,heuristiques_biais,2058,0.3902,0.3842,0.394,0.6613
population,economique,personnalite,2058,0.135,0.1085,0.135,0.1541
population,economique,prix,2058,0.126,0.1172,0.126,0.1495
population,economique,heuristiques_biais,2058,0.2591,0.2437,0.2641,0.4335
population,heuristiques_biais,personnalite,2058,0.1332,0.1174,0.1312,0.2246
population,heuristiques_biais,prix,2058,0.1924,0.184,0.1922,0.3372
population,attitudes,personnalite,2058,0.0475,0.025,0.0476,0.0846
population,attitudes,cognitif,2058,0.0694,0.0635,0.0694,0.1243
population,attitudes,economique,2058,0.0664,0.0616,0.0664,0.1173
population,attitudes,prix,2058,-0.0136,-0.0109,-0.0136,-0.0251
population,attitudes,heuristiques_biais,2058,0.0757,0.0589,0.0768,0.1978
