controle,domaine_a,domaine_b,n,r
aucun,personnalite,prix,2018,0.0748
aucun,cognitif,personnalite,2018,0.1606
aucun,cognitif,economique,2018,0.2758
aucun,cognitif,prix,2018,0.2566
aucun,cognitif,heuristiques_biais,2018,0.3087
aucun,economique,personnalite,2018,0.1509
aucun,economique,prix,2018,0.098
aucun,economique,heuristiques_biais,2018,0.2137
aucun,heuristiques_biais,personnalite,2018,0.1396
aucun,heuristiques_biais,prix,2018,0.1619
aucun,attitudes,personnalite,2018,0.0849
aucun,attitudes,cognitif,2018,0.1839
aucun,attitudes,economique,2018,0.095
aucun,attitudes,prix,2018,0.1216
aucun,attitudes,heuristiques_biais,2018,0.1149
consistance,personnalite,prix,2018,0.0317
consistance,cognitif,personnalite,2018,0.1156
consistance,cognitif,economique,2018,0.1952
consistance,cognitif,prix,2018,0.1446
consistance,cognitif,heuristiques_biais,2018,0.1977
consistance,economique,personnalite,2018,0.1206
consistance,economique,prix,2018,0.016
consistance,economique,heuristiques_biais,2018,0.1384
consistance,heuristiques_biais,personnalite,2018,0.0988
consistance,heuristiques_biais,prix,2018,0.056
consistance,attitudes,personnalite,2018,0.0494
consistance,attitudes,cognitif,2018,0.0839
consistance,attitudes,economique,2018,0.0271
consistance,attitudes,prix,2018,0.0359
consistance,attitudes,heuristiques_biais,2018,0.0231
consistance_style,personnalite,prix,2018,0.0346
consistance_style,cognitif,personnalite,2018,0.0962
consistance_style,cognitif,economique,2018,0.1766
consistance_style,cognitif,prix,2018,0.1287
consistance_style,cognitif,heuristiques_biais,2018,0.1833
consistance_style,economique,personnalite,2018,0.0817
consistance_style,economique,prix,2018,0.0063
consistance_style,economique,heuristiques_biais,2018,0.1149
consistance_style,heuristiques_biais,personnalite,2018,0.0926
consistance_style,heuristiques_biais,prix,2018,0.0423
consistance_style,attitudes,personnalite,2018,0.0022
consistance_style,attitudes,cognitif,2018,0.078
consistance_style,attitudes,economique,2018,0.0221
consistance_style,attitudes,prix,2018,0.0356
consistance_style,attitudes,heuristiques_biais,2018,0.0356
