segmentation,domaine,n_items,fiabilite_split_half
profil_croise,personnalite,275,0.8521
profil_croise,cognitif,50,0.8436
profil_croise,economique,176,0.8881
profil_croise,prix,40,0.6872
profil_croise,heuristiques_biais,58,0.4091
profil_croise,attitudes,10,0.5359
ideologie,personnalite,275,0.8621
ideologie,cognitif,50,0.8511
ideologie,economique,176,0.8841
ideologie,prix,40,0.7869
ideologie,heuristiques_biais,58,0.3799
ideologie,attitudes,10,0.5688
population,personnalite,275,0.8697
population,cognitif,50,0.8605
population,economique,176,0.8827
population,prix,40,0.8049
population,heuristiques_biais,58,0.4046
population,attitudes,10,0.3623
