configuration,domaine_a,domaine_b,n,r
gemini_flash25_texte,heuristiques_biais,prix,2018,0.0081
gemini_flash25_texte,attitudes,prix,2018,-0.0973
gemini_flash25_texte,attitudes,heuristiques_biais,2018,0.0667
gpt41_json,heuristiques_biais,prix,2018,-0.0858
gpt41_json,attitudes,prix,2018,-0.04
gpt41_json,attitudes,heuristiques_biais,2018,0.3655
gpt41_json_predout,heuristiques_biais,prix,1991,0.0164
gpt41_json_predout,attitudes,prix,1991,0.0311
gpt41_json_predout,attitudes,heuristiques_biais,2010,0.2836
gpt41mini_defaut,heuristiques_biais,prix,2018,-0.0966
gpt41mini_defaut,attitudes,prix,2018,-0.0139
gpt41mini_defaut,attitudes,heuristiques_biais,2018,0.2269
gpt41mini_demo_seules,heuristiques_biais,prix,2018,-0.0511
gpt41mini_demo_seules,attitudes,prix,2018,0.077
gpt41mini_demo_seules,attitudes,heuristiques_biais,2018,-0.0846
gpt41mini_demo_seules_spec,heuristiques_biais,prix,2018,-0.0511
gpt41mini_demo_seules_spec,attitudes,prix,2018,0.077
gpt41mini_demo_seules_spec,attitudes,heuristiques_biais,2018,-0.0846
gpt41mini_finetune500,heuristiques_biais,prix,1525,0.2442
gpt41mini_finetune500,attitudes,prix,1525,0.2195
gpt41mini_finetune500,attitudes,heuristiques_biais,1525,0.6018
gpt41mini_json,heuristiques_biais,prix,908,-0.1755
gpt41mini_json,attitudes,prix,908,-0.163
gpt41mini_json,attitudes,heuristiques_biais,909,0.2771
gpt41mini_json_predout,heuristiques_biais,prix,1840,0.0859
gpt41mini_json_predout,attitudes,prix,1845,0.0185
gpt41mini_json_predout,attitudes,heuristiques_biais,2000,0.2102
gpt41mini_resume,heuristiques_biais,prix,2018,-0.0369
gpt41mini_resume,attitudes,prix,2018,0.116
gpt41mini_resume,attitudes,heuristiques_biais,2018,-0.0963
gpt41mini_resume_json,heuristiques_biais,prix,2018,0.0732
gpt41mini_resume_json,attitudes,prix,2018,0.0418
gpt41mini_resume_json,attitudes,heuristiques_biais,2018,0.0053
gpt41mini_texte,heuristiques_biais,prix,2018,-0.0966
gpt41mini_texte,attitudes,prix,2018,-0.0139
gpt41mini_texte,attitudes,heuristiques_biais,2018,0.2269
gpt41mini_texte_raisonnement,heuristiques_biais,prix,2018,0.0003
gpt41mini_texte_raisonnement,attitudes,prix,2018,0.0115
gpt41mini_texte_raisonnement,attitudes,heuristiques_biais,2018,0.0679
gpt41mini_texte_repetition,heuristiques_biais,prix,2018,-0.0429
gpt41mini_texte_repetition,attitudes,prix,2018,-0.0796
gpt41mini_texte_repetition,attitudes,heuristiques_biais,2018,0.2039
gpt41mini_texte_temp_defaut,heuristiques_biais,prix,2018,-0.0762
gpt41mini_texte_temp_defaut,attitudes,prix,2018,0.0121
gpt41mini_texte_temp_defaut,attitudes,heuristiques_biais,2018,0.1625
HUMAINS_vague4,heuristiques_biais,prix,2018,0.1471
HUMAINS_vague4,attitudes,prix,2018,0.1409
HUMAINS_vague4,attitudes,heuristiques_biais,2018,0.1701
