configuration,reference,n_personnes,taux_deviance_agent,taux_deviance_humain,r_agent_humain,ic95_bas,ic95_haut,rho_spearman,r_centre_item,n_centre,accord_mode_agent_humain,n_cellules_mode,temoin_permutation_p95,fiabilite_agent,fiabilite_humain,r_desattenue
gemini_flash25_texte,interne,2058,0.3287,0.5013,0.3148,0.273,0.3531,0.3334,0.0633,2018,0.483,3350,0.0423,0.5202,0.6449,0.5436
gemini_flash25_texte,externe,2058,0.5095,0.5013,0.4318,0.392,0.4711,0.4114,0.2088,2018,0.483,3350,0.0448,0.3516,0.6449,0.9068
gpt41_json,interne,2058,0.2861,0.5013,0.269,0.225,0.3068,0.2491,0.2679,2018,0.6376,3350,0.0433,0.6563,0.6449,0.4135
gpt41_json,externe,2058,0.4757,0.5013,0.5149,0.481,0.5522,0.5045,0.4193,2018,0.6376,3350,0.0436,0.5536,0.6449,0.8619
gpt41_json_predout,interne,2050,0.2829,0.5016,0.1754,0.1325,0.2146,0.1484,0.1565,2010,0.5949,3342,0.0444,0.64,0.6451,0.2729
gpt41_json_predout,externe,2050,0.4907,0.5016,0.5121,0.4767,0.5471,0.4913,0.4205,2010,0.5949,3342,0.0414,0.5161,0.6451,0.8876
gpt41mini_defaut,interne,2058,0.2452,0.5013,0.3648,0.326,0.4011,0.3719,0.2746,2018,0.6513,3350,0.0411,0.5834,0.6449,0.5947
gpt41mini_defaut,externe,2058,0.4545,0.5013,0.5268,0.493,0.5615,0.5107,0.4251,2018,0.6513,3350,0.0409,0.5914,0.6449,0.853
gpt41mini_demo_seules,interne,2058,0.2251,0.5013,0.2465,0.206,0.2859,0.253,0.0828,2018,0.4367,3350,0.0424,0.7938,0.6449,0.3445
gpt41mini_demo_seules,externe,2058,0.5586,0.5013,0.3754,0.3361,0.4144,0.3653,0.0451,2018,0.4367,3350,0.0399,0.5384,0.6449,0.6371
gpt41mini_demo_seules_spec,interne,2058,0.2251,0.5013,0.2465,0.206,0.2859,0.253,0.0828,2018,0.4367,3350,0.0424,0.7938,0.6449,0.3445
gpt41mini_demo_seules_spec,externe,2058,0.5586,0.5013,0.3754,0.3361,0.4144,0.3653,0.0451,2018,0.4367,3350,0.0399,0.5384,0.6449,0.6371
gpt41mini_finetune500,interne,1558,0.2338,0.499,0.054,0.0023,0.1061,0.049,0.032,1525,0.4158,3093,0.0538,0.9836,0.6363,0.0683
gpt41mini_finetune500,externe,1558,0.5535,0.499,-0.0886,-0.1421,-0.0355,-0.087,-0.0289,1530,0.4158,3093,0.0505,0.9077,0.6363,-0.1166
gpt41mini_json,interne,1000,0.2727,0.507,0.1051,0.0386,0.1742,0.1523,0.0426,909,0.4446,2310,0.0663,0.8136,0.6445,0.1451
gpt41mini_json,externe,1000,0.5268,0.507,0.4158,0.3602,0.4678,0.4102,0.2,975,0.4446,2310,0.0639,0.6398,0.6445,0.6475
gpt41mini_json_predout,interne,2058,0.2292,0.5013,0.2355,0.1917,0.277,0.2342,0.117,1944,0.3983,3204,0.0452,0.6793,0.6449,0.3558
gpt41mini_json_predout,externe,2058,0.5711,0.5013,0.3896,0.35,0.4293,0.3715,0.1212,1953,0.3983,3204,0.0438,0.444,0.6449,0.728
gpt41mini_resume,interne,2058,0.2849,0.5013,0.3194,0.2808,0.3568,0.3242,0.1403,2018,0.4451,3350,0.0455,0.8222,0.6449,0.4387
gpt41mini_resume,externe,2058,0.5414,0.5013,0.3777,0.3379,0.4144,0.3751,0.0803,2018,0.4451,3350,0.0444,0.6149,0.6449,0.5999
gpt41mini_resume_json,interne,2058,0.2715,0.5013,0.239,0.1987,0.2781,0.2505,0.0547,2018,0.4131,3350,0.046,0.8913,0.6449,0.3152
gpt41mini_resume_json,externe,2058,0.5771,0.5013,0.3382,0.2962,0.3758,0.3351,0.0053,2018,0.4131,3350,0.0435,0.7234,0.6449,0.4951
gpt41mini_texte,interne,2058,0.2452,0.5013,0.3648,0.326,0.4011,0.3719,0.2746,2018,0.6513,3350,0.0411,0.5834,0.6449,0.5947
gpt41mini_texte,externe,2058,0.4545,0.5013,0.5268,0.493,0.5615,0.5107,0.4251,2018,0.6513,3350,0.0409,0.5914,0.6449,0.853
gpt41mini_texte_raisonnement,interne,2058,0.3063,0.5013,0.2811,0.2437,0.3198,0.2966,0.0586,2018,0.4887,3350,0.0463,0.6516,0.6449,0.4337
gpt41mini_texte_raisonnement,externe,2058,0.5025,0.5013,0.4752,0.4372,0.5112,0.4335,0.2581,2018,0.4887,3350,0.0488,0.475,0.6449,0.8585
gpt41mini_texte_repetition,interne,2058,0.2781,0.5013,0.3195,0.278,0.3572,0.3298,0.2725,2018,0.6331,3350,0.0465,0.5983,0.6449,0.5144
gpt41mini_texte_repetition,externe,2058,0.4805,0.5013,0.5305,0.496,0.5645,0.5077,0.4279,2018,0.6331,3350,0.0431,0.5336,0.6449,0.9044
gpt41mini_texte_temp_defaut,interne,2058,0.2711,0.5013,0.354,0.3152,0.3913,0.3615,0.236,2018,0.6504,3350,0.0478,0.5572,0.6449,0.5906
gpt41mini_texte_temp_defaut,externe,2058,0.4575,0.5013,0.5109,0.4776,0.5466,0.498,0.4119,2018,0.6504,3350,0.0432,0.5932,0.6449,0.826
