segmentation,domaine,n_personnes,n_items,taux_deviance_moyen,ecart_type,p10,p90
genre,personnalite,2058,275,0.588,0.0773,0.4891,0.6901
genre,cognitif,2058,50,0.311,0.1482,0.12,0.52
genre,economique,2058,176,0.253,0.0918,0.142,0.3807
genre,prix,2058,40,0.4305,0.169,0.225,0.65
genre,heuristiques_biais,2058,58,0.4909,0.1081,0.3529,0.6333
genre,attitudes,2058,10,0.6091,0.195,0.4,0.9
age,personnalite,2058,275,0.5859,0.0754,0.4909,0.6836
age,cognitif,2058,50,0.3113,0.1507,0.12,0.52
age,economique,2058,176,0.2517,0.0913,0.1477,0.3807
age,prix,2058,40,0.4303,0.1661,0.225,0.65
age,heuristiques_biais,2058,58,0.4912,0.1071,0.3529,0.6333
age,attitudes,2058,10,0.6236,0.1874,0.4,0.9
education,personnalite,2058,275,0.5917,0.0746,0.4982,0.6909
education,cognitif,2058,50,0.3104,0.1466,0.12,0.52
education,economique,2058,176,0.2537,0.0934,0.142,0.3864
education,prix,2058,40,0.4339,0.1616,0.225,0.65
education,heuristiques_biais,2058,58,0.4935,0.1075,0.3529,0.6333
education,attitudes,2058,10,0.6074,0.1915,0.4,0.9
ethnicite,personnalite,2058,275,0.5881,0.0773,0.4945,0.6873
ethnicite,cognitif,2058,50,0.3108,0.1499,0.12,0.52
ethnicite,economique,2058,176,0.2521,0.0933,0.142,0.3807
ethnicite,prix,2058,40,0.4277,0.1572,0.225,0.625
ethnicite,heuristiques_biais,2058,58,0.4965,0.11,0.3529,0.6333
ethnicite,attitudes,2058,10,0.6102,0.2034,0.4,0.9
ideologie,personnalite,2058,275,0.5876,0.0755,0.4945,0.6873
ideologie,cognitif,2058,50,0.3108,0.1471,0.12,0.52
ideologie,economique,2058,176,0.2535,0.0912,0.1477,0.3807
ideologie,prix,2058,40,0.4305,0.1626,0.225,0.65
ideologie,heuristiques_biais,2058,58,0.4893,0.106,0.3529,0.6333
ideologie,attitudes,2058,10,0.5558,0.2229,0.3,0.8
profil_croise,personnalite,2018,275,0.5921,0.0729,0.5018,0.6909
profil_croise,cognitif,2018,50,0.3115,0.1445,0.1217,0.5
profil_croise,economique,2018,176,0.2565,0.0922,0.1477,0.3864
profil_croise,prix,2018,40,0.447,0.1369,0.275,0.625
profil_croise,heuristiques_biais,2018,58,0.5121,0.1192,0.3667,0.6667
profil_croise,attitudes,2018,10,0.5587,0.2156,0.3,0.8
population,personnalite,2058,275,0.5894,0.0777,0.4927,0.6909
population,cognitif,2058,50,0.3115,0.1521,0.12,0.52
population,economique,2058,176,0.2523,0.0908,0.1477,0.3807
population,prix,2058,40,0.4305,0.169,0.225,0.65
population,heuristiques_biais,2058,58,0.4935,0.1078,0.3529,0.6333
population,attitudes,2058,10,0.61,0.1805,0.4,0.9
