item,domaine,n_paires,taux_changement,n_modalites,entropie_bits
QID158,heuristiques_biais,1055,0.6398,6,2.3417
QID160_3,heuristiques_biais,1029,0.6346,6,2.3188
QID160_1,heuristiques_biais,1029,0.6317,6,2.2652
QID159_1,heuristiques_biais,1029,0.6268,6,2.2457
QID159_2,heuristiques_biais,1029,0.6161,6,2.2762
QID288_3,heuristiques_biais,2058,0.604,7,2.6959
QID160_2,heuristiques_biais,1029,0.6035,6,2.2924
QID157,heuristiques_biais,1003,0.6002,6,2.3578
QID288_4,heuristiques_biais,2058,0.5889,7,2.6356
QID289_1,heuristiques_biais,2058,0.5826,7,2.3366
QID173,heuristiques_biais,651,0.5822,5,2.2716
QID190,heuristiques_biais,673,0.5736,10,3.0164
QID172,heuristiques_biais,672,0.5595,5,2.2834
QID289_3,heuristiques_biais,2058,0.553,7,2.1247
QID159_3,heuristiques_biais,1029,0.5481,6,2.0162
QID194,heuristiques_biais,1015,0.5468,6,2.3601
QID195,heuristiques_biais,1043,0.5417,6,2.25
QID177,heuristiques_biais,735,0.5361,6,2.3859
QID189,heuristiques_biais,712,0.5253,10,2.6626
QID289_4,heuristiques_biais,2058,0.5209,7,2.1127
QID162,heuristiques_biais,1006,0.5169,7,2.2343
QID289_2,heuristiques_biais,2058,0.5112,7,2.1278
QID179,heuristiques_biais,651,0.5084,6,2.2127
QID288_2,heuristiques_biais,2058,0.5034,7,2.3366
QID171,heuristiques_biais,735,0.4966,5,1.9773
QID178,heuristiques_biais,672,0.494,6,2.2167
QID287_12,attitudes,2058,0.4883,5,2.1847
QID161,heuristiques_biais,1052,0.481,7,1.9189
QID291,heuristiques_biais,2058,0.4684,4,1.9362
QID287_2,attitudes,2058,0.4504,5,2.139
QID287_5,attitudes,2058,0.4344,5,1.8812
QID174,heuristiques_biais,735,0.4286,5,1.8833
QID191,heuristiques_biais,673,0.4279,10,2.0093
QID288_1,heuristiques_biais,2058,0.4271,7,1.8611
QID175,heuristiques_biais,672,0.3929,5,1.6326
QID287_3,attitudes,2058,0.3892,5,2.1221
QID287_11,attitudes,2058,0.3868,5,2.3002
QID287_1,attitudes,2058,0.3567,5,2.1805
QID176,heuristiques_biais,651,0.3548,5,1.6075
QID287_6,attitudes,2058,0.3469,5,2.1049
QID198_8,heuristiques_biais,1032,0.3401,2,0.8955
QID287_7,attitudes,2058,0.3314,5,1.7532
QID198_9,heuristiques_biais,1032,0.3295,2,0.8746
QID287_4,attitudes,2058,0.3285,5,1.9105
QID287_10,attitudes,2058,0.326,5,1.8767
QID203_6,heuristiques_biais,1026,0.3255,2,0.9767
QID203_5,heuristiques_biais,1026,0.3216,2,0.9424
QID198_10,heuristiques_biais,1032,0.3033,2,0.8921
QID198_7,heuristiques_biais,1032,0.3033,2,0.8219
QID193,heuristiques_biais,1007,0.291,2,0.985
QID198_6,heuristiques_biais,1032,0.2907,2,0.8174
QID203_3,heuristiques_biais,1026,0.2827,2,0.9103
QID196,heuristiques_biais,2058,0.2784,2,0.9431
QID198_4,heuristiques_biais,1032,0.2733,2,0.7824
QID198_3,heuristiques_biais,1032,0.2616,2,0.8128
