jeu,item,k,baseline,1-MAE,1-TV,spearman,KS
GSS,abany,2,B0 uniforme,0.9365853658536586,0.9365853658536586,,
GSS,abany,2,B1 autre cohorte,0.9871434477056634,0.9871434477056634,0.9999999999999999,
GSS,abany,2,B2 sous-echantillon (sexe),0.9865137614795326,0.9865137614795326,0.9999999999999999,
GSS,abdefect,2,B0 uniforme,0.7481632653061224,0.7481632653061224,,
GSS,abdefect,2,B1 autre cohorte,0.996003013931417,0.996003013931417,0.9999999999999999,
GSS,abdefect,2,B2 sous-echantillon (sexe),0.9953027410042128,0.9953027410042128,0.9999999999999999,
GSS,abhlth,2,B0 uniforme,0.6290849673202614,0.6290849673202614,,
GSS,abhlth,2,B1 autre cohorte,0.9790862389054195,0.9790862389054195,0.9999999999999999,
GSS,abhlth,2,B2 sous-echantillon (sexe),0.9797372541660188,0.9797372541660188,0.9999999999999999,
GSS,abnomore,2,B0 uniforme,0.9799672935404743,0.9799672935404743,,
GSS,abnomore,2,B1 autre cohorte,0.9671369535637728,0.9671369535637728,0.9999999999999999,
GSS,abnomore,2,B2 sous-echantillon (sexe),0.96602457452182,0.96602457452182,0.9999999999999999,
GSS,abpoor,2,B0 uniforme,0.954914703493095,0.954914703493095,,
GSS,abpoor,2,B1 autre cohorte,0.9737668693673521,0.9737668693673521,0.9999999999999999,
GSS,abpoor,2,B2 sous-echantillon (sexe),0.972836600642823,0.972836600642823,0.9999999999999999,
GSS,abrape,2,B0 uniforme,0.7008097165991903,0.7008097165991903,,
GSS,abrape,2,B1 autre cohorte,0.9679972165991904,0.9679972165991904,0.9999999999999999,
GSS,abrape,2,B2 sous-echantillon (sexe),0.96684367093023,0.96684367093023,0.9999999999999999,
GSS,absingle,2,B0 uniforme,0.9267100977198697,0.9267100977198697,,
GSS,absingle,2,B1 autre cohorte,0.9852806786060335,0.9852806786060335,0.9999999999999999,
GSS,absingle,2,B2 sous-echantillon (sexe),0.9843374075921832,0.9843374075921832,0.9999999999999999,
GSS,acqntsex,2,B0 uniforme,0.8948220064724919,0.8948220064724919,,
GSS,acqntsex,2,B1 autre cohorte,0.9865882499377645,0.9865882499377645,0.9999999999999999,
GSS,acqntsex,2,B2 sous-echantillon (sexe),0.9830044331189548,0.9830044331189548,0.9999999999999999,
GSS,adults,7,B0 uniforme,0.8362940858384571,0.42702930043459975,,
GSS,adults,7,B1 autre cohorte,0.9890624792773711,0.9617186774707988,1.0,
GSS,adults,7,B2 sous-echantillon (sexe),0.9895098811589247,0.9632845840562365,1.0,
GSS,advfront,4,B0 uniforme,0.8151840490797546,0.6303680981595092,,
GSS,advfront,4,B1 autre cohorte,0.9915237173115811,0.9830474346231621,1.0,
GSS,advfront,4,B2 sous-echantillon (sexe),0.9903845877797663,0.9807691755595326,1.0,
GSS,affrmact,4,B0 uniforme,0.8514814814814815,0.702962962962963,,
GSS,affrmact,4,B1 autre cohorte,0.9855821159805224,0.9711642319610447,1.0,
GSS,affrmact,4,B2 sous-echantillon (sexe),0.9863845817720508,0.9727691635441017,1.0,
GSS,aged,3,B0 uniforme,0.872014347436211,0.8080215211543165,,
GSS,aged,3,B1 autre cohorte,0.9673796767314702,0.9510695150972053,1.0,
