jeu,item,k,baseline,1-MAE,1-TV,spearman,KS
Twin-2K-500,False Cons. self _1,5,B0 uniforme,0.9088824101069,0.7722060252672498,,0.7722060252672497
Twin-2K-500,False Cons. self _1,5,B1 persistance,0.9809523809523809,0.9523809523809524,0.8999999999999998,0.9800777453838678
Twin-2K-500,False Cons. self _2,5,B0 uniforme,0.9031681243926142,0.7579203109815354,,0.7579203109815354
Twin-2K-500,False Cons. self _2,5,B1 persistance,0.986977648202138,0.967444120505345,0.9999999999999999,0.967444120505345
Twin-2K-500,False Cons. self _3,5,B0 uniforme,0.8941107871720116,0.7352769679300292,,0.7352769679300291
Twin-2K-500,False Cons. self _3,5,B1 persistance,0.991642371234208,0.9791059280855199,0.9999999999999999,0.9849368318756074
Twin-2K-500,False Cons. self _4,5,B0 uniforme,0.8661224489795918,0.6653061224489796,,0.6653061224489796
Twin-2K-500,False Cons. self _4,5,B1 persistance,0.9898931000971818,0.9747327502429544,0.9999999999999999,0.9786200194363459
Twin-2K-500,False Cons. self _5,5,B0 uniforme,0.8562099125364431,0.6405247813411079,,0.6405247813411078
Twin-2K-500,False Cons. self _5,5,B1 persistance,0.9918367346938776,0.9795918367346939,0.9999999999999999,0.9795918367346939
Twin-2K-500,False Cons. self _6,5,B0 uniforme,0.8950826044703596,0.7377065111758989,,0.7377065111758989
Twin-2K-500,False Cons. self _6,5,B1 persistance,0.9920310981535472,0.9800777453838678,0.9999999999999999,0.9873663751214772
Twin-2K-500,False Cons. self _7,5,B0 uniforme,0.8451311953352769,0.6128279883381924,,0.6128279883381923
Twin-2K-500,False Cons. self _7,5,B1 persistance,0.9910592808551992,0.9776482021379981,0.9999999999999999,0.9849368318756074
Twin-2K-500,False Cons. self _8,5,B0 uniforme,0.8624295432458697,0.6560738581146744,,0.6560738581146743
Twin-2K-500,False Cons. self _8,5,B1 persistance,0.993002915451895,0.9825072886297376,0.9999999999999999,0.9825072886297376
Twin-2K-500,False Cons. self _9,5,B0 uniforme,0.975354713313897,0.9383867832847425,,0.9425655976676385
Twin-2K-500,False Cons. self _9,5,B1 persistance,0.9865889212827988,0.9664723032069971,0.7,0.9795918367346939
Twin-2K-500,False Cons. self _10,5,B0 uniforme,0.9196890184645287,0.7992225461613216,,0.7992225461613216
