variable,fenetre,mois,n,n_menages,moyenne,mediane,variance_totale,variance_intra,variance_inter,part_inter,iqr_total,iqr_intra_median,iqr_medianes,mad_total,regle,mois_choc
infl1,avant,2025-03 2025-04 2025-05,3220,1403,5.137161969753772,3.8090169429779053,40.604110728286535,39.63967835518171,0.9644323731048245,0.023752087062282594,5.4755518436431885,6.108868360519409,1.292768806219101,2.6770637035369873,"primaire, saut de moyenne",2025-06
infl1,apres,2025-06 2025-07 2025-08,3158,1374,4.64076160457709,3.2824279069900513,35.43209418561906,34.819891695458416,0.6122024901606374,0.01727819098000462,4.699662804603577,5.316429123282433,0.684798389673233,2.3838804960250854,"primaire, saut de moyenne",2025-06
infl3,avant,2025-03 2025-04 2025-05,3221,1403,4.42405712154735,3.1878089904785156,41.90836589997056,41.10251791514575,0.8058479848248177,0.019228809511405542,5.611577749252319,5.972297698259354,0.617316335439682,2.8643150329589844,"primaire, saut de moyenne",2025-06
infl3,apres,2025-06 2025-07 2025-08,3160,1374,3.9545997803695165,3.0,35.70585794668138,35.54404321793857,0.1618147287428014,0.0045318818269101694,5.382052183151245,5.519837379455566,1.1447651386260986,2.7253079414367676,"primaire, saut de moyenne",2025-06
revenu,avant,2025-03 2025-04 2025-05,3261,1403,4.306317080751322,3.0,191.73538991313188,187.56568836642407,4.169701546707817,0.02174716701281361,4.0,5.125,1.4375,2.0,"primaire, saut de moyenne",2025-06
revenu,apres,2025-06 2025-07 2025-08,3193,1374,4.733401190245689,3.0,176.20139587433098,170.65619023707995,5.545205637251034,0.03147083829691079,4.0,4.125,1.125,2.0,"primaire, saut de moyenne",2025-06
depense,avant,2025-03 2025-04 2025-05,3263,1403,6.414863622447957,5.0,193.2872453500323,191.75667056169948,1.5305747883328262,0.007918653843718667,8.0,10.0,0.0,5.0,"primaire, saut de moyenne",2025-06
depense,apres,2025-06 2025-07 2025-08,3199,1374,6.123944982956186,5.0,173.06954523386963,172.48539385992186,0.5841513739477726,0.00337524070545402,8.0,8.125,0.0,5.0,"primaire, saut de moyenne",2025-06
logement,avant,2025-03 2025-04 2025-05,3262,1403,6.087412630320326,5.0,135.54905390363564,129.53120693520336,6.017846968432274,0.044396082415377645,8.0,8.125,1.125,5.0,"primaire, saut de moyenne",2025-06
logement,apres,2025-06 2025-07 2025-08,3199,1374,5.824013754320204,5.0,121.81635895145088,116.65961117740108,5.156747774049806,0.04233214502910068,9.0,9.0,1.25,5.0,"primaire, saut de moyenne",2025-06
perte_emploi,avant,2025-03 2025-04 2025-05,1990,1403,15.725125628140704,9.0,429.57009218191774,421.85659525679745,7.713496925120294,0.017956317410136927,18.0,20.0,5.0,8.0,"primaire, saut de moyenne",2025-06
perte_emploi,apres,2025-06 2025-07 2025-08,1944,1374,14.29783950617284,8.0,379.03916389643297,373.21625597708936,5.822907919343613,0.015362285679098425,19.0,16.5,5.0,7.0,"primaire, saut de moyenne",2025-06
chomage,avant,2025-03 2025-04 2025-05,3269,1403,46.48455185071887,50.0,859.148633952958,801.0079427239808,58.14069122897717,0.06767244796918413,50.0,43.5,20.875,25.0,"primaire, saut de moyenne",2025-06
chomage,apres,2025-06 2025-07 2025-08,3205,1374,42.54914196567863,41.0,784.9034660072032,720.6164411117039,64.28702489549924,0.08190437127577835,46.0,40.0,25.25,23.0,"primaire, saut de moyenne",2025-06
infl1_var,avant,2025-03 2025-04 2025-05,3220,1403,20.877746746758497,5.459764242172241,953.786509219235,804.220101953656,149.566407265579,0.15681329712664244,24.11491584777832,28.178647622466087,10.250312268733978,4.815508604049683,"primaire, saut de moyenne",2025-06
infl1_var,apres,2025-06 2025-07 2025-08,3158,1374,18.757176570731147,4.356351852416992,891.5015775690902,737.3185947879892,154.18298278110086,0.1729475153611289,18.770354866981506,20.541936371475458,6.537923872470856,3.86184024810791,"primaire, saut de moyenne",2025-06
infl1_point,avant,2025-03 2025-04 2025-05,3259,1403,7.232669530946781,5.0,184.64486990775572,176.1075161600041,8.537353747751618,0.04623661492472919,8.0,10.0,1.5,3.0,"primaire, saut de moyenne",2025-06
infl1_point,apres,2025-06 2025-07 2025-08,3197,1374,6.6632561776501555,4.0,159.96037744195556,149.47779503504412,10.482582406911439,0.06553236854367406,6.0,8.224999964237213,1.3125,2.0,"primaire, saut de moyenne",2025-06
infl1,avant,2025-01 2025-02 2025-03,3018,1307,4.699623997943014,3.3513306379318237,39.207713413832316,38.042539139312034,1.1651742745202833,0.029717985902978333,5.128830552101135,5.01130610704422,0.8097299933433533,2.6486693620681763,"secondaire, saut d'IQR",2025-04
infl1,apres,2025-04 2025-05 2025-06,3230,1415,4.989304851253173,3.5469179153442383,39.17819177261032,38.23535984343266,0.942831929177656,0.024065223189723494,5.214526295661926,5.984311978580335,1.000001072883606,2.5469179153442383,"secondaire, saut d'IQR",2025-04
infl3,avant,2025-01 2025-02 2025-03,3019,1307,4.059380340885658,3.0154592990875244,40.99191213208991,40.07077969015742,0.9211324419324829,0.022471077683916776,5.999999948138607,5.698974289000034,0.5634822845458984,2.9845407009124756,"secondaire, saut d'IQR",2025-04
infl3,apres,2025-04 2025-05 2025-06,3233,1415,4.262958798865889,3.0980453491210938,39.496395155029404,38.774959840173274,0.7214353148561334,0.018265852162567982,5.572492897510529,5.699638158082962,0.7837884724140167,2.9019546508789062,"secondaire, saut d'IQR",2025-04
revenu,avant,2025-01 2025-02 2025-03,3058,1307,5.034993459977346,3.0,189.84175816475604,183.8477484668825,5.994009697873526,0.03157371568731241,4.0,5.0,1.3499999642372131,2.0,"secondaire, saut d'IQR",2025-04
revenu,apres,2025-04 2025-05 2025-06,3276,1415,4.474755799837902,3.0,182.11529842265517,178.0209137474902,4.0943846751649655,0.022482376333165997,4.0,5.0,1.75,2.0,"secondaire, saut d'IQR",2025-04
