variable,part_inter_mediane,part_inter_min,part_inter_max,n_cohortes_median,cohorte
chomage,0.001680696466010335,-0.0015649451580353518,0.01630082239360291,3.0,age seul
depense,-0.0004510469982150813,-0.0016503882104320212,0.0070091967179885875,3.0,age seul
infl1,0.002914423427903182,-0.0019190104691811447,0.016347123893242447,3.0,age seul
infl3,0.0005366838019133787,-0.0019079387328614196,0.011238492211237372,3.0,age seul
logement,0.0013891801662780565,-0.0017551198602780936,0.014840709870093569,3.0,age seul
perte_emploi,0.001390039601808922,-0.003010747231379636,0.025253744499617328,3.0,age seul
revenu,0.016670305734579376,0.0030095355896211213,0.056018066420998006,3.0,age seul
chomage,0.014676390431600845,-0.005789882414649228,0.08354436326912025,11.0,edu x revenu
depense,0.003630053967580879,-0.005862152326241848,0.030417741717326387,11.0,edu x revenu
infl1,0.013278160739868029,-0.001032622982512954,0.030359710337737728,11.0,edu x revenu
infl3,0.008586888524475839,-0.004710195304639542,0.030658561972985426,11.0,edu x revenu
logement,0.038267091292593994,0.005847945302287789,0.10139738918265849,11.0,edu x revenu
perte_emploi,0.0092543034684806,-0.005948776667660485,0.035231617261766164,10.0,edu x revenu
revenu,0.0017761500928906192,-0.009017351462154776,0.012098705728250544,11.0,edu x revenu
chomage,0.0017024295535709622,-0.0022631826387266964,0.018566626979886137,4.0,region
depense,-0.0001380668662104319,-0.00244082884402368,0.009207664355101198,4.0,region
infl1,0.00044129060876055585,-0.002530714837787196,0.011248445314221535,4.0,region
infl3,8.779639513107165e-05,-0.0023730039419573522,0.00762185455873794,4.0,region
logement,0.0020391318815028646,-0.0025918501695341373,0.029616735233863455,4.0,region
perte_emploi,0.0025761302659469175,-0.003632167234397135,0.014924838053922512,4.0,region
revenu,-0.00015356154399868432,-0.002509991232764422,0.007838063342040322,4.0,region
chomage,0.016001526122749916,-0.0044016472766946904,0.08741476683085998,26.0,age x edu x rev (primaire)
depense,0.005571866901534997,-0.019157922250768393,0.030895393803930284,26.0,age x edu x rev (primaire)
infl1,0.01928865192139853,-0.0016636848041468035,0.048011700715078445,26.0,age x edu x rev (primaire)
infl3,0.010579816975675596,-0.011677109772464988,0.03735167785469825,26.0,age x edu x rev (primaire)
logement,0.03692831672864948,0.005345987393894108,0.11254714718852077,26.0,age x edu x rev (primaire)
perte_emploi,0.010292715849889042,-0.016743530449674603,0.05056755649691165,24.0,age x edu x rev (primaire)
revenu,0.019644523795785712,-0.0024334010918987234,0.052467294572853464,26.0,age x edu x rev (primaire)
