t,mois,variables,n,n_items,gini_inter,gini_intra,part_inter
84,2020-01,fin_avant et fin_apres,1317,2,0.008365779995459288,1.311087487501534,0.006340338230643968
85,2020-02,fin_avant et fin_apres,1330,2,0.023162666552674516,1.30154526580644,0.017485111991007055
86,2020-03,fin_avant et fin_apres,1300,2,0.003521009517222895,1.4248087429578304,0.002465123695086224
87,2020-04,fin_avant et fin_apres,1300,2,0.005989522983451678,1.3981470713625606,0.004265627010626659
88,2020-05,fin_avant et fin_apres,1266,2,0.004988490850201588,1.3507252507279537,0.0036796048437147213
89,2020-06,fin_avant et fin_apres,1200,2,0.017880435229372882,1.29419793837356,0.013627566454184954
90,2020-07,fin_avant et fin_apres,1205,2,0.025190259499569434,1.2648018145788005,0.019527452924520114
91,2020-08,fin_avant et fin_apres,1193,2,0.01409923103531896,1.2975248624172533,0.01074944498633425
92,2020-09,fin_avant et fin_apres,1166,2,0.011828227714988149,1.2843311963090405,0.00912559635470341
93,2020-10,fin_avant et fin_apres,1197,2,0.016155253424234406,1.2815001755001463,0.012449571021812319
94,2020-11,fin_avant et fin_apres,1233,2,0.019473525333805863,1.3032608530078469,0.014722173743015843
95,2020-12,fin_avant et fin_apres,1337,2,0.01985447376363103,1.3030050293382125,0.015008754684134045
96,2021-01,fin_avant et fin_apres,1259,2,0.02225116424930995,1.2747015296168454,0.017156496420066236
97,2021-02,fin_avant et fin_apres,1243,2,0.030826079069582457,1.2873706373572225,0.02338503706270924
98,2021-03,fin_avant et fin_apres,1221,2,0.025732324799121464,1.298711252978955,0.019428781437628873
99,2021-04,fin_avant et fin_apres,1243,2,0.027804612098423,1.2728615884893313,0.02137720814599353
100,2021-05,fin_avant et fin_apres,1234,2,0.009643591427124676,1.3282472917396402,0.007208055267032286
101,2021-06,fin_avant et fin_apres,1297,2,0.019688457433810314,1.3301064902472848,0.014586258059147768
102,2021-07,fin_avant et fin_apres,1239,2,0.016070567324446117,1.3300313010270433,0.011938596700803201
103,2021-08,fin_avant et fin_apres,1265,2,0.029532011752799292,1.3117670456194492,0.022017469997075618
104,2021-09,fin_avant et fin_apres,1261,2,0.028313833598428095,1.3180101766717676,0.02103047511775843
105,2021-10,fin_avant et fin_apres,1283,2,0.037567566579645995,1.3245647326943928,0.027579968993957475
106,2021-11,fin_avant et fin_apres,1281,2,0.030107661491374227,1.3486866046641837,0.021836224758406002
107,2021-12,fin_avant et fin_apres,1283,2,0.03183333732209048,1.3222996120956525,0.023508280583363947
108,2022-01,fin_avant et fin_apres,1235,2,0.03376665431724413,1.3105374421663287,0.02511831542102033
109,2022-02,fin_avant et fin_apres,1210,2,0.035814986708892604,1.3510854646746724,0.02582376166448266
110,2022-03,fin_avant et fin_apres,1273,2,0.030114054945599822,1.388004282289847,0.02123522004821242
