variable,regle_choc,mois_choc,n_menages,derive_agregee,part_dans_le_sens_observee,part_dans_le_sens_nul,exces_observe_sur_nul,ampleur_moyenne_observee,ampleur_moyenne_nul,ratio_ampleur
infl1,"primaire, saut de moyenne",2025-06,1037,-0.6032503206710125,0.562198649951784,0.5463837994214079,0.0158148505303761,2.372092695757594,5.500035578779279,0.4312867911090995
infl1,"secondaire, saut d'IQR",2025-04,1012,0.2009289053022112,0.4782608695652174,0.5089920948616601,-0.0307312252964426,2.388812751614954,5.601622570420949,0.4264501439688108
infl3,"primaire, saut de moyenne",2025-06,1038,-0.5065545552336106,0.5472061657032755,0.5311560693641618,0.0160500963391136,2.3485233859868737,5.496530737881308,0.4272737655774732
infl3,"secondaire, saut d'IQR",2025-04,1013,0.3084646208260366,0.489634748272458,0.5100296150049358,-0.0203948667324777,2.535760648420078,5.766975963916602,0.4397036964062416
revenu,"primaire, saut de moyenne",2025-06,1047,0.4139764407037063,0.4145176695319962,0.4902769818529131,-0.0757593123209168,5.231263928734471,10.957345431442665,0.4774207367528171
revenu,"secondaire, saut d'IQR",2025-04,1021,-0.7746376101881705,0.4691478942213516,0.4994906953966699,-0.0303428011753183,5.624252366896633,11.169830427722513,0.5035217323387243
depense,"primaire, saut de moyenne",2025-06,1048,-1.147519083864247,0.5248091603053435,0.5270610687022901,-0.0022519083969465,6.364376590163008,11.491942747977893,0.5538120690065983
depense,"secondaire, saut d'IQR",2025-04,1023,-1.036189312471271,0.469208211143695,0.5125317693059628,-0.0433235581622677,6.49848973604648,11.38791515154646,0.5706478885350666
logement,"primaire, saut de moyenne",2025-06,1048,-0.6910687023465716,0.5038167938931297,0.5156488549618321,-0.0118320610687023,4.935521628404316,9.796345674261335,0.5038125228034548
logement,"secondaire, saut d'IQR",2025-04,1023,-0.6861550993428382,0.4956011730205278,0.5112609970674487,-0.0156598240469207,5.051251221864532,9.98624659498416,0.5058207980165088
perte_emploi,"primaire, saut de moyenne",2025-06,640,-0.8828124999999964,0.4875,0.4985624999999999,-0.0110624999999999,8.75625,17.138875,0.5108999277957276
perte_emploi,"secondaire, saut d'IQR",2025-04,621,-0.0542136339237746,0.4202898550724637,0.4802898550724637,-0.0599999999999999,7.166935050993021,16.905700483091785,0.4239360006502553
chomage,"primaire, saut de moyenne",2025-06,1049,-6.005878614553538,0.6186844613918017,0.5676072449952335,0.0510772163965681,12.75166825548141,28.551178900540194,0.4466249292158001
chomage,"secondaire, saut d'IQR",2025-04,1024,-0.3652343749999929,0.4970703125,0.4997265625,-0.00265625,12.015625,28.40936848958334,0.4229458674664199
infl1_var,"primaire, saut de moyenne",2025-06,1037,-3.812136787807436,0.6162005785920925,0.5827772420443587,0.0334233365477338,9.779192173545171,22.66438772648813,0.4314783303021294
infl1_var,"secondaire, saut d'IQR",2025-04,1012,-3.763407101857134,0.5424901185770751,0.5439328063241107,-0.0014426877470355,9.966732112251528,23.448947607829123,0.4250396341422094
infl1_point,"primaire, saut de moyenne",2025-06,1045,-1.2830956942929133,0.5368421052631579,0.5291291866028708,0.0077129186602871,4.5444258365441454,10.46181007946108,0.434382368063237
infl1_point,"secondaire, saut d'IQR",2025-04,1023,0.8210915611530645,0.5083088954056696,0.5099511241446725,-0.0016422287390028,5.029576409490989,10.8933369824711,0.4617112660320964
