variable,libelle,predicteur,description,n_couples,n_menages,rho,rho_ic_bas,rho_ic_haut,rho_permute,chute,chute_ic_bas,chute_ic_haut,p_permutation_empirique,p_permutation_normal,p_holm,p_bh,retenu_holm
infl1,"inflation a un an, moyenne de la densite",P,"persistance seule, x(i, t)",66292,9003,0.6546619402634338,0.6451603331540703,0.664113627114321,0.0397175570136427,0.6149443832497911,0.5846482276000965,0.6082246742725842,0.0049751243781094,0.0,0.0,0.0,True
infl1,"inflation a un an, moyenne de la densite",D,"demographies seules, ridge",66292,9003,0.077352654184111,0.0587720042778878,0.0961875790898592,0.074237193162184,0.003115461021927,-0.0036872853099932,0.0091537150121136,0.0248756218905472,0.0205933761651746,0.0205933761651746,0.0205933761651746,True
infl1,"inflation a un an, moyenne de la densite",H,"historique du menage, ridge",66292,9003,0.6813812086762268,0.6721504749837562,0.6901087447092192,0.042493434991473,0.6388877736847538,0.6067972296113067,0.6319974079388893,0.0049751243781094,0.0,0.0,0.0,True
infl1,"inflation a un an, moyenne de la densite",HD,"historique et demographies, ridge",66292,9003,0.6798165454415723,0.6707398852683797,0.6888000999821606,0.0466874786449457,0.6331290667966266,0.6009576510181103,0.6257116613807521,0.0049751243781094,0.0,0.0,0.0,True
infl1,"inflation a un an, moyenne de la densite",F,foret sur historique et demographies,66292,9003,0.6834005305370827,0.6743941504051613,0.6917647964700318,0.045333441570099,0.6380670889669836,0.6059994197699518,0.6301552628637016,0.0049751243781094,0.0,0.0,0.0,True
infl1,"inflation a un an, moyenne de la densite",T1,"temoin de cohorte, moyenne de la cohorte au mois cible hors pli",66292,9003,0.0647057780986257,0.049778872735606,0.0809214952539373,0.154944950441283,-0.0902391723426572,-0.0938403767130193,-0.0813670479749382,0.0049751243781094,0.0,,,False
infl1,"inflation a un an, moyenne de la densite",T0b,"temoin de cohorte a plein echantillon, constant dans (mois, cohorte)",66292,9003,0.1835330372950476,0.167409335444667,0.199644672979968,0.1835330372950476,0.0,0.0,0.0,1.0,1.0,,,False
infl3,"inflation a trois ans, moyenne de la densite",P,"persistance seule, x(i, t)",66301,9010,0.6109224529770689,0.5986539679528491,0.6200589826481847,0.029296448646438,0.5816260043306309,0.5503201524229205,0.5749136567756412,0.0049751243781094,0.0,0.0,0.0,True
infl3,"inflation a trois ans, moyenne de la densite",D,"demographies seules, ridge",66301,9010,0.0295327786233207,0.0102711489350897,0.0481623076994551,0.0351422370285811,-0.0056094584052604,-0.012265248792676,0.0018056953431938,0.0049751243781094,0.0001632487661313,0.0003264975322626,0.00016695896536155682,True
infl3,"inflation a trois ans, moyenne de la densite",H,"historique du menage, ridge",66301,9010,0.6456324743491371,0.6343230978310305,0.6541520108320893,0.0321415977157362,0.6134908766334009,0.5828338327519497,0.6071571499274364,0.0049751243781094,0.0,0.0,0.0,True
infl3,"inflation a trois ans, moyenne de la densite",HD,"historique et demographies, ridge",66301,9010,0.6437451405344153,0.6326124234897524,0.6525112700352168,0.033957495080506,0.6097876454539093,0.5789489615521342,0.6031176184354358,0.0049751243781094,0.0,0.0,0.0,True
infl3,"inflation a trois ans, moyenne de la densite",F,foret sur historique et demographies,66301,9010,0.6493060141998388,0.6380308289140272,0.6582082771503253,0.0333308680932717,0.615975146106567,0.584934579388649,0.6091195444753013,0.0049751243781094,0.0,0.0,0.0,True
infl3,"inflation a trois ans, moyenne de la densite",T1,"temoin de cohorte, moyenne de la cohorte au mois cible hors pli",66301,9010,0.0258309587158025,0.0112305668470506,0.0396646033744398,0.1275209249686578,-0.1016899662528552,-0.1042702224409472,-0.0909155489318651,0.0049751243781094,0.0,,,False
