variable,libelle,delai_mois,n_couples,n_menages,rho,ic_bas,ic_haut
infl1,"inflation a un an, moyenne de la densite",1,66292,9003,0.6585113012958966,0.6490611959481015,0.6662884241878777
infl1,"inflation a un an, moyenne de la densite",2,58577,8380,0.6119904276864706,0.602042457058242,0.6203701509259045
infl1,"inflation a un an, moyenne de la densite",3,51568,7892,0.5745721371858048,0.5636871737597698,0.5849132568026081
infl1,"inflation a un an, moyenne de la densite",4,44597,7356,0.5402650344705443,0.5280665759901166,0.5538088616772382
infl1,"inflation a un an, moyenne de la densite",5,38061,6912,0.5154730512053479,0.503195596637695,0.5285045274164643
infl1,"inflation a un an, moyenne de la densite",6,31904,6505,0.48825831593063945,0.4734374122791109,0.5041050896825525
infl1,"inflation a un an, moyenne de la densite",7,26072,6139,0.45208541425480053,0.4353075040731994,0.4688530875070994
infl1,"inflation a un an, moyenne de la densite",8,20561,5830,0.4144615495551413,0.3946605853733993,0.4294678998863152
infl1,"inflation a un an, moyenne de la densite",9,15337,5556,0.3699532988335456,0.351140741145912,0.3897128083919323
infl1,"inflation a un an, moyenne de la densite",10,10390,5275,0.3338756102779119,0.31052143408988425,0.35648182953631663
infl1,"inflation a un an, moyenne de la densite",11,5719,4827,0.27956678602028684,0.24824640470703407,0.3083937594076732
infl3,"inflation a trois ans, moyenne de la densite",1,66301,9010,0.6148279031346917,0.6067353781702144,0.6248761028623727
infl3,"inflation a trois ans, moyenne de la densite",2,58553,8376,0.5790235543651514,0.5673730439716393,0.5910659119418697
infl3,"inflation a trois ans, moyenne de la densite",3,51565,7890,0.5474964781793962,0.5363185370151029,0.5593698670667421
infl3,"inflation a trois ans, moyenne de la densite",4,44592,7351,0.5183622737073098,0.5053374906829735,0.5331407095549122
infl3,"inflation a trois ans, moyenne de la densite",5,38071,6908,0.4952896458760337,0.48158565923985047,0.5095842177953263
infl3,"inflation a trois ans, moyenne de la densite",6,31913,6509,0.4690481164434466,0.45571523213575726,0.48282578298326645
infl3,"inflation a trois ans, moyenne de la densite",7,26074,6136,0.4341558964667123,0.41640705450576465,0.4521675358912832
infl3,"inflation a trois ans, moyenne de la densite",8,20559,5826,0.39969255176361934,0.38079220582008255,0.41515976644360086
infl3,"inflation a trois ans, moyenne de la densite",9,15334,5557,0.36043499296584913,0.34064188305279836,0.382321806712279
infl3,"inflation a trois ans, moyenne de la densite",10,10398,5278,0.32633415198907106,0.30169440090255534,0.34603008275589775
infl3,"inflation a trois ans, moyenne de la densite",11,5725,4831,0.2902485072834872,0.2596516634509254,0.31824379492868476
revenu,croissance attendue du revenu du menage,1,67667,9096,0.6079534853840793,0.5992148767071542,0.6195728601977419
revenu,croissance attendue du revenu du menage,2,59783,8432,0.553674265810372,0.5420237580139748,0.5628491283518536
revenu,croissance attendue du revenu du menage,3,52644,7951,0.5233348647300117,0.5113633811403597,0.535409252508038
revenu,croissance attendue du revenu du menage,4,45543,7402,0.4922707191900743,0.4800779470550013,0.5070735998058408
revenu,croissance attendue du revenu du menage,5,38904,6955,0.47072230183284985,0.4555948302760727,0.48348884469849335
revenu,croissance attendue du revenu du menage,6,32638,6554,0.43894586333775215,0.4218483559986873,0.45324054264595126
revenu,croissance attendue du revenu du menage,7,26709,6185,0.42884289753519234,0.4122860328293502,0.44086616979530385
revenu,croissance attendue du revenu du menage,8,21089,5876,0.40969081517672273,0.391255833549177,0.4255818997947775
revenu,croissance attendue du revenu du menage,9,15748,5611,0.3851664815886583,0.3683198283994283,0.40102481753530034
revenu,croissance attendue du revenu du menage,10,10690,5347,0.3751417731141918,0.3517034078709203,0.3966140854840884
revenu,croissance attendue du revenu du menage,11,5903,4974,0.37633275582169246,0.3510413672560256,0.40201737760353246
depense,croissance attendue de la depense du menage,1,67718,9100,0.5143100610941975,0.5024720600462408,0.5240093884776121
depense,croissance attendue de la depense du menage,2,59833,8433,0.47571032575614375,0.46363856686976684,0.4879122234299276
depense,croissance attendue de la depense du menage,3,52688,7952,0.44469401069986797,0.4338104816915839,0.45453369267727656
depense,croissance attendue de la depense du menage,4,45586,7405,0.41912891902193866,0.40717061561546153,0.4328458918412723
depense,croissance attendue de la depense du menage,5,38942,6956,0.4016591715410617,0.3871064588099322,0.4158826657897478
depense,croissance attendue de la depense du menage,6,32664,6553,0.382439855060542,0.3687538355430498,0.3978286096049319
depense,croissance attendue de la depense du menage,7,26725,6185,0.3573617012634384,0.34283487756037073,0.3747875623901621
depense,croissance attendue de la depense du menage,8,21103,5874,0.33892571690253165,0.3214099891098453,0.3562167995513088
depense,croissance attendue de la depense du menage,9,15760,5612,0.31550467967077067,0.29940804560994855,0.3332605529933203
depense,croissance attendue de la depense du menage,10,10700,5351,0.2757174380015889,0.25341865048927953,0.2995630700377709
depense,croissance attendue de la depense du menage,11,5913,4983,0.26432129510013413,0.23609161579333363,0.2888362056762382
logement,variation attendue du prix du logement,1,67698,9101,0.594349895830965,0.5836798970917652,0.6033496116876536
logement,variation attendue du prix du logement,2,59808,8433,0.5433054007461499,0.5318132211493306,0.5531487779806046
logement,variation attendue du prix du logement,3,52668,7947,0.49771341753749077,0.4879375813780305,0.5082644081561529
