etape,candidat,bassin,n_items,candidat_top1,candidat_ic,baseline_top1,baseline_ic,hasard,passe,n_pool,top1,top1_bas,top1_haut,top10,rang_median,bits,bits_bas,bits_haut,bits_normalises,accord_moyen_par_item,controle_passe,cramer_v_moyen,items_effectifs,entropie_humaine_bits
controle,GPT-3 davinci (temp. principale),2148.0,12,0.0014432029795158285,"(0.0005121042830540037, 0.002676908752327747)",0.001000931098696462,"(0.00016294227188081936, 0.0022584962756052106)",0.0004655493482309125,False,,,,,,,,,,,,,,,
controle,GPT-3 davinci (temp. 0.01),2148.0,12,0.0010940409683426443,"(0.00037185754189944135, 0.002048417132216015)",0.001000931098696462,"(0.00016294227188081936, 0.0022584962756052106)",0.0004655493482309125,False,,,,,,,,,,,,,,,
controle,GPT-3 davinci (temp. 1.0),2148.0,12,0.000931098696461825,"(0.00016294227188081936, 0.0021648044692737433)",0.001000931098696462,"(0.00016294227188081936, 0.0022584962756052106)",0.0004655493482309125,False,,,,,,,,,,,,,,,
descriptif,GPT-3 davinci (temp. principale),,12,,,,,0.0004655493482309125,,2148.0,0.0015595903165735567,0.0005353817504655493,0.002956238361266294,0.01026536312849162,839.675,0.0466528343977739,0.03279801571931858,0.06566030215387358,0.0021903794579078814,0.4723317670758116,,,,
descriptif,GPT-3 davinci (temp. 0.01),,12,,,,,0.0004655493482309125,,2148.0,0.0008379888268156426,0.00027932960893854746,0.0016294227188081937,0.011522346368715084,739.825,0.09428889675163177,0.07369730279811662,0.11781306258519661,0.0044269220770737595,0.5154795158286779,,,,
descriptif,GPT-3 davinci (temp. 1.0),,12,,,,,0.0004655493482309125,,2148.0,0.0010707635009310987,0.00016294227188081938,0.002304469273743017,0.008798882681564247,886.9749999999999,0.030332541960785164,0.020373888474335678,0.045052771512675824,0.0014241316240413235,0.4465846588116423,,,,
descriptif,"B-demo (demographies seules, ce bassin)",,12,,,,,0.0004655493482309125,,2148.0,0.0009078212290502795,0.000186219739292365,0.002094972067039106,0.00765828677839851,986.875,0.014330673219278722,0.007038246508399393,0.02606310812114554,0.0006728339798148795,0.5146260086902544,,,,
descriptif,"B-oracle (11 vraies reponses, ce bassin)",,12,,,,,0.0004655493482309125,,2148.0,0.0013500931098696463,0.0006284916201117318,0.0022352188081936654,0.033426443202979515,523.55,0.3420518631750795,0.30132188527603254,0.3886703072899651,0.01605954674157079,0.58965704531347,,,,
"sensibilite:11 items, sans age",GPT-3 davinci (temp. principale),,11,,,0.00037243947858473,,0.0004655493482309125,,2148.0,0.0011871508379888269,0.00025605214152700186,0.0025605214152700185,0.009986033519553074,832.0250000000001,,,,,,False,,,
"sensibilite:11 items, sans age",GPT-3 davinci (temp. 0.01),,11,,,0.00037243947858473,,0.0004655493482309125,,2148.0,0.0013268156424581007,0.0005353817504655493,0.002328328677839848,0.012034450651769089,737.875,,,,,,False,,,
"sensibilite:11 items, sans age",GPT-3 davinci (temp. 1.0),,11,,,0.00037243947858473,,0.0004655493482309125,,2148.0,0.0008379888268156426,9.31098696461825e-05,0.0020722765363128458,0.00819366852886406,870.725,,,,,,False,,,
"sensibilite:11 items, sans age",B-demo,,11,,,,,,,2148.0,0.00037243947858473,2.3277467411545626e-05,0.0008379888268156424,,,,,,,,,,,
"sensibilite:11 items, sans age",B-oracle,,11,,,,,,,2148.0,0.003794227188081937,0.002234054934823091,0.005609869646182495,,,,,,,,,,,
sensibilite:8 items d'attitude seuls,GPT-3 davinci (temp. principale),,8,,,,,0.0004655493482309125,,2148.0,0.0009078212290502795,0.00023277467411545624,0.0020251396648044693,0.008077281191806332,773.0,,,,,,False,,,
sensibilite:8 items d'attitude seuls,GPT-3 davinci (temp. 0.01),,8,,,,,0.0004655493482309125,,2148.0,0.0009543761638733705,0.0005121042830540037,0.0014664804469273745,0.01303538175046555,689.35,,,,,,False,,,
sensibilite:8 items d'attitude seuls,GPT-3 davinci (temp. 1.0),,8,,,,,0.0004655493482309125,,2148.0,0.0011405959031657357,0.0005121042830540037,0.001932029795158287,0.00921787709497207,849.125,,,,,,False,,,
sensibilite:8 items d'attitude seuls,B-oracle,,8,,,,,,,2148.0,0.00223463687150838,0.0015595903165735569,0.002956238361266294,,,,,,,,,,,
structure,items,,12,,,,,,,2148.0,,,,,,,,,,,,0.16202676850795533,4.312987068829872,21.298973668395284
