volet,part_items,taux_bruit,items,n_repetitions,n_bassin,items_connus_moyens,cand_top1,cand_top1_bas,cand_top1_haut,cand_top10,base_top1,base_top1_bas,base_top1_haut,hasard,ratio_cand_base,au_dessus_baseline,au_dessus_toutes_repetitions
reference,1.0,0.0,aleatoire,1,2058,60.0,0.2057337220602526,0.1891156462585034,0.2227453838678328,0.4290573372206025,0.0206997084548104,0.0150631681243926,0.0266302235179786,0.0004859086491739,9.938967136150277,True,True
D1_partiel,0.75,0.0,aleatoire,3,2058,45.0,0.12912212504049234,0.1169071914480077,0.1454810495626822,0.32656300615484285,0.013119533527696766,0.0067055393586005,0.0145772594752186,0.0004859086491739,9.841975308641992,True,True
D1_partiel,0.5,0.0,aleatoire,3,2058,30.0,0.0604146420472951,0.0501457725947521,0.0695845481049562,0.2090702947845805,0.0077421444768383,0.0052478134110787,0.0121477162293488,0.0004859086491739,7.8033472803347825,True,True
D1_partiel,0.25,0.0,aleatoire,3,2058,15.0,0.018140589569160967,0.0134086491739552,0.0233236151603498,0.09390994493035303,0.003563330093942267,0.0014577259475218,0.0057337220602526,0.0004859086491739,5.090909090909185,True,True
D1_partiel,0.1,0.0,aleatoire,3,2058,6.0,0.0034661483641074665,0.0023323615160349,0.0048615160349854,0.033462908973112965,0.0016196954972464669,0.0007774538386783,0.0029154518950437,0.0004859086491739,2.140000000000017,False,False
D1b_items_communs,0.75,0.0,aleatoire_commun,3,2058,45.0,0.12523485584710073,0.1172983479105928,0.1442176870748299,0.3327826368642695,0.012504049238743068,0.0096209912536443,0.0191448007774538,0.0004859086491739,10.015544041450815,True,True
D1b_items_communs,0.5,0.0,aleatoire_commun,3,2058,30.0,0.05257531584062194,0.0366375121477162,0.0530612244897959,0.19261418853255585,0.006997084548104933,0.0027210884353741,0.0085519922254616,0.0004859086491739,7.513888888888911,True,True
D1b_items_communs,0.25,0.0,aleatoire_commun,3,2058,15.0,0.019760285066407434,0.0177842565597667,0.0293513119533527,0.09737609329446056,0.003952057013281467,0.001846452866861,0.006511175898931,0.0004859086491739,5.000000000000025,True,True
D1b_items_communs,0.1,0.0,aleatoire_commun,3,2058,6.0,0.004599935212180033,0.0030126336248785,0.0067079689018464,0.038095238095238036,0.0015873015873015001,0.0004859086491739,0.0020408163265306,0.0004859086491739,2.89795918367358,True,False
D2_bruit,1.0,0.05,aleatoire,3,2058,60.0,0.15053449951409129,0.1350826044703595,0.1647230320699708,0.35338516358924527,0.016456106252024566,0.0133138969873663,0.0241010689990281,0.0004859086491739,9.147637795275616,True,True
D2_bruit,1.0,0.1,aleatoire,3,2058,60.0,0.09860706187236794,0.0827016520894072,0.1072910592808552,0.28934240362811786,0.012568837058632902,0.0085519922254616,0.0178814382896015,0.0004859086491739,7.84536082474231,True,True
D2_bruit,1.0,0.2,aleatoire,3,2058,60.0,0.04243602202785873,0.034402332361516,0.0513143828960155,0.15409782960803364,0.005636540330417834,0.001846452866861,0.0072886297376093,0.0004859086491739,7.528735632183966,True,True
D2_bruit,1.0,0.3,aleatoire,3,2058,60.0,0.013411078717201099,0.0085519922254616,0.0179810495626822,0.06511175898930997,0.003077421444768367,0.0016520894071914,0.0068027210884353,0.0004859086491739,4.357894736842106,True,True
D3_combine,0.75,0.1,aleatoire,3,2058,45.0,0.06054421768707476,0.051603498542274,0.0707507288629737,0.2078069322967282,0.009070294784580466,0.0057337220602526,0.0138969873663751,0.0004859086491739,6.675000000000017,True,True
D3_combine,0.75,0.2,aleatoire,3,2058,45.0,0.0268221574344023,0.018561710398445,0.0310981535471331,0.112989957887917,0.004859086491739499,0.0026239067055393,0.0084548104956268,0.0004859086491739,5.520000000000055,True,True
D3_combine,0.75,0.3,aleatoire,3,2058,45.0,0.008713961775186234,0.0050534499514091,0.0122448979591836,0.04791059280855193,0.0018464528668609669,9.718172983479106e-05,0.0030126336248785,0.0004859086491739,4.71929824561418,True,True
D3_combine,0.5,0.1,aleatoire,3,2058,30.0,0.03252348558471003,0.0264310009718172,0.0402332361516035,0.1303206997084548,0.007061872367994767,0.003692905733722,0.0105928085519922,0.0004859086491739,4.605504587155989,True,True
D3_combine,0.5,0.2,aleatoire,3,2058,30.0,0.014544865565273632,0.0104956268221574,0.0204081632653061,0.0703919663103336,0.003336572724327766,0.0009718172983479,0.0050534499514091,0.0004859086491739,4.359223300970924,True,True
D3_combine,0.5,0.3,aleatoire,3,2058,30.0,0.0061224489795918,0.0035957240038872,0.0096209912536443,0.03430515063168119,0.0024943310657596,0.0016520894071914,0.0066083576287657,0.0004859086491739,2.454545454545477,False,False
D3_combine,0.25,0.1,aleatoire,3,2058,15.0,0.009847748623258767,0.0054421768707482,0.0128279883381924,0.05921606737933266,0.002040816326530567,0.0003887269193391,0.0033041788143828,0.0004859086491739,4.825396825396903,True,False
D3_combine,0.25,0.2,aleatoire,3,2058,15.0,0.0049886621315192335,0.0029154518950437,0.0083600583090378,0.03372206025267244,0.0024943310657596003,0.0012633624878522,0.0058309037900874,0.0004859086491739,2.0000000000000133,False,False
D3_combine,0.25,0.3,aleatoire,3,2058,15.0,0.0026239067055393,0.0008746355685131,0.0049562682215743,0.021120829284094533,0.0010366051182377333,9.718172983479106e-05,0.0020408163265306,0.0004859086491739,2.531250000000036,False,False
D4_items_banals,0.75,0.0,entropie_basse,1,2058,45.0,0.3025267249757046,0.2836710398445092,0.3218683187560738,0.5275996112730806,0.0510204081632653,0.0423712342079689,0.06044703595724,0.0004859086491739,5.929523809523811,True,True
D4_items_banals,0.5,0.0,entropie_basse,1,2058,30.0,0.2092322643343051,0.1922230320699708,0.2269217687074829,0.4191448007774538,0.0267249757045675,0.0204081632653061,0.0336248785228377,0.0004859086491739,7.82909090909092,True,True
D4_items_banals,0.25,0.0,entropie_basse,1,2058,15.0,0.0477162293488824,0.0397473275024295,0.0561710398445092,0.1849368318756074,0.0061224489795918,0.0035957240038872,0.0091350826044703,0.0004859086491739,7.793650793650839,True,True
D4_items_banals,0.1,0.0,entropie_basse,1,2058,6.0,0.0030126336248785,0.0019436345966958,0.0042759961127308,0.0310009718172983,0.0010689990281827,0.0003887269193391,0.0017492711370262,0.0004859086491739,2.818181818181801,True,True
D4b_frequence_modale,0.75,0.0,frequence_modale,1,2058,45.0,0.3120505344995141,0.2939723032069971,0.3314868804664723,0.5350826044703596,0.049757045675413,0.0408163265306122,0.0587949465500485,0.0004859086491739,6.271484375000003,True,True
D4b_frequence_modale,0.5,0.0,frequence_modale,1,2058,30.0,0.2085519922254616,0.1924173955296404,0.2251700680272108,0.4192419825072886,0.026044703595724,0.0197278911564625,0.0329446064139941,0.0004859086491739,8.007462686567166,True,True
D4b_frequence_modale,0.25,0.0,frequence_modale,1,2058,15.0,0.0457725947521865,0.0378036929057337,0.0537439261418853,0.1795918367346939,0.0053449951409135,0.0028182701652089,0.007871720116618,0.0004859086491739,8.56363636363636,True,True
D4b_frequence_modale,0.1,0.0,frequence_modale,1,2058,6.0,0.0032069970845481,0.0022351797862001,0.0042759961127308,0.0310009718172983,0.0012633624878522,0.0004859086491739,0.0022351797862001,0.0004859086491739,2.538461538461703,False,False
