generateur,n_attaques,n_pool,n_items,exactitude,top1,top1_bas,top1_haut,top10,top10_bas,top10_haut,rang_median,top1_hasard,bloc_items,conditionnement,controle_statut,controle_detail
K1 plus proche voisin persona,2058.0,2058.0,60.0,0.4597667638483965,0.0,0.0,0.0,0.013945578231292517,0.009475218658892129,0.01892614188532556,745.875,0.00048590864917395527,tous,persona individuelle,,
K10 vote modal voisins persona,2058.0,2058.0,60.0,0.48622448979591837,0.0015792031098153547,0.00021865889212827988,0.0031584062196307093,0.010592808551992225,0.006704931972789115,0.014797133138969869,687.875,0.00048590864917395527,tous,persona individuelle,,
K2a modele conditionnel persona (argmax),2058.0,2058.0,60.0,0.5202137998056365,0.004543245869776482,0.0019922254616132166,0.007580782312925167,0.027089407191448006,0.02033527696793003,0.03411078717201166,513.525,0.00048590864917395527,tous,persona individuelle,,
K2s modele conditionnel persona (tirage),2058.0,2058.0,60.0,0.4671930677032718,0.0011661807580174927,0.00017006802721088434,0.0024301506316812406,0.01596209912536443,0.011175291545189507,0.021234207968901846,620.6500000000001,0.00048590864917395527,tous,persona individuelle,,
LLM JSON Persona - GPT4.1 (persona individuelle),2058.0,2058.0,60.0,0.5903871072238419,0.2065597667638484,0.19007956754130226,0.22247327502429545,0.4266520894071914,0.4061704324586977,0.4469648931000971,20.3,0.00048590864917395527,tous,reference,,
LLM Demographics Only - GPT4.1-mini (segment seul),2058.0,2058.0,60.0,0.4942095885973437,0.021452866861030127,0.01574344023323615,0.027721088435374148,0.09404761904761905,0.08231171039844509,0.10597728377065113,302.67499999999995,0.00048590864917395527,tous,reference,,
Retest humain v1-3 aux items attaques (hors persona),2058.0,2058.0,60.0,0.7446631033365727,0.8164965986394558,0.7995857628765791,0.832750850340136,0.9160349854227405,0.9044460641399417,0.9272357871720116,1.0,0.00048590864917395527,tous,reference,,
K1 plus proche voisin persona,2058.0,2058.0,40.0,0.5252915451895044,0.0,0.0,0.0,0.007774538386783284,0.004616132167152575,0.011248785228377065,934.125,0.00048590864917395527,items d'achat,persona individuelle,,
K10 vote modal voisins persona,2058.0,2058.0,40.0,0.5360422740524782,0.00021865889212827988,0.0,0.0006559766763848397,0.009183673469387754,0.005635932944606414,0.013120748299319722,855.8499999999999,0.00048590864917395527,items d'achat,persona individuelle,,
K2a modele conditionnel persona (argmax),2058.0,2058.0,40.0,0.5657555879494655,0.0005830903790087463,7.28862973760933e-05,0.001336248785228377,0.008284742468415937,0.004834183673469388,0.012026846452866858,806.55,0.00048590864917395527,items d'achat,persona individuelle,,
K2s modele conditionnel persona (tirage),2058.0,2058.0,40.0,0.526044703595724,0.0017006802721088435,0.0,0.0036443148688046646,0.006924198250728863,0.003887269193391642,0.010252672497570456,839.375,0.00048590864917395527,items d'achat,persona individuelle,,
LLM JSON Persona - GPT4.1 (persona individuelle),2058.0,2058.0,40.0,0.7165816326530612,0.33158406219630715,0.31289905247813415,0.35058430515063166,0.5506559766763849,0.5301712827988339,0.5715500485908649,6.15,0.00048590864917395527,items d'achat,reference,,
LLM Demographics Only - GPT4.1-mini (segment seul),2058.0,2058.0,40.0,0.5883746355685131,0.05947521865889213,0.0506304664723032,0.06943816812439262,0.1522837706511176,0.13743865403304178,0.16729895529640426,220.275,0.00048590864917395527,items d'achat,reference,,
Retest humain v1-3 aux items attaques (hors persona),2058.0,2058.0,40.0,0.8389091350826045,0.7465257531584062,0.7283497327502428,0.7641690962099126,0.8648202137998056,0.850679664723032,0.8790822400388727,1.0,0.00048590864917395527,items d'achat,reference,,
K1 plus proche voisin persona,2058.0,2058.0,20.0,0.32871720116618075,0.00038872691933916425,0.0,0.00102101554907677,0.018391642371234206,0.013239795918367346,0.02412657920310981,753.125,0.00048590864917395527,items hors achat,persona individuelle,,
K10 vote modal voisins persona,2058.0,2058.0,20.0,0.3865889212827988,0.0007045675413022352,2.4295432458697766e-05,0.0016284013605442143,0.014820213799805637,0.010275753158406219,0.01963131681243926,677.05,0.00048590864917395527,items hors achat,persona individuelle,,
K2a modele conditionnel persona (argmax),2058.0,2058.0,20.0,0.42913022351797864,0.005077745383867832,0.0025990038872691934,0.007677964042759958,0.03051506316812439,0.024076773566569485,0.037367589893100094,415.6,0.00048590864917395527,items hors achat,persona individuelle,,
K2s modele conditionnel persona (tirage),2058.0,2058.0,20.0,0.3494897959183674,0.0032555879494655005,0.0012147716229348883,0.005685738581146741,0.01999514091350826,0.014795310981535473,0.0257051749271137,565.7249999999999,0.00048590864917395527,items hors achat,persona individuelle,,
LLM JSON Persona - GPT4.1 (persona individuelle),2058.0,2058.0,20.0,0.3379980563654033,0.002526724975704567,0.0008011418853255587,0.004664723032069971,0.012998056365403304,0.008746355685131196,0.017614795918367343,663.5999999999999,0.00048590864917395527,items hors achat,reference,,
LLM Demographics Only - GPT4.1-mini (segment seul),2058.0,2058.0,20.0,0.30587949465500486,9.718172983479106e-05,0.0,0.00029154518950437323,0.004761904761904762,0.0023560495626822153,0.007605077745383866,936.0250000000001,0.00048590864917395527,items hors achat,reference,,
Retest humain v1-3 aux items attaques (hors persona),2058.0,2058.0,20.0,0.5561710398445092,0.15697278911564627,0.14256499028182698,0.1712105199222546,0.37798833819241984,0.3576506316812439,0.39760021865889206,25.75,0.00048590864917395527,items hors achat,reference,,
