volet,attaque,selection,k_items,cand_top1,cand_top1_bas,cand_top1_haut,cand_top10,base_top1,base_top1_bas,base_top1_haut,base_top10,hasard,n_bassin,ratio_cand_base,n_plis,controle
V1,hamming,entropie_hors_pli,45,0.3564625850340135,0.32837706511175896,0.3846501457725947,0.5896987366375122,0.0683187560738581,0.05383624878522835,0.0832847424684159,0.19222546161321663,0.0009718172983479,1029.0,5.219050047764771,2,
V1,hamming,entropie_dans_pli,45,0.3546161321671526,0.32575072886297374,0.38309523809523804,0.5902818270165209,0.07172011661807576,0.05724003887269185,0.0869800777453838,0.19310009718172985,0.0009718172983479,1029.0,4.944685179608834,2,
V1,hamming,frequence_modale_hors_pli,45,0.367930029154519,0.3403279883381924,0.39699222546161317,0.6041788143828961,0.0691933916423712,0.0550048590864917,0.0850340136054421,0.19436345966958204,0.0009718172983479,1029.0,5.322400877753834,2,
V1,hamming,frequence_modale_dans_pli,45,0.3723032069970845,0.34518464528668613,0.4020408163265306,0.6040816326530613,0.066472303206997,0.0516933916423712,0.0812463556851311,0.19951409135082604,0.0009718172983479,1029.0,5.617591600599956,2,
V1,hamming,aleatoire_commun,45,0.16853255587949462,0.1472288629737609,0.19059523809523804,0.4115063168124392,0.0261224489795918,0.017608357628765718,0.03549222546161317,0.11601554907677351,0.0009718172983479,1029.0,6.652392761388631,10,
V1,hamming,tous_les_items,60,0.2523809523809524,0.226044703595724,0.2787196307094266,0.49951409135082603,0.035179786200194296,0.02478134110787165,0.046550048590864895,0.13760932944606408,0.0009718172983479,1029.0,7.279223595749295,2,
diag,-,criteres,45,,,,,,,,,,,,1,
V2,hamming,entropie_hors_pli,6,0.0080660835762876,0.0054421768707482495,0.010983965014577199,0.06540330417881435,0.0036929057337219996,0.0019436345966958,0.00573372206025265,0.029834791059280802,0.0009718172983479,1029.0,2.4935897435897436,2,
V2,hamming,entropie_hors_pli,10,0.02633624878522835,0.019241982507288598,0.0344995140913508,0.1467444120505345,0.00777453838678325,0.0037900874635568,0.012536443148688,0.04567541302235175,0.0009718172983479,1029.0,3.4066416040100256,2,
V2,hamming,entropie_hors_pli,15,0.07065111758989305,0.057529154518950354,0.08464528668610295,0.253935860058309,0.014868804664723,0.008357628765792,0.022062682215743402,0.07278911564625845,0.0009718172983479,1029.0,4.8202797202797205,2,
V2,hamming,entropie_hors_pli,20,0.13265306122448975,0.11311953352769674,0.1518974732750243,0.349271137026239,0.021574344023323602,0.0141861030126336,0.0298347910592808,0.09397473275024296,0.0009718172983479,1029.0,6.229016393442624,2,
V2,hamming,entropie_hors_pli,30,0.25257531584062193,0.2273032069970845,0.27736394557823124,0.4879494655004859,0.04431486880466465,0.0332337220602526,0.05665694849368315,0.15208940719144798,0.0009718172983479,1029.0,5.720715237929635,2,
V2,hamming,entropie_hors_pli,40,0.3636540330417881,0.3353741496598639,0.39193634596695814,0.5926141885325558,0.06899902818270165,0.0551020408163265,0.0842565597667638,0.1940719144800777,0.0009718172983479,1029.0,5.2768519180792985,2,
V2,hamming,entropie_hors_pli,45,0.3542274052478134,0.3275996112730807,0.38241496598639446,0.5893100097181729,0.06870748299319725,0.05461370262390665,0.08367346938775505,0.19271137026239066,0.0009718172983479,1029.0,5.156417090897447,2,
V2,hamming,entropie_hors_pli,50,0.32915451895043735,0.3013581146744412,0.35695335276967927,0.5656948493683187,0.05762876579203105,0.04450923226433425,0.0718197278911564,0.1678328474246841,0.0009718172983479,1029.0,5.78386107331473,2,
V2,hamming,entropie_hors_pli,55,0.2911564625850339,0.26510932944606413,0.3170092322643343,0.5251700680272109,0.042079689018464456,0.030903790087463502,0.0537414965986394,0.14820213799805634,0.0009718172983479,1029.0,7.0928400174367905,2,
V2,hamming,entropie_hors_pli,60,0.2522837706511175,0.22653061224489796,0.2784280855199222,0.49844509232264333,0.033624878522837645,0.0235179786200194,0.044509232264334245,0.13722060252672497,0.0009718172983479,1029.0,7.643579872585425,2,
V3,hamming,n_modalites_hors_pli,6,0.0091350826044703,0.0064139941690961495,0.012342079689018449,0.08901846452866854,0.0048590864917395,0.0028182701652089,0.0072886297376093,0.038386783284742446,0.0009718172983479,1029.0,1.9083333333333332,2,
V3,hamming,n_modalites_hors_pli,10,0.036345966958211795,0.0273080660835762,0.04577259475218655,0.1887269193391642,0.01107871720116615,0.0059280855199222,0.01700923226433425,0.0626822157434402,0.0009718172983479,1029.0,3.2804314329738054,2,
V3,hamming,n_modalites_hors_pli,15,0.08610301263362485,0.0710398445092322,0.10126336248785225,0.2848396501457726,0.020894071914480047,0.0135082604470359,0.02934888241010685,0.09378036929057335,0.0009718172983479,1029.0,4.313953488372093,2,
V3,hamming,n_modalites_hors_pli,20,0.14460641399416907,0.12516520894071909,0.16501700680272105,0.38299319727891146,0.0287657920310981,0.02001700680272105,0.0386783284742468,0.11836734693877546,0.0009718172983479,1029.0,5.053751605210053,2,
V3,hamming,n_modalites_hors_pli,30,0.23984450923226425,0.21632653061224488,0.26472303206997083,0.49310009718172987,0.0437317784256559,0.0324538386783284,0.05568513119533525,0.1585034013605442,0.0009718172983479,1029.0,5.499108981466813,2,
V3,hamming,n_modalites_hors_pli,40,0.3598639455782313,0.3306122448979591,0.3871768707482993,0.5896015549076774,0.0728862973760933,0.058112244897959145,0.08843537414965985,0.1964042759961127,0.0009718172983479,1029.0,4.945502223235662,2,
V3,hamming,n_modalites_hors_pli,45,0.35539358600583093,0.32846938775510204,0.3834863945578231,0.5942662779397474,0.06093294460641395,0.047422254616132156,0.07560738581146739,0.1768707482993197,0.0009718172983479,1029.0,5.840101884870098,2,
