volet,condition,note,n_bassin,k_items,hasard,cand_top1,cand_top1_bas,cand_top1_haut,base_top1,base_top1_bas,base_top1_haut,ratio_cand_base,au_dessus_baseline,entropie_moyenne,item_rang,famille,n_modalites,entropie_bits,kappa_retest,gain_normalise_jumeau,gain_normalise_retest_humain,taux_non_reponse,position_catalogue,longueur_libelle
V3,"40 items d'achat, natifs (reference de B)",non apparie : 40 items,2058.0,40.0,0.00048590864917395527,0.3300291545189505,0.30981535471331395,0.350634110787172,0.06034985422740525,0.050826044703595724,0.0703620019436346,5.468599033816425,True,,,,,,,,,,,
V3,"60 items, natifs (reference publiee)",non apparie : 60 items,2058.0,60.0,0.00048590864917395527,0.20758017492711373,0.19143586005830904,0.22487852283770648,0.02206025267249757,0.016423712342079688,0.028668610301263362,9.409691629955947,True,,,,,,,,,,,
V3,"20 items d'heuristiques, natifs (5,6 modalites)",,2058.0,20.0,0.00048590864917395527,0.0023323615160349854,0.00048590864917395527,0.0044703595724003885,0.00019436345966958212,0.0,0.0005830903790087465,12.0,False,,,,,,,,,,,
V3,"20 items d'achat, tirage 1/10",binaires,2058.0,20.0,0.00048590864917395527,0.11166180758017494,0.09961127308066084,0.12488095238095237,0.02089407191448008,0.015255102040816326,0.026822157434402333,5.344186046511628,True,,,,,,,,,,,
V3,"20 items d'achat, tirage 2/10",binaires,2058.0,20.0,0.00048590864917395527,0.11477162293488824,0.10232993197278913,0.12789115646258506,0.016812439261418854,0.01204810495626822,0.02215986394557822,6.826589595375722,True,,,,,,,,,,,
V3,"20 items d'achat, tirage 3/10",binaires,2058.0,20.0,0.00048590864917395527,0.1054421768707483,0.09387512147716229,0.11749514091350825,0.016618075801749274,0.011659378036929055,0.021673955296404264,6.345029239766081,True,,,,,,,,,,,
V3,"20 items d'achat, tirage 4/10",binaires,2058.0,20.0,0.00048590864917395527,0.11671525753158406,0.10447035957240039,0.1292517006802721,0.018075801749271134,0.013216715257531585,0.02332604470359571,6.456989247311829,True,,,,,,,,,,,
V3,"20 items d'achat, tirage 5/10",binaires,2058.0,20.0,0.00048590864917395527,0.11817298347910592,0.10534499514091351,0.13080660835762875,0.0163265306122449,0.011564625850340137,0.02128279883381924,7.238095238095236,True,,,,,,,,,,,
V3,"20 items d'achat, tirage 6/10",binaires,2058.0,20.0,0.00048590864917395527,0.11817298347910592,0.10592565597667639,0.13100097181729836,0.014868804664723033,0.010398445092322642,0.019533527696793004,7.947712418300652,True,,,,,,,,,,,
V3,"20 items d'achat, tirage 7/10",binaires,2058.0,20.0,0.00048590864917395527,0.11146744412050535,0.09970359572400389,0.12400631681243925,0.02031098153547133,0.014965986394557824,0.02585276967930028,5.488038277511963,True,,,,,,,,,,,
V3,"20 items d'achat, tirage 8/10",binaires,2058.0,20.0,0.00048590864917395527,0.11379980563654032,0.10184402332361517,0.1255612244897959,0.016715257531584066,0.012147716229348883,0.021771137026239056,6.808139534883719,True,,,,,,,,,,,
V3,"20 items d'achat, tirage 9/10",binaires,2058.0,20.0,0.00048590864917395527,0.11788143828960156,0.1054421768707483,0.1306122448979592,0.019630709426627792,0.014382896015549077,0.024878522837706512,6.004950495049505,True,,,,,,,,,,,
V3,"20 items d'achat, tirage 10/10",binaires,2058.0,20.0,0.00048590864917395527,0.10845481049562683,0.09611273080660836,0.12050534499514091,0.014965986394557821,0.010396015549076772,0.020019436345966958,7.246753246753248,True,,,,,,,,,,,
V3,20 items d'achat APPARIES EN POSITION,ecart median de position 23 rangs,2058.0,20.0,0.00048590864917395527,0.10962099125364431,0.09756802721088437,0.12254616132167152,0.018658892128279883,0.01360544217687075,0.02400388726919339,5.875,True,,,,,,,,,,,
V4a,20 items d'heuristiques BINARISES (mode contre non-mode),entropie moyenne 0.930 bit,2058.0,20.0,0.00048590864917395527,0.001554907677356657,0.00019436345966958212,0.0033041788143828963,0.00038872691933916425,0.0,0.0011661807580174927,4.0,False,0.9301283179340125,,,,,,,,,,
V4a,20 items d'heuristiques BINARISES (coupure a la mediane),entropie moyenne 0.927 bit,2058.0,20.0,0.00048590864917395527,0.0011661807580174927,0.00019436345966958212,0.0023323615160349854,0.0008746355685131194,9.718172983479106e-05,0.002040816326530612,1.3333333333333335,False,0.9266579084284994,,,,,,,,,,
V4a,"20 items d'heuristiques BINARISES, hors pli A->B",bassin reduit de moitie : non comparable au bassin entier,1029.0,20.0,0.0009718172983479105,0.0027210884353741495,0.0005830903790087463,0.005636540330417882,0.0009718172983479105,0.0,0.0025267249757045676,2.8,False,,,,,,,,,,,
V4a,"20 items d'heuristiques BINARISES, hors pli B->A",bassin reduit de moitie : non comparable au bassin entier,1029.0,20.0,0.0009718172983479105,0.0017492711370262388,0.0,0.004275996112730807,0.0011661807580174927,0.0,0.0033041788143828963,1.4999999999999998,False,,,,,,,,,,,
V4a,"20 items d'heuristiques natifs, demi-bassin A->B",temoin de meme bassin pour la ligne binarisee,1029.0,20.0,0.0009718172983479105,0.0029154518950437317,0.00038872691933916425,0.006413994169096209,0.0,0.0,0.0,,True,,,,,,,,,,,
V4a,"20 items d'heuristiques natifs, demi-bassin B->A",temoin de meme bassin pour la ligne binarisee,1029.0,20.0,0.0009718172983479105,0.004275996112730807,0.0009718172983479105,0.008746355685131196,0.0,0.0,0.0,,True,,,,,,,,,,,
V4b,"20 composites d'achat a 4 modalites, appariement 1/5",information des 40 items exactement conservee,2058.0,20.0,0.00048590864917395527,0.27998056365403307,0.2620991253644315,0.2982531584062196,0.046452866861030125,0.03848396501457726,0.05491253644314866,6.027196652719666,True,,,,,,,,,,,
V4b,"20 composites d'achat a 4 modalites, appariement 2/5",information des 40 items exactement conservee,2058.0,20.0,0.00048590864917395527,0.26676384839650147,0.24897959183673468,0.2849368318756074,0.03935860058309038,0.03138726919339164,0.047521865889212825,6.777777777777778,True,,,,,,,,,,,
V4b,"20 composites d'achat a 4 modalites, appariement 3/5",information des 40 items exactement conservee,2058.0,20.0,0.00048590864917395527,0.2755102040816326,0.2579178814382896,0.293879980563654,0.04664723032069971,0.038581146744412056,0.05549076773566569,5.906249999999999,True,,,,,,,,,,,
V4b,"20 composites d'achat a 4 modalites, appariement 4/5",information des 40 items exactement conservee,2058.0,20.0,0.00048590864917395527,0.26977648202138,0.2515063168124393,0.28794946550048595,0.04635568513119533,0.03799805636540331,0.054910106899902805,5.819706498951782,True,,,,,,,,,,,
V4b,"20 composites d'achat a 4 modalites, appariement 5/5",information des 40 items exactement conservee,2058.0,20.0,0.00048590864917395527,0.27113702623906705,0.25373663751214776,0.28931243926141886,0.043731778425655975,0.03556851311953353,0.052089407191448,6.2,True,,,,,,,,,,,
V6,controle | 20 items d'heuristiques,PASSE,2058.0,20.0,0.00048590864917395527,0.002478134110787172,0.0007045675413022352,0.004713313896987366,4.859086491739553e-05,,,,True,,,,,,,,,,,
V6,controle | 40 items d'achat,PASSE,2058.0,40.0,0.00048590864917395527,0.33095238095238094,0.311995869776482,0.3507543731778425,0.060082604470359575,,,,True,,,,,,,,,,,
V6,controle | les 60 items,PASSE,2058.0,60.0,0.00048590864917395527,0.20714285714285716,0.19057215743440234,0.22390913508260446,0.02152575315840622,,,,True,,,,,,,,,,,
V5-descripteurs,,,,,,,,,,,,,,,0.0,heuristiques,5.0,2.150429440201812,0.5275177676755607,0.03200624512099923,0.4270101483216237,0.0,171.0,30.0
V5-descripteurs,,,,,,,,,,,,,,,1.0,heuristiques,5.0,2.0959659597113225,0.39794632860004725,0.09803921568627447,0.3009049773755656,0.0,171.0,30.0
V5-descripteurs,,,,,,,,,,,,,,,2.0,heuristiques,5.0,2.1043197197914267,0.47574599572317405,0.11193476649369902,0.40622683469236465,0.0,171.0,30.0
V5-descripteurs,,,,,,,,,,,,,,,3.0,heuristiques,5.0,1.9362494020851293,0.5137567735333098,-0.05144995322731528,0.3676333021515435,0.0,171.0,30.0
V5-descripteurs,,,,,,,,,,,,,,,4.0,heuristiques,5.0,1.8436137385978335,0.3670611385559576,-0.0500794912559619,0.2893481717011128,0.0,171.0,30.0
V5-descripteurs,,,,,,,,,,,,,,,5.0,heuristiques,5.0,2.1031904931959837,0.5283716147122204,0.07692307692307689,0.43378271213322744,0.0,171.0,30.0
V5-descripteurs,,,,,,,,,,,,,,,6.0,heuristiques,5.0,1.7737736526308212,0.47934566729753536,-0.06205493387589013,0.3062054933875891,0.0,171.0,30.0
V5-descripteurs,,,,,,,,,,,,,,,7.0,heuristiques,5.0,1.8520299652914511,0.4980257901383292,-0.261280167890871,0.2959076600209863,0.0,171.0,30.0
V5-descripteurs,,,,,,,,,,,,,,,8.0,heuristiques,5.0,2.305380695211027,0.5134332702663369,0.0013046314416177123,0.4807566862361383,0.0,171.0,30.0
V5-descripteurs,,,,,,,,,,,,,,,9.0,heuristiques,5.0,2.172287441311334,0.36016509633145727,-0.25899280575539574,0.276978417266187,0.0,171.0,30.0
V5-descripteurs,,,,,,,,,,,,,,,10.0,heuristiques,7.0,1.7591451555433755,0.3627255186757805,-0.0008183306055646757,0.2806873977086743,0.0,189.0,103.0
V5-descripteurs,,,,,,,,,,,,,,,11.0,heuristiques,7.0,2.3089409123058,0.3418573488379415,-0.24195906432748535,0.24269005847953218,0.0,189.0,103.0
V5-descripteurs,,,,,,,,,,,,,,,12.0,heuristiques,7.0,2.685466622068244,0.2778629367597167,-0.09791535060012634,0.2147820593809223,0.0,189.0,103.0
V5-descripteurs,,,,,,,,,,,,,,,13.0,heuristiques,7.0,2.6259941609058943,0.28470784184341086,-0.1550440081245768,0.17941773865944483,0.0,189.0,103.0
V5-descripteurs,,,,,,,,,,,,,,,14.0,heuristiques,7.0,2.338894497700221,0.2520485337218068,-0.03980099502487567,0.14783226723525228,0.0,190.0,93.0
V5-descripteurs,,,,,,,,,,,,,,,15.0,heuristiques,7.0,2.117828718576791,0.2994144571958341,-0.059724349157733544,0.19448698315467075,0.0,190.0,93.0
V5-descripteurs,,,,,,,,,,,,,,,16.0,heuristiques,7.0,2.1386962842101704,0.2525530281125113,-0.0014245014245014727,0.18945868945868943,0.0,190.0,93.0
V5-descripteurs,,,,,,,,,,,,,,,17.0,heuristiques,7.0,2.1027126653216417,0.2914832222416697,-0.022042615723732537,0.21234386480529024,0.0,190.0,93.0
V5-descripteurs,,,,,,,,,,,,,,,18.0,heuristiques,4.0,1.913181600323339,0.35251188555662133,-0.0007999999999999355,0.22879999999999992,0.0,191.0,634.0
V5-descripteurs,,,,,,,,,,,,,,,19.0,heuristiques,2.0,0.9569920644694525,0.40267209406224963,-0.5622593068035943,0.264441591784339,0.0,192.0,553.0
V5-descripteurs,,,,,,,,,,,,,,,20.0,achat,2.0,0.9908134308139755,0.670430452431022,0.35487404162102953,0.6341730558598028,0.0,195.0,285.0
V5-descripteurs,,,,,,,,,,,,,,,21.0,achat,2.0,0.9904932156336093,0.6603194557065882,0.3545554335894621,0.6223929747530187,0.0,196.0,310.0
V5-descripteurs,,,,,,,,,,,,,,,22.0,achat,2.0,0.9945969800087469,0.6942487357504071,0.36489361702127654,0.6680851063829787,0.0,197.0,322.0
V5-descripteurs,,,,,,,,,,,,,,,23.0,achat,2.0,0.9949555083287767,0.657469466395151,0.3753976670201485,0.6299045599151645,0.0,198.0,303.0
V5-descripteurs,,,,,,,,,,,,,,,24.0,achat,2.0,0.994099722028501,0.6548585542113569,0.3664529914529916,0.6239316239316239,0.0,199.0,267.0
V5-descripteurs,,,,,,,,,,,,,,,25.0,achat,2.0,0.9926188801286413,0.7003887659196244,0.414054054054054,0.6713513513513514,0.0,200.0,298.0
V5-descripteurs,,,,,,,,,,,,,,,26.0,achat,2.0,0.9935804840853544,0.6396457174155539,0.3884120171673819,0.6062231759656651,0.0,201.0,315.0
V5-descripteurs,,,,,,,,,,,,,,,27.0,achat,2.0,0.9880969291274475,0.677185297325923,0.32107023411371227,0.6354515050167223,0.0,202.0,337.0
V5-descripteurs,,,,,,,,,,,,,,,28.0,achat,2.0,0.9852281360342515,0.6788445199660154,0.3662131519274378,0.6326530612244898,0.0,203.0,267.0
V5-descripteurs,,,,,,,,,,,,,,,29.0,achat,2.0,0.9931766217276894,0.68861075604678,0.3433799784714747,0.6587728740581271,0.0,204.0,325.0
V5-descripteurs,,,,,,,,,,,,,,,30.0,achat,2.0,0.9903310371796814,0.7009005016217088,0.3681318681318682,0.6670329670329671,0.0,205.0,342.0
V5-descripteurs,,,,,,,,,,,,,,,31.0,achat,2.0,0.9888092479214884,0.6850221345631275,0.37291897891231957,0.6470588235294118,0.0,206.0,304.0
V5-descripteurs,,,,,,,,,,,,,,,32.0,achat,2.0,0.9880969291274475,0.6704273632515502,0.3801560758082496,0.62876254180602,0.0,207.0,327.0
V5-descripteurs,,,,,,,,,,,,,,,33.0,achat,2.0,0.9835702303302176,0.6723712489055161,0.36041189931350126,0.6247139588100685,0.0,208.0,314.0
V5-descripteurs,,,,,,,,,,,,,,,34.0,achat,2.0,0.9920391131181638,0.6834587220383189,0.3724212812160694,0.6503800217155267,0.0,209.0,325.0
V5-descripteurs,,,,,,,,,,,,,,,35.0,achat,2.0,0.992476003943082,0.6624501470410508,0.36688311688311687,0.62987012987013,0.0,210.0,289.0
V5-descripteurs,,,,,,,,,,,,,,,36.0,achat,2.0,0.9912834038807676,0.6865125137476864,0.3842794759825327,0.6528384279475983,0.0,211.0,303.0
V5-descripteurs,,,,,,,,,,,,,,,37.0,achat,2.0,0.9948373712979456,0.6603182780926212,0.3864118895966029,0.6326963906581741,0.0,212.0,312.0
V5-descripteurs,,,,,,,,,,,,,,,38.0,achat,2.0,0.992760379729406,0.6832229728308569,0.38552915766738655,0.6522678185745141,0.0,213.0,321.0
V5-descripteurs,,,,,,,,,,,,,,,39.0,achat,2.0,0.9842023898327081,0.7041120476289267,0.36716077537058145,0.6602052451539339,0.0,214.0,294.0
V5-descripteurs,,,,,,,,,,,,,,,40.0,achat,2.0,0.994351097546162,0.6795720427957204,0.3848614072494668,0.6513859275053304,0.0,215.0,303.0
V5-descripteurs,,,,,,,,,,,,,,,41.0,achat,2.0,0.9930392502611849,0.6692736233126206,0.37068965517241376,0.6379310344827587,0.0,216.0,288.0
V5-descripteurs,,,,,,,,,,,,,,,42.0,achat,2.0,0.9790346135729869,0.6894499806402967,0.3442622950819673,0.6358313817330211,0.0,217.0,301.0
V5-descripteurs,,,,,,,,,,,,,,,43.0,achat,2.0,0.992476003943082,0.68365479374912,0.3906926406926407,0.6525974025974025,0.0,218.0,291.0
V5-descripteurs,,,,,,,,,,,,,,,44.0,achat,2.0,0.9903310371796814,0.6661605031176091,0.32307692307692315,0.6285714285714287,0.0,219.0,302.0
V5-descripteurs,,,,,,,,,,,,,,,45.0,achat,2.0,0.9904932156336093,0.6731932262716572,0.36663007683863874,0.6366630076838639,0.0,220.0,274.0
V5-descripteurs,,,,,,,,,,,,,,,46.0,achat,2.0,0.9869868841357043,0.6701513528186971,0.34567901234567894,0.6262626262626262,0.0,221.0,359.0
V5-descripteurs,,,,,,,,,,,,,,,47.0,achat,2.0,0.9848220130679319,0.6719605854224026,0.3181818181818183,0.6250000000000001,0.0,222.0,312.0
V5-descripteurs,,,,,,,,,,,,,,,48.0,achat,2.0,0.98949942365983,0.6702381923289117,0.32928176795580116,0.6309392265193369,0.0,223.0,292.0
V5-descripteurs,,,,,,,,,,,,,,,49.0,achat,2.0,0.9918907278202487,0.6596781847202451,0.3358695652173912,0.625,0.0,224.0,305.0
V5-descripteurs,,,,,,,,,,,,,,,50.0,achat,2.0,0.986413135577306,0.6660815841400012,0.3445945945945946,0.6227477477477477,0.0,225.0,328.0
V5-descripteurs,,,,,,,,,,,,,,,51.0,achat,2.0,0.9921861207165299,0.6666411073815854,0.38503253796095455,0.6334056399132322,0.0,226.0,293.0
V5-descripteurs,,,,,,,,,,,,,,,52.0,achat,2.0,0.9844103232855599,0.6705288868467509,0.33826879271070615,0.623006833712984,0.0,227.0,303.0
V5-descripteurs,,,,,,,,,,,,,,,53.0,achat,2.0,0.9852281360342515,0.6649674313225715,0.35487528344671204,0.616780045351474,0.0,228.0,287.0
V5-descripteurs,,,,,,,,,,,,,,,54.0,achat,2.0,0.98949942365983,0.6679471705455852,0.3635359116022099,0.6298342541436462,0.0,229.0,353.0
V5-descripteurs,,,,,,,,,,,,,,,55.0,achat,2.0,0.9842023898327081,0.6577745801776156,0.3238312428734322,0.6088939566704675,0.0,230.0,308.0
V5-descripteurs,,,,,,,,,,,,,,,56.0,achat,2.0,0.9903310371796814,0.6862210371088622,0.2934065934065935,0.6516483516483518,0.0,231.0,277.0
V5-descripteurs,,,,,,,,,,,,,,,57.0,achat,2.0,0.9888092479214884,0.621246529436243,0.3407325194228636,0.5749167591564929,0.0,232.0,309.0
V5-descripteurs,,,,,,,,,,,,,,,58.0,achat,2.0,0.9806857319036602,0.6679496366055891,0.34610917537746805,0.6155632984901278,0.0,233.0,289.0
V5-descripteurs,,,,,,,,,,,,,,,59.0,achat,2.0,0.9920391131181638,0.6595130706789135,0.28881650380021723,0.6264929424538546,0.0,234.0,352.0
resume,v_cramer,0.9627197246824659,,,,,,,,,,,,,,,,,,,,,,
resume,n_heur_binaires,1,,,,,,,,,,,,,,,,,,,,,,
resume,n_achat_non_binaires,0,,,,,,,,,,,,,,,,,,,,,,
resume,item_hors_diagonale,Denominator neglect ,,,,,,,,,,,,,,,,,,,,,,
resume,recouvrement_A_B_sur_40,39,,,,,,,,,,,,,,,,,,,,,,
resume,r_interne_achat_entropie_bits,0.36705434236601714,,,,,,,,,,,,,,,,,,,,,,
resume,r_interne_achat_kappa_retest,0.20394252131226395,,,,,,,,,,,,,,,,,,,,,,
resume,r_interne_achat_taux_non_reponse,nan,,,,,,,,,,,,,,,,,,,,,,
resume,r_interne_achat_position_catalogue,-0.5066601238671303,,,,,,,,,,,,,,,,,,,,,,
resume,r_interne_achat_longueur_libelle,-0.15477260411580415,,,,,,,,,,,,,,,,,,,,,,
resume,r_interne_heur_entropie_bits,0.4446619432087622,,,,,,,,,,,,,,,,,,,,,,
resume,r_interne_heur_kappa_retest,0.13003407858192953,,,,,,,,,,,,,,,,,,,,,,
resume,r_interne_heur_position_catalogue,-0.292564846005087,,,,,,,,,,,,,,,,,,,,,,
resume,r_interne_heur_longueur_libelle,-0.41805946304547065,,,,,,,,,,,,,,,,,,,,,,
resume,position_min_achat,195.0,,,,,,,,,,,,,,,,,,,,,,
resume,position_max_achat,234.0,,,,,,,,,,,,,,,,,,,,,,
resume,position_min_heuristiques,171.0,,,,,,,,,,,,,,,,,,,,,,
resume,position_max_heuristiques,192.0,,,,,,,,,,,,,,,,,,,,,,
resume,achat20_moyen,0.11365403304178816,,,,,,,,,,,,,,,,,,,,,,
resume,heur20_natif,0.0023323615160349854,,,,,,,,,,,,,,,,,,,,,,
resume,achat20_apparie_position,0.10962099125364431,,,,,,,,,,,,,,,,,,,,,,
resume,heur20_bin_mode,0.001554907677356657,,,,,,,,,,,,,,,,,,,,,,
resume,heur20_bin_mode_bas,0.00019436345966958212,,,,,,,,,,,,,,,,,,,,,,
resume,heur20_bin_mode_base_haut,0.0011661807580174927,,,,,,,,,,,,,,,,,,,,,,
resume,heur20_bin_mode_passe,False,,,,,,,,,,,,,,,,,,,,,,
resume,heur20_bin_mode_entropie,0.9301283179340125,,,,,,,,,,,,,,,,,,,,,,
resume,heur20_bin_med,0.0011661807580174927,,,,,,,,,,,,,,,,,,,,,,
resume,heur20_bin_med_bas,0.00019436345966958212,,,,,,,,,,,,,,,,,,,,,,
resume,heur20_bin_med_base_haut,0.002040816326530612,,,,,,,,,,,,,,,,,,,,,,
resume,heur20_bin_med_passe,False,,,,,,,,,,,,,,,,,,,,,,
resume,heur20_bin_med_entropie,0.9266579084284994,,,,,,,,,,,,,,,,,,,,,,
resume,heur20_bin_horspli,0.0022351797862001943,,,,,,,,,,,,,,,,,,,,,,
resume,composites_moyen,0.27263362487852283,,,,,,,,,,,,,,,,,,,,,,
resume,achat40_natif,0.3300291545189505,,,,,,,,,,,,,,,,,,,,,,
resume,chute_relative_composites,0.17391048292108377,,,,,,,,,,,,,,,,,,,,,,
resume,controle_20 items d'heuristiques,PASSE,,,,,,,,,,,,,,,,,,,,,,
resume,controle_40 items d'achat,PASSE,,,,,,,,,,,,,,,,,,,,,,
resume,controle_les 60 items,PASSE,,,,,,,,,,,,,,,,,,,,,,
resume,croise_2x2,"[[40, 0], [1, 19]]",,,,,,,,,,,,,,,,,,,,,,
resume,P1,confirmee,,,,,,,,,,,,,,,,,,,,,,
resume,P2,confirmee,,,,,,,,,,,,,,,,,,,,,,
resume,P3,confirmee,,,,,,,,,,,,,,,,,,,,,,
resume,P4,refutee,,,,,,,,,,,,,,,,,,,,,,
resume,P5,refutee,,,,,,,,,,,,,,,,,,,,,,
resume,P6,refutee,,,,,,,,,,,,,,,,,,,,,,
resume,P7,refutee,,,,,,,,,,,,,,,,,,,,,,
resume,issue,C : la famille d'items,,,,,,,,,,,,,,,,,,,,,,
