bloc,quantite,valeur,ic_bas,ic_haut,reference,commentaire
1 replication,"top-1 jumeau LLM, attaque naive",0.20714285714285713,,,0.2069,"branche attaquee : 0,2069"
1 replication,"risque moyen p(B=100), jumeau LLM naif",0.454171762727237,,,,
2 temoin trivial,"top-1 attaquant trivial (v1-3 vs v4), aucun LLM",0.8158892128279884,,,,"meme bassin, memes items, meme B"
2 temoin trivial,"risque moyen p(B=100), attaquant trivial",0.9178941597481007,,,,
3bis structure,Spearman atypicite (distance au mode) ~ coherence test-retest (v4 vs v1-3),-0.42308415227893137,,,,
3bis structure,"Spearman atypicite (distance au mode) ~ rarete moyenne (-log marginale, leave-one-out)",0.5987626706923631,,,,
3bis structure,Spearman atypicite (distance au mode) ~ predictibilite hors pli (log-vrais. classes latentes),-0.4817947175483383,,,,
3bis structure,Spearman coherence test-retest (v4 vs v1-3) ~ predictibilite hors pli (log-vrais. classes latentes),0.3696424058677436,,,,
3bis structure,"Spearman rarete moyenne (-log marginale, leave-one-out) ~ predictibilite hors pli (log-vrais. classes latentes)",-0.7016486735384405,,,,
4 correlats bruts / naif Hamming / jumeau LLM,Spearman risque ~ atypicite (distance au mode),-0.1805062834787328,-0.22220627434642265,-0.13473193550626525,,
4 correlats bruts / naif Hamming / jumeau LLM,"Spearman risque ~ rarete moyenne (-log marginale, leave-one-out)",-0.2129966227488095,-0.25465923561533277,-0.1734039261449467,,
4 correlats bruts / naif Hamming / jumeau LLM,Spearman risque ~ predictibilite hors pli (log-vrais. classes latentes),0.11122358241283205,0.06694360021870831,0.15352173395850718,,
4 correlats bruts / naif Hamming / jumeau LLM,Spearman risque ~ coherence test-retest (v4 vs v1-3),0.2561121280523927,0.21495313249813883,0.2947836495446331,,
4 correlats bruts / naif Hamming / jumeau LLM,Spearman risque ~ nombre de reponses non manquantes (108 items),0.03415883221673408,-0.0076911500281989335,0.0778267660144511,,
"4 correlats bruts / TRIVIAL (v1-3, aucun LLM)",Spearman risque ~ atypicite (distance au mode),-0.21590905844051983,-0.2552032733895042,-0.17344781169031492,,
"4 correlats bruts / TRIVIAL (v1-3, aucun LLM)","Spearman risque ~ rarete moyenne (-log marginale, leave-one-out)",-0.1672694090372152,-0.2083658246526138,-0.1253986671561636,,
"4 correlats bruts / TRIVIAL (v1-3, aucun LLM)",Spearman risque ~ predictibilite hors pli (log-vrais. classes latentes),0.15548718291701985,0.11075302043658167,0.19548317638270468,,
"4 correlats bruts / TRIVIAL (v1-3, aucun LLM)",Spearman risque ~ coherence test-retest (v4 vs v1-3),0.6456845454530928,0.6194240215884336,0.6716779619684781,,
"4 correlats bruts / TRIVIAL (v1-3, aucun LLM)",Spearman risque ~ nombre de reponses non manquantes (108 items),-0.001401957366406324,-0.045263143096144424,0.0433347087609163,,
5 tautologie,Spearman partiel risque_LLM ~ coherence | risque_trivial,0.10662072243799214,0.06319999141388667,0.14725646256513802,0.256,"brut sur la branche attaquee : +0,256"
5 tautologie,Spearman partiel risque_LLM ~ atypicite | risque_trivial,-0.12894861206292868,-0.17018694365192483,-0.08426004427847897,-0.181,
