volet,jeu,condition,attaque,mesure,valeur,ic_bas,ic_haut,axes,n_pool,n_items_contexte,note,n_axes,n_cellules,plafond,attribut_retire,chute_points,modalites,n_attaques,n_items,hasard,fpr_cible,ecart_points,ecart_bas,ecart_haut,cible_top1,cible_ic_bas,cible_ic_haut,comparateur_top1,comparateur_ic_bas,comparateur_ic_haut,controle_interpretabilite_passe,cible_tpr,comparateur_tpr,comparateur_retenu,seuil_effondrement,seuil_tenue,k_items,n_tirages_items,temoin_aleatoire,n_modalites,attribut,park_bloc_complet,top1_comparateur
1 inventaire du bloc,Twin,bloc demographique disponible,-,n_attributs,14.0,,,QID11+QID12+QID13+QID14+QID15+QID16+QID17+QID18+QID19+QID20+QID21+QID22+QID23+QID24,2058.0,494.0,questions dont BlockName vaut Demographics dans question_catalog.json ; aucune n'est reposee en vague 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,attribut QID11,-,n_modalites,5.0,,,,2058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,attribut QID12,-,n_modalites,2.0,,,,2058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,attribut QID13,-,n_modalites,4.0,,,,2058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,attribut QID14,-,n_modalites,6.0,,,,2058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,attribut QID15,-,n_modalites,5.0,,,,2058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,attribut QID16,-,n_modalites,2.0,,,,2058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,attribut QID17,-,n_modalites,6.0,,,,2058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,attribut QID18,-,n_modalites,12.0,,,,2058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,attribut QID19,-,n_modalites,6.0,,,,2058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,attribut QID20,-,n_modalites,4.0,,,,2058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,attribut QID21,-,n_modalites,5.0,,,,2058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,attribut QID22,-,n_modalites,5.0,,,,2058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,attribut QID23,-,n_modalites,5.0,,,,2058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,attribut QID24,-,n_modalites,7.0,,,,2058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,bloc complet Twin (14 attributs),-,n_cellules_distinctes,2055.0,,,QID11+QID12+QID13+QID14+QID15+QID16+QID17+QID18+QID19+QID20+QID21+QID22+QID23+QID24,2058.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,bloc complet Twin (14 attributs),-,n_personnes_seules_dans_leur_cellule,2052.0,,,QID11+QID12+QID13+QID14+QID15+QID16+QID17+QID18+QID19+QID20+QID21+QID22+QID23+QID24,2058.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,bloc complet Twin (14 attributs),-,part_personnes_seules_dans_leur_cellule,0.9970845481049563,,,QID11+QID12+QID13+QID14+QID15+QID16+QID17+QID18+QID19+QID20+QID21+QID22+QID23+QID24,2058.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,bloc complet Twin (14 attributs),-,plafond_cellule_seule_moyenne_un_sur_taille,0.9985422740524781,,,QID11+QID12+QID13+QID14+QID15+QID16+QID17+QID18+QID19+QID20+QID21+QID22+QID23+QID24,2058.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,bloc complet Twin (14 attributs),-,taille_cellule_mediane,1.0,,,QID11+QID12+QID13+QID14+QID15+QID16+QID17+QID18+QID19+QID20+QID21+QID22+QID23+QID24,2058.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,bloc complet Twin (14 attributs),-,taille_cellule_max,2.0,,,QID11+QID12+QID13+QID14+QID15+QID16+QID17+QID18+QID19+QID20+QID21+QID22+QID23+QID24,2058.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,bloc homologue de Park (11 attributs),-,n_cellules_distinctes,2038.0,,,QID13+QID11+QID22+QID20+QID14+QID15+QID12+QID21+QID18+QID24+QID17,2058.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,bloc homologue de Park (11 attributs),-,n_personnes_seules_dans_leur_cellule,2021.0,,,QID13+QID11+QID22+QID20+QID14+QID15+QID12+QID21+QID18+QID24+QID17,2058.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,bloc homologue de Park (11 attributs),-,part_personnes_seules_dans_leur_cellule,0.9820213799805636,,,QID13+QID11+QID22+QID20+QID14+QID15+QID12+QID21+QID18+QID24+QID17,2058.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,bloc homologue de Park (11 attributs),-,plafond_cellule_seule_moyenne_un_sur_taille,0.9902818270165209,,,QID13+QID11+QID22+QID20+QID14+QID15+QID12+QID21+QID18+QID24+QID17,2058.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,bloc homologue de Park (11 attributs),-,taille_cellule_mediane,1.0,,,QID13+QID11+QID22+QID20+QID14+QID15+QID12+QID21+QID18+QID24+QID17,2058.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,bloc homologue de Park (11 attributs),-,taille_cellule_max,4.0,,,QID13+QID11+QID22+QID20+QID14+QID15+QID12+QID21+QID18+QID24+QID17,2058.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,cellule a 4 axes (genre x race x age x education),-,n_cellules_distinctes,182.0,,,QID12+QID15+QID13+QID14,2058.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,cellule a 4 axes (genre x race x age x education),-,n_personnes_seules_dans_leur_cellule,29.0,,,QID12+QID15+QID13+QID14,2058.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,cellule a 4 axes (genre x race x age x education),-,part_personnes_seules_dans_leur_cellule,0.014091350826044704,,,QID12+QID15+QID13+QID14,2058.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,cellule a 4 axes (genre x race x age x education),-,plafond_cellule_seule_moyenne_un_sur_taille,0.08843537414965986,,,QID12+QID15+QID13+QID14,2058.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,cellule a 4 axes (genre x race x age x education),-,taille_cellule_mediane,27.0,,,QID12+QID15+QID13+QID14,2058.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,cellule a 4 axes (genre x race x age x education),-,taille_cellule_max,89.0,,,QID12+QID15+QID13+QID14,2058.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,1 premiers attributs,-,part_personnes_seules_dans_leur_cellule,0.0,,,QID11,2058.0,,,1.0,5.0,0.0024295432458697765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,2 premiers attributs,-,part_personnes_seules_dans_leur_cellule,0.0,,,QID11+QID12,2058.0,,,2.0,10.0,0.004859086491739553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,3 premiers attributs,-,part_personnes_seules_dans_leur_cellule,0.001943634596695821,,,QID11+QID12+QID13,2058.0,,,3.0,38.0,0.0184645286686103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,4 premiers attributs,-,part_personnes_seules_dans_leur_cellule,0.00826044703595724,,,QID11+QID12+QID13+QID14,2058.0,,,4.0,180.0,0.08746355685131195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,5 premiers attributs,-,part_personnes_seules_dans_leur_cellule,0.09280855199222546,,,QID11+QID12+QID13+QID14+QID15,2058.0,,,5.0,496.0,0.24101068999028183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,6 premiers attributs,-,part_personnes_seules_dans_leur_cellule,0.09475218658892129,,,QID11+QID12+QID13+QID14+QID15+QID16,2058.0,,,6.0,499.0,0.2424684159378037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,7 premiers attributs,-,part_personnes_seules_dans_leur_cellule,0.2560738581146744,,,QID11+QID12+QID13+QID14+QID15+QID16+QID17,2058.0,,,7.0,928.0,0.4509232264334305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,8 premiers attributs,-,part_personnes_seules_dans_leur_cellule,0.6151603498542274,,,QID11+QID12+QID13+QID14+QID15+QID16+QID17+QID18,2058.0,,,8.0,1574.0,0.7648202137998056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,9 premiers attributs,-,part_personnes_seules_dans_leur_cellule,0.8100097181729835,,,QID11+QID12+QID13+QID14+QID15+QID16+QID17+QID18+QID19,2058.0,,,9.0,1838.0,0.8931000971817298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,10 premiers attributs,-,part_personnes_seules_dans_leur_cellule,0.9091350826044704,,,QID11+QID12+QID13+QID14+QID15+QID16+QID17+QID18+QID19+QID20,2058.0,,,10.0,1959.0,0.9518950437317785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,11 premiers attributs,-,part_personnes_seules_dans_leur_cellule,0.9791059280855199,,,QID11+QID12+QID13+QID14+QID15+QID16+QID17+QID18+QID19+QID20+QID21,2058.0,,,11.0,2035.0,0.988824101068999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,12 premiers attributs,-,part_personnes_seules_dans_leur_cellule,0.9868804664723032,,,QID11+QID12+QID13+QID14+QID15+QID16+QID17+QID18+QID19+QID20+QID21+QID22,2058.0,,,12.0,2043.0,0.9927113702623906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,13 premiers attributs,-,part_personnes_seules_dans_leur_cellule,0.9961127308066083,,,QID11+QID12+QID13+QID14+QID15+QID16+QID17+QID18+QID19+QID20+QID21+QID22+QID23,2058.0,,,13.0,2054.0,0.9980563654033042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,14 premiers attributs,-,part_personnes_seules_dans_leur_cellule,0.9970845481049563,,,QID11+QID12+QID13+QID14+QID15+QID16+QID17+QID18+QID19+QID20+QID21+QID22+QID23+QID24,2058.0,,,14.0,2055.0,0.9985422740524781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,bloc sans QID11,-,part_personnes_seules_dans_leur_cellule,0.9931972789115646,,,,2058.0,,,,,0.9965986394557823,QID11,0.0038872691933916625,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,bloc sans QID12,-,part_personnes_seules_dans_leur_cellule,0.9951409135082604,,,,2058.0,,,,,0.9975704567541303,QID12,0.0019436345966958868,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,bloc sans QID13,-,part_personnes_seules_dans_leur_cellule,0.9941690962099126,,,,2058.0,,,,,0.9970845481049563,QID13,0.002915451895043719,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,bloc sans QID14,-,part_personnes_seules_dans_leur_cellule,0.9902818270165209,,,,2058.0,,,,,0.9951409135082604,QID14,0.006802721088435382,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,bloc sans QID15,-,part_personnes_seules_dans_leur_cellule,0.9931972789115646,,,,2058.0,,,,,0.9965986394557823,QID15,0.0038872691933916625,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,bloc sans QID16,-,part_personnes_seules_dans_leur_cellule,0.9970845481049563,,,,2058.0,,,,,0.9985422740524781,QID16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 unicite,Twin,bloc sans QID17,-,part_personnes_seules_dans_leur_cellule,0.9970845481049563,,,,2058.0,,,,,0.9985422740524781,QID17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
