predicteur,groupe,bits,gain_pp,fidelite_plancher,ratio1_bits_par_pp,ratio2_bits_par_fidelite
Demographics Only - GPT4.1-mini,LLM,0.819771317031412,-0.4802397149335921,0.5560455260191556,,1.474288126909902
JSON Persona - GPT4.1,LLM,3.5510771827920866,9.13751214771623,0.7076865295873568,0.3886262612170228,5.017867423395321
JSON Persona - GPT4.1-mini,LLM,2.4043643822973753,5.469943502824859,0.6754925865815253,0.43955927169187076,3.5594237894825396
Text Persona (Default Temperature) - GPT4.1-mini,LLM,1.5888064475315673,5.282636864269518,0.6135322940164373,0.3007601105951217,2.5896052465805512
Text Persona (Reasoning) - GPT4.1-mini,LLM,2.092636740091555,4.67444120505345,0.6554242375063742,0.4476763421110624,3.1927973064487154
Text Persona (Repeating Questions) - GPT4.1-mini,LLM,2.040818174419055,5.80255911888565,0.6365415881019224,0.35171001839115823,3.206103438589909
Text Persona - GPT4.1-mini,LLM,1.728131238920005,5.91431810819566,0.6234878347298128,0.2921945027822021,2.771716050673045
Text Persona - Gemini-Flash2.5,LLM,2.8173454559859525,6.058471007450599,0.6976434594998515,0.46502582128745545,4.038374355298535
B0 tirage,statistique,-0.0019098328896038,-6.673145448655652,-0.0013986341665557,,1.3654985236825627
B1 argmax,statistique,0.1551939048357997,0.4964366699060579,0.1014412331519869,0.31261571564640356,1.529889769806687
B2 argmax,statistique,0.0794144079665013,1.1661807580174932,0.1164003251034407,0.06809785483127484,0.6822524584525742
PMM k=10,statistique,0.1887086888114524,-2.4311629413670226,0.1363163318506647,,1.3843439465359428
humains vagues 1-3 (retest),humain,9.149989344826295,24.56511175898931,1.0001737530262738,0.3724790440441601,9.148399782678492
