point_retire,groupe,rho_sans_ce_point,p
Demographics Only - GPT4.1-mini,LLM,0.9580419580419581,9.543581826838402e-07
Text Persona (Repeating Questions) - GPT4.1-mini,LLM,0.9580419580419581,9.543581826838402e-07
Text Persona (Reasoning) - GPT4.1-mini,LLM,0.9580419580419581,9.543581826838402e-07
JSON Persona - GPT4.1-mini,LLM,0.9580419580419581,9.543581826838402e-07
Text Persona - Gemini-Flash2.5,LLM,0.9580419580419581,9.543581826838402e-07
JSON Persona - GPT4.1,LLM,0.9580419580419581,9.543581826838402e-07
humains vagues 1-3 (retest),humain,0.9580419580419581,9.543581826838402e-07
Text Persona (Default Temperature) - GPT4.1-mini,LLM,0.965034965034965,3.880985299627467e-07
Text Persona - GPT4.1-mini,LLM,0.965034965034965,3.880985299627467e-07
B0 tirage,statistique,0.9720279720279721,1.2868115751495027e-07
PMM k=10,statistique,0.9720279720279721,1.2868115751495027e-07
B1 argmax,statistique,0.9860139860139862,4.116895911654324e-09
B2 argmax,statistique,0.9860139860139862,4.116895911654324e-09
